スライド番号,役割,テキスト
1枚目,表紙,"🚨 猫のDKA
── 糖尿病性ケトアシドーシスの緊急管理
「順番」を守れば救える命"
2枚目,結論,"■ 治療の三大原則: ① 輸液 → ② K補正 → ③ インスリン
■ 来院時K「正常」でも全身K総量は枯渇
■ 血糖<250でもRI継続 + Dextrose添加
■ 治療目標 = 血糖正常化ではなく**ケトン消失**
■ P<1.5 mg/dL → 溶血性貧血リスク"
3枚目,昔の常識 vs 今,"| ❌ 旧来 | ✅ 最新 |
|---------|---------|
| 来院直後にインスリン | **輸液とK補正が先** |
| 血糖が下がったらRI中止 | **ケトン消失まで継続 + Dextrose** |
| アシドーシスに重炭酸塩 | **輸液+RIで自然改善**（pH<7.0のみ慎重に） |
| 脱水改善で皮下インスリン | **ケトン消失・食欲回復後に移行** |"
4枚目,DKA治療タイムライン,"| 時間 | アクション | 目標 |
|------|-----------|------|
| 来院〜2-6h | 輸液 + K補正 | **まだRIは開始しない** |
| K安定後 | RI開始 | CRI 0.05-0.1 U/kg/hr |
| BG<250 | Dextrose添加 | **RIは止めない** |
| ケトン消失 | 皮下インスリン移行 | Glargine等へ |"
5枚目,K値「正常」のワナ,"■ アシドーシス + 高浸透圧 → Kが細胞外にシフト
■ 見かけ上「正常」でも全身K総量は著しく枯渇
■ ここでインスリンを打つと → Kが細胞内に急速移動
 → 筋力低下 → **頭部下垂（ventroflexion）**
 → **呼吸筋麻痺** → 致死的

⚠️ 「K正常だからインスリン開始」は危険"
6枚目,KCl添加スケール,"| 血清K (mEq/L) | KCl添加量 | 最大速度 |
|---------------|----------|----------|
| >3.5 | 20 mEq/L | 0.5 mEq/kg/hr |
| 3.0-3.5 | 40 mEq/L | 0.5 mEq/kg/hr |
| 2.5-3.0 | 60 mEq/L | 0.5 mEq/kg/hr |
| <2.5 | 80 mEq/L | 0.5 mEq/kg/hr（心電図モニター必須） |

💡 KClの一部をリン酸カリウムに置換
 → P<1.5 mg/dLの溶血性貧血を予防"
7枚目,インスリンプロトコル,"■ CRI法（推奨）
 0.9% NaCl 250mLに RI 50U添加
 → **0.05-0.1 U/kg/hr**（猫は0.05から）
 ⚠️ プラスチックチューブへの吸着 → 最初50mLプライミング

■ IM法（代替）
 初回 **0.2 U/kg IM** → 0.1 U/kg IM q1-2h

■ 血糖<250 → **2.5% Dextrose**添加
■ 血糖<150 → **5% Dextrose**添加
■ **RIはケトン消失まで絶対に止めない**"
8枚目,DKAの「引き金」を探す,"■ **膵炎**（猫に極めて多い → fPLI確認）
■ **感染症**（UTI・皮膚感染・肺炎）
■ **腎臓病**
■ **腫瘍**

💡 DKAは「何かがインスリンの効きを悪くした結果」
 引き金を治療しなければ再発する"
9枚目,まとめ,"① 「輸液 → K補正 → インスリン」の順番が鉄則
② 来院時K「正常」は罠。全身K総量は枯渇している
③ 血糖<250でもRI継続 + Dextrose。目標はケトン消失
④ P<1.5 mg/dLの溶血性貧血に注意
⑤ DKAの引き金（膵炎・感染症）を必ず検索"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「元気も食欲もゼロ」の糖尿病猫。血液検査でケトン強陽性 ── この瞬間、あなたが最初にすべきことは「インスリンを打つ」ことではありません🚨

DKA（糖尿病性ケトアシドーシス）は内分泌の緊急疾患。治療の成否を分けるのは「順番」です。

✅ まず輸液（0.9% NaCl）でボリュームを確保
✅ KClで電解質を補正（来院時K「正常」でも枯渇している）
✅ Kが安定してからインスリンCRIを慎重に開始
✅ 血糖<250でもインスリンを止めない → Dextrose添加してケトン消失まで継続

特に猫では、インスリンによるK細胞内移動→頭部下垂（ventroflexion）→呼吸筋麻痺が致死的。この投稿で「順番を守る」重要性をもう一度確認してください。

ぜひ【保存】して、緊急時に見返せるようにしてください🔖

#獣医 #獣医師 #獣医療 #DKA #糖尿病 #猫 #救急 #動物病院"
