スライド番号,役割,テキスト
1枚目,表紙,"犬の椎間板ヘルニア（IVDD）
頚部＆胸腰部における
「保存か、外科か」の境界線
判断に迷っていませんか？"
2枚目,結論,"【治療方針の決定フロー】
■胸腰部 IVDD
・Grade 1〜2（初回）→ 保存療法
・Grade 1〜2（再発/難治性）→ 外科を検討
・Grade 3〜5 → 早期の外科的減圧術を推奨

■頚部 IVDD
・激しい疼痛のみ → 保存療法または外科
・神経症状（四肢不全麻痺）あり → 外科的減圧術を強く推奨"
3枚目,解説・データ,"【胸腰部IVDDのグレード分類と予後】
・Grade 1：脊髄覚過敏（疼痛）のみ
・Grade 2：歩行可能な不全麻痺
・Grade 3：歩行不可能な不全麻痺
・Grade 4：対麻痺（深部痛覚あり）
・Grade 5：対麻痺（深部痛覚消失）

💡Grade 5における外科治療の歩行回復率は、深部痛覚（DP）消失から「48時間以内」で約50-60%。それ以降は著しく低下するため、早期の決断が鍵となる。"
4枚目,解説・データ,"【頚部IVDDの臨床的特徴】
・胸腰部と異なり脊柱管が広いため、神経症状よりも「激しい疼痛（ルートサイン）」が先行しやすい。
・低頭姿勢、頸部筋肉の緊張、前肢の挙上（ルートサイン）が特徴。
・重症例では四肢不全麻痺や、呼吸筋（横隔神経）の圧迫による換気不全に注意が必要。
・外科アプローチ：腹側減圧術（Ventral slot）が一般的。"
5枚目,解説・データ,"【内科的治療（保存療法）のポイント】
・絶対安静：ケージレスト 4〜6週間（最も重要）
・鎮痛：NSAIDsまたはステロイド（プレドニゾロン 0.5 mg/kg PO SID〜BID 等）
・オピオイドやガバペンチン等の併用でマルチモーダル鎮痛を構成する。

⚠️注意：NSAIDsとステロイドの併用は、重篤な消化管穿孔のリスクがあるため絶対禁忌。必ずウォッシュアウト期間を設けること。"
6枚目,解説・データ,"【ステロイドの超大量療法は推奨されるか？】
・過去に行われていた「メチルプレドニゾロン（MPSS）」の超大量療法（30 mg/kg IV 等）は、現在ではエビデンスが乏しい。
・消化管潰瘍や免疫抑制などの副作用リスクがメリットを上回るため、脊髄損傷に対するルーチン投与としては推奨されない。
・神経浮腫の軽減を目的とする場合は、通常の抗炎症用量で十分とされる。"
7枚目,解説・データ,"【外科治療への移行サイン】
内科治療中、以下のサインが見られた場合は速やかに画像診断（MRI/CT）および外科手術（片側椎弓切除術など）を検討する。

① 適切な保存療法を2週間続けても疼痛が改善しない
② 保存療法中にグレードが進行した（神経症状の悪化）
③ 初診時ですでにGrade 3以上（特に胸腰部）
④ 頚部IVDDで四肢の不全麻痺が現れた"
8枚目,解説・データ,"【致死的合併症：進行性脊髄軟化症（PMM）】
・胸腰部 Grade 5 の約10〜15%で発症する致死的な病態。
・脊髄の出血性壊死が上行性・下行性に進行し、最終的に呼吸筋麻痺で死に至る。

🚨早期発見のサイン
・疼痛部位（知覚過敏帯）の頭側への移動
・腹式呼吸への移行（肋間筋の麻痺）
・前肢のLMNサイン（反射の低下）
・肛門括約筋の弛緩、体温低下"
9枚目,まとめ,"【本記事の要点】
① 胸腰部はGrade 3以上、頚部は神経症状発現のタイミングで、早期のMRI撮影と外科的減圧を推奨。
② Grade 5の予後は「深部痛覚消失から48時間」が分水嶺。一刻も早い治療方針の決定を。
③ 保存療法の要は「4〜6週間の絶対安静」。現在、ステロイドの超大量療法は推奨されない。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
日常診療で頻繁に遭遇する犬の椎間板ヘルニア（IVDD）。
内科的治療（保存療法）で経過を見るか、外科的減圧術へ踏み切るか、タイミングの判断に悩むケースは多いのではないでしょうか。

特に胸腰部のGrade 5（深部痛覚消失）は、発症から48時間が歩行機能回復の分水嶺となります。また、頚部のIVDDは胸腰部とは解剖学的な違いから、症状の出方や悪化のサインが異なります。

今回の投稿では、臨床現場ですぐに基準とできる「外科適応の境界線」と「最新の治療エビデンス（ステロイド大量療法の是非など）」をスライドにまとめました。

診察の合間にサッと確認できるよう、ぜひ右下のボタンから【保存】してお役立てください。

#獣医 #動物救急 #椎間板ヘルニア #IVDD #獣医神経学 #獣医外科学 #動物病院 #獣医学"
