スライド番号,役割,テキスト
1枚目,表紙,"「FIP＝不治の病」の常識、まだアップデートしていませんか？
抗ウイルス薬時代のFIP治療 最新エビデンス"
2枚目,結論,"FIPは抗ウイルス薬により、80〜90%近い症例で「治癒・長期生存」が可能な疾患へ。

治療成功の鍵は以下の2点：
① ウイルスの潜伏場所（眼・神経）に合わせた「高用量設計」
② 成長と体重増加に伴う「厳密な用量再計算（増量）」"
3枚目,昔の常識 vs 今のエビデンス,"❌ 旧来の常識
・FIPと診断されたら緩和ケアか安楽死
・ドライタイプや神経症状が出たら助からない
・治療期間は必ず84日間必要

✅ 最新のエビデンス
・GS-441524やモルヌピラビルで「治癒」を獲得可能
・血液脳関門 / 血液眼関門も「高用量投与」で突破可能
・初期/順調な滲出型では42日間への短縮も研究が進む（2024年）"
4枚目,FIPを疑うための診断補助カットオフ値,"▼ 血液検査における有用な指標
・総蛋白（TP） > 7.8 g/dL
　👉 高TP＋高グロブリンでFIPを強く示唆
・A/G比 < 0.4
　👉 強く示唆（< 0.6 で疑い）。鑑別の最重要指標。
・SAA（血清アミロイドA）
　👉 炎症マーカーとして治療効果のモニタリングに活用"
5枚目,2大抗ウイルス薬 ①GS-441524,"成功率：約84%（1日1回投与・SID）

【通常のウェット/ドライ型】
・SC : 5〜10 mg/kg SID
・PO : 10〜15 mg/kg SID

【神経型 / 眼型】
・SC : 8〜10 mg/kg SID
・PO : 15 mg/kg 以上 SID
（※血液脳関門・血液眼関門を突破するため高用量が必要）"
6枚目,2大抗ウイルス薬 ②モルヌピラビル,"成功率：78〜90%以上
半減期の関係上、「1日2回投与（BID）」が基本。

【通常のウェット/ドライ型】
・PO : 10〜15 mg/kg BID
（代替プロトコル: 30 mg/kg SID）

【神経型 / 眼型】
・PO : 20 mg/kg BID"
7枚目,治療成功の鉄則 ①用量と体重管理,"鉄則①：用量は「最も重い症状」に合わせる
眼の混濁や神経症状があれば必ず【高用量】からスタート。
⚠️ 失敗リスク：用量不足はウイルスの耐性化と再燃の最大原因。

鉄則②：体重増加に合わせて薬を増量する
毎週必ず体重を測り、mg/kgの計算をやり直すこと。
⚠️ 失敗リスク：状態改善による体重増加で相対的な「用量不足」に陥り再燃する。"
8枚目,治療成功の鉄則 ②期間とステロイド併用,"鉄則③：治療期間は12週間（84日間）が基本
プロトコル完遂後の再発率は 5〜10% 。
⚠️ 失敗リスク：途中中断は耐性ウイルスを生み、再発率を大幅に上昇させる。

鉄則④：初期の炎症にはステロイドを併用
プレドニゾロン 1〜2 mg/kg/day を数日間併用し漸減。
⚠️ 失敗リスク：長期併用は免疫抑制により、ウイルスクリアランスを妨げるため避ける。"
9枚目,まとめ,"・FIPは抗ウイルス薬により80〜90%以上が治癒可能な時代へ。
・眼や神経への移行が疑われる場合は、初期から高用量でアプローチする。
・毎週の体重測定による用量の再計算と、84日間（12週）のプロトコル完遂が再発防止の要。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
かつて不治の病とされたFIP（猫伝染性腹膜炎）ですが、抗ウイルス薬（GS-441524、モルヌピラビル）の登場により、治癒と長期生存が可能な疾患へとパラダイムシフトが起きています。

適切に治療介入を行えば、80〜90%近い症例で治癒が期待できますが、治療失敗や再燃を防ぐためには「正しい用量設計」と「投薬期間の完遂」が不可欠です。
特に、眼や神経症状を伴う症例への高用量アプローチや、治療に伴う体重増加に合わせた「毎週の用量再計算」は、臨床現場で必ず押さえておきたい鉄則です。

また、初期の過剰な炎症を抑えるためのプレドニゾロン併用は有効ですが、長期投与はウイルスクリアランスを阻害するため早期の漸減が推奨されています。

スライドでは最新のエビデンスに基づいた推奨用量や診断カットオフ値をまとめています。日々の診療の参考にしてください。

【必須ハッシュタグ】
#獣医 #動物救急 #FIP #猫伝染性腹膜炎 #獣医学 #動物病院"
