スライド番号,役割,テキスト
1枚目,表紙,"👁️ 緑内障の緊急対応
── 視覚を守る72時間
「専門医に紹介」で思考停止していませんか？
一般病院でできる初期降圧が予後を決める。"
2枚目,結論,"【結論】
■ 眼圧＞40-50 mmHgが48-72時間で非可逆的失明
■ 緊急降圧: マンニトール20% + Latanoprost（犬のみ）
■ 猫にはLatanoprost禁忌（無効＋炎症悪化）
■ 維持: Dorzolamide + Timolol（犬猫共通）
■ 原発性PACGは対側眼も中央値約8ヶ月で発症
  → 健眼への予防点眼が必須"
3枚目,緊急降圧プロトコル,"【Step 1: マンニトール20%】
■ 用量: 1.0-2.0 g/kg IV（20-30分かけて）
■ 効果発現: 15-30分
■ 犬 ✅ / 猫 ✅
■ 禁忌: 脱水、心不全、腎不全

💡 硝子体の浸透圧を上げ房水を引き込むことで
   眼圧を急速に下げる"
4枚目,Latanoprost,"【Step 2: Latanoprost 0.005%点眼】
■ 緊急時: 10-15分間隔で2-3回点眼
■ 維持: 1滴 q12h
■ 犬の原発性緑内障 ✅ → 最強の降圧効果
■ 猫 ❌ 禁忌（無効＋炎症悪化）
■ ぶどう膜炎続発性 ❌ 禁忌

⚠️ 原因の鑑別が重要！
  原発性 → Latanoprost OK
  二次性（ぶどう膜炎等）→ 禁忌"
5枚目,昔 vs 今,"【昔の常識 vs 今のエビデンス】

❌ 緑内障は眼科の専門病院で診る疾患
✅ 48-72時間の緊急疾患。一般病院で初期降圧を

❌ Latanoprostは眼圧上昇ならすべてに有効
✅ 猫には禁忌。ぶどう膜炎続発性にも使わない

❌ 片眼の緑内障が治まれば終わり
✅ 原発性PACGは対側眼も中央値約8ヶ月で発症
  → 健眼への予防点眼が必須"
6枚目,維持管理,"【維持管理薬】
■ Dorzolamide 2% + Timolol 0.5%（コソプト等）
 ・1滴 q8-12h
 ・犬 ✅ / 猫 ✅
 ・CAI + β遮断薬の合剤
 ・二次性緑内障にも適用可

■ 原発性vs二次性で治療戦略が異なる
 ・原発性: Latanoprost + 維持薬
 ・二次性: 原因疾患の治療 + CAI/β遮断薬"
7枚目,対側眼の予防,"【健側眼の予防的点眼 ─ 見落とし注意！】

■ 原発性PACGの対側眼発症リスク
 ・中央値 約8ヶ月（早い例で数週間）

■ 予防点眼（健眼に対して）
 ・Timolol 0.5% 1滴 q12-24h
 ・または Dorzolamide 2% 1滴 q8-12h

■ 目標
 ・「失明を防ぐ」ではなく
 ・「視覚のある期間をできるだけ延ばす」
 ・月1回の眼圧モニタリングを併行"
8枚目,好発犬種,"【日本で注意すべき好発犬種】

■ 柴犬 → 原発性PACGの代表（日本特有）
 ・海外文献: コッカースパニエル中心
 ・日本の患者層は大きく異なる
 ・進行が速く、発症時にはすでに視力低下していることも

■ その他の好発犬種
 ・コッカースパニエル
 ・バセットハウンド
 ・シーズー"
9枚目,まとめ,"【本記事の要点】

① 眼圧＞40-50 mmHgは48-72時間で非可逆的失明を来す眼科救急
② マンニトール20% 1.0-2.0 g/kg IVが第一手（15-30分で効果）
③ Latanoprostは犬の原発性緑内障に最強だが猫・二次性には禁忌
④ 維持にはDorzolamide+Timolol q8-12hが犬猫共通で使用可能
⑤ 原発性PACGは対側眼も中央値約8ヶ月で発症 → 健眼予防点眼が必須"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
夜間救急で「片眼が白くなった柴犬」── 翌日の眼科予約まで何もせず待っていませんか？👁️

眼圧40-50 mmHg以上がたった48-72時間続くだけで、視覚は二度と戻りません。つまり「専門医に紹介するまでに何をするか」で予後が決まります。

一般病院でまずやるべきことは明確です：
✅ マンニトール20%（1.0-2.0 g/kg IV）で緊急降圧
✅ 犬の原発性にはLatanoprost点眼（猫は禁忌！）
✅ 維持薬としてDorzolamide+Timolol

そして見落としがちな重要ポイント ── 原発性PACGでは対側眼も中央値わずか約8ヶ月で発症するため、健眼への予防点眼を忘れずに🛡️

詳しい降圧プロトコルと犬猫の違いはスライドで確認してください👉
診察中にすぐ見返せるよう【保存】をお願いします🔖
エビデンスと論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #緑内障 #眼科救急 #動物病院 #柴犬"
