スライド番号,役割,テキスト
1枚目,表紙,"前庭疾患、末梢？中枢？
臨床現場で迷わない鑑別ポイント
緊急性を判断するレッドフラグとは？"
2枚目,結論,"【結論】前庭疾患の初診時に最も重要な鑑別

1.  **末梢性か中枢性かの鑑別**が最重要。
    **垂直性眼振、意識レベル低下、姿勢反応異常**があれば中枢性を強く疑い、MRIを検討。
2.  犬で最も多いのは**特発性老齢性前庭疾患**。
    通常**72時間以内に改善開始**、1〜2週間で大半が消失。
3.  猫の末梢性は**中耳炎・内耳炎**が重要。
    耳鏡・画像で評価。
4.  急性期は**制吐薬（マロピタント1.0 mg/kg SC SID）**と支持療法が中心。"
3枚目,前庭系の解剖と機能,"体のバランスと空間認識を司る前庭系

**構成要素**
-   **末梢前庭器**: 内耳（前庭・三半規管）、前庭神経（第VIII脳神経）
-   **中枢前庭核**: 延髄、小脳

**主な症候群**
-   斜頸（Head tilt）：病変側に頭が傾く
-   眼振（Nystagmus）：不随意な眼球運動
-   旋回運動（Circling）：病変側へ旋回
-   運動失調（Ataxia）：ふらつき歩行
-   嘔吐・流涎：前庭性悪心"
4枚目,鑑別診断の核心 — レッドフラグ,"【最重要】末梢性 vs 中枢性の鑑別ポイント

| 所見       | 末梢性                       | 中枢性                                   |
| :--------- | :--------------------------- | :--------------------------------------- |
| **眼振の方向** | 水平性・回旋性（方向は一定） | **垂直性**、または頭部の位置で方向変化 |
| **意識レベル** | **正常**                     | 低下（混迷・昏睡）の可能性あり           |
| **姿勢反応**   | **正常**                     | 同側の不全麻痺、低下                     |
| ホルネル症候群 | 併発することがある           | まれ                                     |
| 顔面神経麻痺   | 併発することがある           | まれ                                     |

---
**⚠️ レッドフラグ**
**垂直性眼振、意識レベルの低下、姿勢反応の異常**のいずれかがあれば、中枢性を強く示唆 → **MRI検査**を強く推奨！"
5枚目,末梢性前庭疾患の主要原因①：特発性老齢性前庭疾患（犬）,"犬で最も一般的な末梢性前庭疾患

**特発性老齢性前庭疾患**
-   中高齢犬に突然発症
-   **経過**: 通常**72時間以内に改善が始まり**、1〜2週間で斜頸以外の症状は概ね消失する
-   軽度の斜頸が残存することもあるが、機能的に問題ない場合が多い
-   再発は同側または対側で起こりうる
-   **注意**: 犬での真の脳梗塞・脳出血は稀。脳卒中との鑑別が重要。"
6枚目,末梢性前庭疾患の主要原因②：中耳炎・内耳炎,"見落としがちな末梢性原因

**中耳炎・内耳炎**
-   外耳炎の慢性化や鼓膜穿孔から中耳腔に感染が波及することが多い
-   **猫では外耳炎徴候が乏しくても中耳炎が存在することも**（鼻咽頭ポリープに注意）
-   **診断**:
    -   耳鏡検査（鼓膜評価）
    -   CT/MRI（鼓室胞評価）
-   **治療**:
    -   全身性抗菌薬（培養・感受性試験に基づき4〜6週間）
    -   重篤例や慢性例は鼓室胞骨切り術（VBO）も検討"
7枚目,その他の末梢性原因と中枢性前庭疾患の原因,"**その他の末梢性前庭疾患**
-   **甲状腺機能低下症関連（犬）**
    -   顔面神経麻痺や前庭徴候を呈する報告あり
    -   中高齢犬では鑑別リストに含め、ホルモン補充療法で改善の可能性

**中枢性前庭疾患の主な原因**
-   **脳腫瘍**（髄膜腫、グリオーマなど）：高齢犬猫に多い
-   **脳炎**（GME：肉芽腫性髄膜脳炎、NME：壊死性髄膜脳炎など）：若齢〜中齢の小型犬に好発
-   **脳血管障害**（脳梗塞）：クッシング症候群、高血圧、腎臓病など基礎疾患に関連"
8枚目,急性期の治療,"激しい悪心・嘔吐への急性期対応

**急性期の治療**

**制吐薬**
-   **マロピタント**: **1.0 mg/kg SC SID**（NK1受容体拮抗薬）。前庭性嘔吐に有効。
-   **メクリジン**: **12.5〜25 mg/dog SID PO**（抗ヒスタミン薬）。悪心・めまい軽減。

**輸液・栄養**
-   嘔吐持続時は脱水補正のためのIV輸液
-   嘔吐制御後、早期に経口摂食を促す

**環境管理**
-   安全な環境（クッション・マットで衝突防止）
-   転落防止、暗く静かな環境で安静"
9枚目,まとめ,"【まとめ】前庭疾患 ─ 臨床での重要ポイント3点

1.  **末梢 vs 中枢の鑑別が最優先**。特に**垂直性眼振、意識レベル低下、姿勢反応異常**は中枢性のレッドフラグ。
2.  犬の**特発性老齢性前庭疾患**は予後良好。**72時間以内**に改善開始、多くは1〜2週間で回復。
3.  急性期は**マロピタント**などの制吐薬と支持療法で、悪心・嘔吐をコントロールすることが重要。"
10枚目,読者へのアクション・誘導,"【診察ですぐ見返せるよう保存を推奨します！】

詳細なエビデンスと参照論文は、
プロフィールのリンク（Note）にて公開中。

@vet_knowledge_hub (←例: ご自身のアカウント名を入れてください)

=== キャプション（投稿文） ===
前庭疾患の症例、末梢性か中枢性か、初診時の鑑別に迷うことはありませんか？🤔

急な斜頸や眼振は飼い主様も非常に心配されますが、私たち臨床医にとっても鑑別は非常に重要です。

今回の投稿では、前庭疾患の【末梢性 vs 中枢性】の鑑別ポイントを徹底解説。特に、中枢性を示唆する**レッドフラグ**と、犬で最も多い**特発性老齢性前庭疾患の典型的な経過**に焦点を当てました。

✅ **垂直性眼振、意識レベルの低下、姿勢反応の異常**があれば、躊躇なくMRIを検討すべきです。
✅ 犬の特発性老齢性前庭疾患は、多くの場合**72時間以内に改善が始まり、1〜2週間で回復**します。この知識は飼い主様への説明にも役立ちます。
✅ 急性期の悪心・嘔吐には、**マロピタント1.0 mg/kg SC SID**が非常に有効です。

日々の臨床で遭遇する前庭疾患症例の対応に、ぜひ本投稿をご活用ください。
スライドを保存して、必要な時にすぐ見返せるようにしておきましょう！

#獣医 #動物救急 #前庭疾患 #神経疾患 #小動物臨床 #臨床獣医学 #診断学 #マロピタント"
