スライド番号,役割,テキスト
1枚目,表紙,"多頭飼育猫の「突然の粗相」
原因は本当に膀胱炎だけ？

見落とされがちな多頭飼育ストレスと
エビデンスに基づく環境改善"
2枚目,結論,"多頭飼育猫のストレス関連行動
対応フロー

Step 1: 医学的原因を除外
　　　　（特にFIC / 特発性膀胱炎）

Step 2: 環境改善（MEMO）が第一歩
　　　　─ 核心は「N+1ルール」と「3D空間」の確保

Step 3: フェロモン療法は補助"
3枚目,昔の常識 vs 今のエビデンス,"❌ 旧来の常識 vs ✅ 最新のエビデンス

❌ 猫同士が喧嘩しなければ問題ない
　 ✅ 猫の社会的ストレスは「沈黙のストレス」として蓄積する

❌ トイレを共有できるなら大丈夫
　 ✅ トイレの共有はストレスの主要因。FIC発症リスクが有意に高まる

❌ フェロモン製品はプラセボ
　 ✅ RCTでマーキング行動の有意な減少が実証されており、補助療法としてのエビデンスがある"
4枚目,N+1ルール：リソースの最適配置,"🏠 N+1ルール
リソースの最適配置

原則:
各リソースを「猫の頭数 + 1」用意し、
かつ家の中の異なる場所に分散して配置する

対象リソース:
1. トイレ
2. 水飲み場
3. 食事場所
4. 爪とぎ
5. 休息場所"
5枚目,N+1ルール：具体例① トイレ・水飲み場,"N+1ルール：具体例①

🚽 トイレ
・例: 猫3匹なら4個
・ポイント: 同じ部屋に並べるのは1個と数える。異なる階・異なる部屋に分散が重要
・サイズ: 猫の体長（鼻先〜尾の付け根）の1.5倍以上の長さ
・タイプ: 開放型が推奨（フード付きは匂いがこもりやすく忌避されることも）
・砂の種類: 無香料の鉱物系（ベントナイト）が最も多くの猫に受容される
・清掃頻度: 最低1日1回。理想は排泄のたびに

💧 水飲み場
・例: 猫3匹なら4か所
・ポイント: 食事場所とは離す（猫は水場と食事場を分ける習性がある）"
6枚目,N+1ルール：具体例② 食事・爪とぎ・休息場所,"N+1ルール：具体例②

🍚 食事場所
・例: 猫3匹なら4か所
・ポイント: 視線が交差しない配置。向かい合わせは避ける

🐾 爪とぎ
・例: 猫3匹なら4つ
・ポイント: 縦型・横型の両方を用意し、主要な動線上に配置

🛌 休息場所
・例: 猫3匹なら4つ以上
・ポイント: 高所＋隠れ場所の組み合わせ"
7枚目,3D空間の確保：なぜ「高さ」が重要か,"📐 3D空間の確保
なぜ「高さ」が重要か

・猫は本質的に立体空間を利用する動物であり、ストレスを受けると高所に逃避する習性がある

・各猫に最低1つ以上の「高い位置にある」安全な隠れ場所が必要

・キャットタワー、壁付け棚、タンスの上など3次元的な空間活用がストレス低下に直結する

・エビデンス: 高所の隠れ場所を提供された猫は、コルチゾールレベルが有意に低下し、新しい環境への順応が早かったと報告されている

・理想: 複数の出入り経路がある高所（逃避経路が一方向しかない「行き止まり」は避ける）"
8枚目,フェロモン療法のエビデンス,"🧴 フェロモン療法のエビデンス

猫顔面フェロモンF3アナログ（フェリウェイ）

・作用: 環境への安心感を増大させ、ストレス関連行動を減少

・エビデンス: RCTでプラセボ比でスプレー行動（マーキング）の発生頻度を有意に低下

・FICとの関連: 多頭飼育のFIC再発予防に対する補助効果が報告されている

・使用方法: ディフューザー型（通電式）を猫が最も多く過ごす部屋に設置。最低4週間継続

・限界: 単独使用では効果が不十分なことが多い。環境改善（N+1等）との併用が前提"
9枚目,まとめ,"💡 多頭飼育猫のストレス対策：3つの要点

1. 行動問題として来院した猫は、まず尿検査・血液検査で医学的原因を除外する
　 （FIC、甲状腺機能亢進症、変形性関節症による疼痛などが背景にあることも）

2. エビデンスに基づく環境改善（N+1ルール、3D空間確保）が治療の第一歩となる

3. フェロモン療法は補助。環境改善と併用することで効果を最大化できる
　 （効果は2〜4週間で現れ始めることを飼い主に伝える）"
10枚目,読者へのアクション・誘導,"この投稿を【保存】して、
明日の診察に役立てましょう。

詳細なエビデンスと論文リンクは
プロフのNoteにて公開中。

=== キャプション（投稿文） ===
多頭飼育猫の「突然の粗相」、原因は本当に膀胱炎だけだと思っていませんか？

臨床現場で遭遇する猫の不適切排泄やスプレー行動。医学的原因を除外しても改善しないケース、その裏には「沈黙のストレス」が潜んでいることがあります。

本投稿では、エビデンスに基づいた多頭飼育猫のストレス対策、特に環境改善（MEMO）の重要性と具体的なアプローチを解説します。

N+1ルール、3D空間の確保、そしてフェロモン療法の活用まで、明日から実践できるポイントをまとめました。

猫のQOL向上と飼い主さんへの適切なアドバイスのために、ぜひ最後までご覧ください。診察ですぐ見返せるよう【保存】を推奨します。

#獣医 #動物救急 #猫の行動学 #多頭飼育 #猫のストレス #環境エンリッチメント #フェロモン療法 #FIC"
