スライド番号,役割,テキスト
1枚目,表紙,"高齢猫の体重減少、多飲多尿。
TT4は6.8 μg/dL…

この猫の甲状腺機能亢進症、
あなたはどの治療を選びますか？

⚖️ 猫の甲状腺機能亢進症 ─ 治療選択の現在地"
2枚目,結論,"🎯 結論：治療選択と最重要モニタリング

✅ 診断の要点
総T4 (TT4) > 3.0〜4.0 μg/dL + 臨床徴候で確定

✅ 主要な治療オプション
① 内科的治療 (チアマゾール)
② 外科的治療 (甲状腺摘出術)
③ 放射性ヨウ素療法 (I-131)

✅ 最重要モニタリング
いずれの治療も、**治療開始後の腎機能モニタリング**が必須。
甲状腺機能亢進症がマスクしていたCKDが治療後に顕在化することが多い。"
3枚目,診断のポイント,"🔍 診断 ─ どこで疑い、どう確定するか

✅ 典型的な臨床徴候
・体重減少 (最も高頻度)
・多食、多飲多尿
・嘔吐・下痢
・被毛粗剛 / 過剰グルーミング
・頻脈 (HR > 240 bpm)
・甲状腺結節の触知 (約90%で腫大)

✅ 検査値の基準
・TT4 (総T4): > 3.0〜4.0 μg/dL で確定的 (> 50 nmol/L)
・fT4 (遊離T4): TT4が正常〜上限域だが臨床的に疑わしい場合に測定。TT4とセットで評価。"
4枚目,診断の臨床Tips,"💡 臨床Tips：見落としを防ぐために

1.  甲状腺結節の触知のコツ
    猫の頭部を軽く上方に伸展させ、**親指と人差し指で気管の両側に沿って「すべらせるように」甲状腺を触診**する。
    正常な猫では甲状腺は触知できないため、結節が触れた時点で異常所見。

2.  「無関心型 (Apathetic Hyperthyroidism)」に注意
    典型的な多食・活動性亢進ではなく、**食欲不振・活動低下**を呈する猫が10%程度存在し、診断が遅れやすい。
    高齢猫の原因不明の食欲不振ではTT4を測定すべき。"
5枚目,昔の常識 vs 今のエビデンス,"⚡ 昔の常識 vs 今のエビデンス

❌ TT4が正常範囲でも上限ギリギリなら問題なし
✅ 高齢猫では**甲状腺機能亢進症とCKDが共存**し、互いをマスクすることがある。TT4が正常上限で臨床徴候がある場合は**fT4や経時的なTT4再検**が推奨される。

❌ 内科管理で安定すれば腎機能チェックは不要
✅ チアマゾール開始後、GFR低下により**Creが30%以上上昇しないか2〜3週間後に必ず確認**。腎機能悪化が生じた場合は投与量の再調整が必要。

❌ 放射性ヨウ素は危険な治療
✅ I-131は**1回の注射で95%が完治**する安全性・有効性ともに最も高い治療法。ただし日本では実施可能施設が極めて限られる。"
6枚目,治療法の比較,"💊 治療法の比較

| 治療法 | 根治性 | 利点 | 欠点 | 日本での可用性 |
|---|---|---|---|---|
| **チアマゾール（内科）** | ❌ 維持療法 | 投与量の調整可能。腎機能への影響を段階的に評価可。 | 副作用 (10〜20%)、生涯投与、コンプライアンス。 | ✅ どの病院でも可能 |
| **甲状腺摘出術（外科）** | ✅ 根治可能 | 1回の手術で解決。 | 術後副甲状腺機能低下症 (10〜20%)。全身麻酔のリスク。 | ✅ 可能 (経験ある外科医に依頼) |
| **放射性ヨウ素 I-131** | ✅ 根治 (95%) | 最も高い治癒率。侵襲なし。 | 施設限定。隔離期間が必要。高額。 | ⚠️ 実施施設が極めて限定的 |
| **ヨウ素制限食** | △ 補助的 | 薬を嫌がる猫に対する選択肢。 | 有効性のエビデンスが限定的。他のフードを一切与えられない。 | ✅ Hill's y/d |"
7枚目,チアマゾール（内科）の実際,"💊 チアマゾール ─ 内科管理の実際

✅ 用量設定と調整
| ステージ | 用量 | モニタリング |
|---|---|---|
| **初期** | **1.25〜2.5 mg/cat PO q12h** | 2〜3週後にTT4 + Cre/BUN再検 |
| **調整** | 目標TT4: **1.0〜2.5 μg/dL の下半分** | 4〜6週ごとに再検。安定後は3ヶ月ごと |
| **維持** | 最小有効量を維持。多くは2.5〜5 mg/cat q12h | TT4 + 腎機能 + 血球計数を定期チェック |

✅ 副作用 (発生率 約10〜20%)
・消化器症状（嘔吐・食欲不振）：投薬中止、経皮ゲル製剤への切り替え検討。
・顔面掻痒（Face Rubbing）：薬剤アレルギーの可能性。
・肝酵素上昇：治療開始2〜3週後の血液検査でチェック。
・**白血球減少症 / 血小板減少**：稀だが重篤。**顆粒球減少症**は生命に関わるため定期的な血球計数が必須。

⚠️ **チアマゾール開始後の腎機能悪化**
甲状腺機能亢進症はGFRを増加させるため、治療によりTT4が正常化すると**潜在していたCKDが顕在化**する。Creが30%以上上昇した場合は、チアマゾールの減量と腎機能とのバランスを取る「**妥協的管理 (Therapeutic Compromise)**」が必要となる。"
8枚目,外科と放射性ヨウ素（I-131）,"🔪 外科的治療と☢️ 放射性ヨウ素療法

✅ 外科的治療（甲状腺摘出術）
・**両側摘出**: 医原性副甲状腺機能低下症の発生リスク **10〜20%**
  ・術後24〜72時間の**イオン化カルシウムモニタリング**が必須
  ・低Ca血症の徴候: 振戦、テタニー、発作
  ・治療: **10%グルコン酸カルシウム 0.5〜1.5 mL/kg IV slow + ビタミンDアナログ（カルシトリオール）長期投与**
・術前にチアマゾールで甲状腺機能を正常化しておくことが推奨される（麻酔リスクの低減）。

✅ 放射性ヨウ素療法（I-131）
・**治癒率**: **約95%**（1回の注射で完治）
・医原性甲状腺機能低下症: 2〜5%未満
・隔離期間: 通常1〜2週間（放射線量が安全レベルまで低下するまで）
・適応: 両側性の病変、チアマゾール副作用例、外科が不適応な患者。
・最大の課題は**実施可能な施設が限られる**こと（日本では特に）。"
9枚目,まとめ,"✅ まとめ：今日の臨床に活かす3つのポイント

1.  **診断はTT4と臨床徴候で。CKDとの共存を常に意識。**
    TT4が正常上限でもfT4や再検を検討し、無関心型にも注意。

2.  **治療はチアマゾール、外科、I-131の3択。メリット・デメリットを比較し、飼い主と意思決定を。**
    それぞれの根治性、リスク、可用性を理解し、症例に最適な選択を。

3.  **治療開始後の腎機能モニタリングは最重要。Cre 30%↑で妥協的管理も視野に。**
    潜在CKDの顕在化に備え、定期的な腎機能評価と必要に応じた治療調整を。"
10枚目,読者へのアクション・誘導,"この投稿を診察ですぐ見返せるよう【保存】

詳細なエビデンスと論文リンクは
プロフのNoteにて公開中。

ぜひ、日々の診療にご活用ください。

=== キャプション（投稿文） ===
高齢猫の体重減少、多飲多尿。TT4は6.8 μg/dL…
猫の甲状腺機能亢進症は、獣医臨床で遭遇頻度の高い内分泌疾患です。診断から治療選択、そして治療後のモニタリングまで、常に悩ましい課題が伴います。

今回の投稿では、最新のエビデンスに基づき、主要な治療オプション（チアマゾール、外科、放射性ヨウ素療法）の比較と、特に重要な腎機能モニタリングについて深掘りしました。

臨床経験2〜3年目以上の先生方向けに、日々の診療で役立つ実践的な内容を凝縮しています。
チアマゾールの用量設定と副作用管理、両側甲状腺摘出時の医原性副甲状腺機能低下症リスク、そして治癒率95%を誇る放射性ヨウ素療法の現実的な選択肢まで、多角的に解説。

特に、甲状腺機能亢進症がマスクしていた慢性腎臓病（CKD）の顕在化は、治療後の獣医師が直面する大きな課題です。Creが30%以上上昇した場合の「妥協的管理」についても触れています。

今日の診療に役立つ情報をぜひご活用ください。
詳細はプロフのNoteリンクから。診察ですぐ見返せるよう【保存】してご活用ください。

#獣医 #動物救急 #猫の甲状腺機能亢進症 #内分泌疾患 #獣医内科 #猫の病気治療 #慢性腎臓病 #CKD"
