スライド番号,役割,テキスト
1枚目,表紙,"「聴診で異常なし」＝「心臓病なし」で済ませていませんか？
猫の肥大型心筋症（HCM）
最新の早期発見とACVIMステージ別管理"
2枚目,結論,"昔の常識 vs 今のエビデンス

❌ 雑音がないから心臓病の可能性は低い
✅ HCMの約2割は無雑音。好発種・高齢猫にはエコーやNT-proBNPを。

❌ 心機能低下にはとりあえずピモベンダン
✅ LVOTO（左室流出路閉塞）がある場合、閉塞が悪化し致死的になる危険あり。

❌ 診断されたらすぐ心臓薬を始める
✅ ステージB1（無症状＋左房拡大なし）での積極的な投薬は推奨されない。"
3枚目,解説・データ,"早期発見の武器：NT-proBNP
異常値が出たらエコーへ進むためのゲートキーパー。

📊 覚えるべきカットオフ値
・100 pmol/L
　正常 vs 異常の一次スクリーニング。これ以上なら心エコーへ。
・250〜270 pmol/L
　心拡大・うっ血性心不全（CHF）のリスク予測。

💡 呼吸困難が「心因性」か「呼吸器疾患」かの鑑別にも有用。"
4枚目,解説・データ,"心エコー検査：3つの必須チェックポイント
HCMの確定診断とステージ分類に不可欠。

① 壁の厚さ（LVPWd / IVSd）
　拡張期 ≥ 6.0 mm でHCMを強く疑う。（5.5〜6.0 mmは要経過観察）

② LA/Ao比
　≥ 1.5 で左房拡大疑い、≥ 1.6 で明確な拡大。（ステージB2への移行判定）

③ SAM（僧帽弁収縮期前方運動）とLVOTO
　ピモベンダン適応の可否を決める最重要ポイント。"
5枚目,解説・データ,"【要注意】ピモベンダンの使い分け
「心機能が落ちているから」と漫然と処方するのは危険です。

⚠️ SAM / LVOTO（左室流出路閉塞）の確認が必須
収縮期に僧帽弁前尖が中隔側に引き寄せられ、血液の出口を塞ぐ現象。

・LVOTOあり：ピモベンダンは禁忌（閉塞を悪化させる）
・LVOTOなし：ステージCから適応（適応外だが生存期間延長のエビデンスあり）"
6枚目,解説・データ,"臨床アクション表：ACVIMステージ別管理①
※二次性心筋肥厚（高血圧、甲状腺機能亢進症など）は必ず除外。

📍 ステージB1（無症状 ＋ 左房拡大なし）
・投薬不要
・6〜12ヶ月ごとのエコーモニタリング
・ストレス回避と体重管理

📍 ステージB2（無症状 ＋ 左房拡大、SECあり）
・クロピドグレル 18.75 mg/cat（1/4錠） SID PO
　（FAT CAT study：アスピリンよりATE再発期間を有意に延長）
・必要に応じてβ遮断薬"
7枚目,解説・データ,"臨床アクション表：ACVIMステージ別管理②

📍 ステージC（うっ血性心不全：肺水腫、胸水）
・フロセミド 1〜2 mg/kg BID〜TID
　（安静時呼吸数 < 30回/分を維持できる最低用量に調整）
・ピモベンダン 1.25 mg/cat BID PO
　（※LVOTOがない場合に限る）
・クロピドグレル継続

📍 ステージD（難治性心不全）
・利尿薬の増量や切り替え（トラセミド）
・胸水抜去などの緩和的ケア"
8枚目,解説・データ,"予後データと飼い主説明のコツ

📊 生存期間中央値（MST）
・CHF発症後：約 6〜18ヶ月
・ATE発症後：約 2〜6ヶ月
・特に予後不良：直腸温 < 37.2℃、後肢両側麻痺

🗣️ Q. ステージB1で薬を飲まなくて進行しない？
「世界的ガイドラインでも、初期からの投薬による寿命延長効果は証明されていません。毎日の投薬ストレスを避け、定期健診で正確に監視を続けることが現在の最大の治療です。」"
9枚目,まとめ,"猫のHCM管理：本記事の要点

❶ 「無雑音」でもHCMは否定できない。リスク猫にはNT-proBNP（カットオフ100）とエコーを活用。
❷ ステージB1は投薬不要。ピモベンダンはエコーでLVOTOの有無を確認してから使用する。
❸ ステージB2からはクロピドグレル（18.75 mg/cat SID）で血栓症を予防する。

（※2024-2025年、mTOR経路を阻害する新薬「シロリムス」など、病態を直接ブロックする治療開発にも注目）"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
「聴診で雑音がないから大丈夫」と思っていませんか？🩺

猫の心臓病の約2/3を占める肥大型心筋症（HCM）。実は約2割のケースで心雑音が聴取されないというデータがあります。
無症状のうちに見つけ、ATE（動脈血栓塞栓症）などの致命的な事態を防ぐためのエビデンスに基づいた管理方法をまとめました。

【今回のポイント】
・NT-proBNPのスクリーニング値とCHF予測値
・心エコーで絶対に確認すべき「壁厚・LA/Ao・LVOTO」
・ピモベンダンが禁忌となるケース
・ACVIMステージ別の適切な投薬プラン（B1での無投薬の理由など）

最新のガイドラインや予後データ（MST）も網羅しているので、日々の診療や飼い主様へのインフォームドコンセントにもご活用ください。

詳細なエビデンスや論文リンクはプロフィールのNoteからチェックできます📚
右下の保存マークを押して、診察の合間にサッと見返せるようにしておきましょう🔖

#獣医 #動物救急 #獣医学 #動物病院 #獣医療 #心エコー #循環器科"
