スライド番号,役割,テキスト
1枚目,表紙,"猫のATE（動脈血栓塞栓症）
「とりあえずレントゲン」撮っていませんか？
致命的な激痛を伴う循環器救急の最新アップデート"
2枚目,結論,"猫のATE 救急対応フロー
最優先は「鎮痛」、次に「抗血栓療法」

1. 診断：The 5 Ps
↓
2. 最優先：激痛緩和
フェンタニル IV / CRI
↓
3. 急性期：抗血栓療法
未分画ヘパリン IV → SC
↓
4. 慢性期：再発予防
クロピドグレル（±リバーロキサバン併用）"
3枚目,診断,"ATE診断の基本「The 5 Ps」
身体検査で即時診断を

・Pain（激痛）：叫び声、攻撃的
・Paresis / Paralysis（不全麻痺〜完全麻痺）：多くは後肢
・Pulselessness（脈拍消失）：大腿動脈拍動の消失
・Pallor（蒼白）：肉球・爪床の蒼白（健側と比較）
・Poikilothermy（冷感）：患肢の冷感"
4枚目,解説・データ,"昔の常識 vs 最新エビデンス

❌ とりあえずレントゲン
✅ 鎮痛が最優先
極度の疼痛とパニックによる突然死を避けるため

❌ アスピリンで再発予防
✅ クロピドグレルが優位
FATCAT studyにより証明。アスピリンは現在非推奨

❌ 血栓を「溶かす」治療（血栓溶解薬）
✅ 再灌流障害のリスク大
カリウムや乳酸の急激な全身還流により致死的になりやすい"
5枚目,解説・データ,"なぜ「鎮痛」が最優先なのか？

ATEは虚血による最も激しい痛み（10/10）を伴う。
疼痛ストレスは交感神経を亢進させ、心拍数・血圧を上昇→基礎疾患（HCM等）を悪化させる。

【推奨プロトコル（第1選択）】
・フェンタニル
　Bolus: 2-5 mcg/kg IV
　CRI: 2-5 mcg/kg/hr

⚠️ ブプレノルフィンの限界
部分作動薬であり、ATEレベルの激痛には力価不足。後からフルアゴニストを入れても競合するため、最初からフルアゴニストを選択すること。"
6枚目,解説・データ,"急性期の抗血栓療法

急性期のコントロール：未分画ヘパリン

・推奨用量
　初回：250-300 IU/kg IV
　（※過剰投与による出血に注意し100 IU/kgから開始する場合あり）
　維持：150-250 IU/kg SC q6-8h または CRI

・モニタリング目標
　APTT 1.5〜2.0倍 に調整"
7枚目,解説・データ,"退院後の再発予防（慢性期）

・クロピドグレル（標準治療）
　18.75 mg/cat PO q24h
　（※抗血小板薬）

・リバーロキサバン（Dual Therapyの検討）
　2.5 mg/cat PO q24h
　（※因子Xa阻害薬）

💡 クロピドグレル＋リバーロキサバンの併用で、出血リスクは若干増えるものの、再塞栓予防と生存期間の延長が報告されている。"
8枚目,解説・データ,"予後と予後因子

【全体的な予後】
・生存退院率：30-40%（安楽死含む）
・再発率：25-50%
・退院できれば、多くは1-2ヶ月で運動機能を回復

【悪い予後因子】
・直腸温 < 37.0℃（重度の末梢循環不全）
・徐脈（高K血症の合併を示唆）
・両後肢完全麻痺

※悪い予後因子がない場合は、積極的治療に値する。"
9枚目,まとめ,"猫のATE救急対応 要点3つ

1. レントゲンの前にまず「鎮痛」。極度な疼痛による突然死や心不全悪化を防ぐ。
2. 鎮痛はブプレノルフィンを避け、最初からフルアゴニスト（フェンタニル等）を使用する。
3. 急性期は未分画ヘパリン、退院後はクロピドグレル（±リバーロキサバン）で再発予防を。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「後ろ足が突然動かなくなった」
猫の動脈血栓塞栓症（ATE）は、激痛を伴う一刻を争う循環器救急です。

昔は「まずはレントゲン」「アスピリンの処方」などが一般的でしたが、現在のエビデンスでは推奨が大きく変わっています。特に、極度のパニックや疼痛による突然死・心不全悪化を防ぐためにも、検査よりも何よりも「フルアゴニストによる鎮痛」が最優先されます。

また、FATCAT study以降、再発予防にはクロピドグレルが標準治療となり、近年ではリバーロキサバンとの併用（Dual Therapy）による生存期間延長の報告も出てきています。

生存退院率は30-40%と依然として厳しい疾患ですが、悪い予後因子（低体温、徐脈、両後肢完全麻痺など）がなければ、1〜2ヶ月で歩行機能の回復が見込める積極的治療に値するケースも多く存在します。

臨床現場での迅速な意思決定とご家族へのインフォームに、ぜひ本投稿をお役立てください。

詳細なエビデンスや飼い主様への説明ガイド、論文リンクはプロフィール欄のNoteから確認できます。
いざという時に見返せるよう、右下のボタンから【保存】をお願いします🔖

#獣医 #動物救急 #循環器 #動脈血栓塞栓症 #獣医学 #エビデンスに基づく獣医学"
