スライド番号,役割,テキスト
1枚目,表紙,"昨日までCre正常だった犬が突然の無尿に。
急性腎障害（AKI）の初期対応
「攻めの輸液」と「高K血症管理」のアップデート"
2枚目,結論,"【AKI対応の4つの核】
AKIはCKDと異なり「可逆的」な可能性がある病態。
初期対応のスピードが生死を分けます。

① 原因の特定と除去（毒性物質の中止、尿路閉塞の解除）
② 積極的な輸液療法による腎灌流の回復
③ 尿量モニタリング（目標: 1-2 mL/kg/h）
④ 高カリウム血症の緊急管理"
3枚目,解説・データ,"【原因分類と最優先アクション】
原因によって治療の根本が異なります。

■ 腎前性（脱水、ショック等）
→ 輸液蘇生。腎灌流が回復すればCre改善。

■ 腎性（毒性物質、レプトスピラ、虚血等）
→ 毒性物質の中止・解毒、抗菌薬、輸液で腎灌流を維持。

■ 腎後性（尿道閉塞、尿管結石等）
→ 閉塞の解除が最優先。尿量が回復すれば急速に改善。"
4枚目,解説・データ,"【IRIS AKIグレーディングと透析基準】
重症度を評価し、高次施設への紹介タイミングを見極めます。

・Grade I-II: リスク因子の除去と積極的輸液
・Grade III (Cre 2.6-5.0): 入院管理、尿量モニタリング
・Grade IV-V (Cre >5.0): ICU管理、透析の検討

🚨 透析施設への紹介を検討する基準
Grade III以上 ＋ 乏尿/無尿 ＋ 高K血症(> 6.5 mEq/L) が持続する場合。"
5枚目,解説・データ,"【「攻めの輸液」と尿量モニタリング】
▼ 輸液プロトコル
・Phase 1：脱水補正（最初の4-6時間）
⚠️全量を一気に投与すると肺水腫リスク。最初の4-6時間で灌流を回復させ、残りの脱水量は12-24時間かけて補正。
・Phase 2：維持量（2-3 mL/kg/h）＋ 進行中の喪失分

▼ 尿量モニタリング（尿道カテ＋閉鎖式バッグ）
・目標: 1-2 mL/kg/h
・< 1 mL/kg/h → 乏尿（利尿薬を検討）
・< 0.2 mL/kg/h → 無尿（緊急対応）"
6枚目,解説・データ,"【乏尿への対応：利尿薬の使い方】
⚠️ 大前提：脱水が「完全に補正」されているか確認

① フロセミド 2-4 mg/kg IV（30分後判定）
→ 反応あり：フロセミド 0.5-1 mg/kg/h CRIを検討
→ 反応なし：次へ

② 無尿（< 0.2 mL/kg/h）が確定しているか？
→ はい：マンニトール禁忌！（体液過剰悪化リスク）
→ いいえ：マンニトール 0.5-1 g/kg IV（20分かけて）

③ いずれも反応なし
→ 本質的な乏尿/無尿（intrinsic AKI）。透析施設へ紹介。"
7枚目,解説・データ,"【高カリウム血症の緊急管理①：心筋保護】
乏尿/無尿による高K血症は致死的不整脈を招きます。
（K > 6.5 mEq/Lで心電図変化、> 8.0 mEq/Lで心停止切迫）

💡 10%グルコン酸カルシウム 0.5-1 mL/kg IV 緩徐投与
・K値は下げないが不整脈を防ぐ（心筋保護）。
・心電図モニタリング下で 10-20分 かけて投与。
・⚠️急速投与は心停止リスクがあるため厳禁。"
8枚目,解説・データ,"【高カリウム血症の緊急管理②：K低下と輸液】
💡 Kを細胞内へ移行させる
レギュラーインスリン 0.1-0.25 IU/kg IV
＋ 50%ブドウ糖 1.5-2 g/IU IV
（⚠️致死的低血糖防止のため、必ずブドウ糖を同時投与）

💡 輸液の選択（アップデート事項）
「高K時には生理食塩水」は古い概念です！
生理食塩水の大量投与はアシドーシスを招き、高K血症を悪化させるため、現代では乳酸リンゲル液などの緩衝晶質液が推奨されます。"
9枚目,まとめ,"【本記事の要点】
① AKIは可逆的な可能性がある。原因（腎前・腎・腎後）の特定と除去が最優先。
② 脱水を適切に補正し、目標尿量1-2 mL/kg/hを確保する。無尿確定時のマンニトール投与は禁忌。
③ 高K血症時の輸液は、生理食塩水ではなく乳酸リンゲル液などの緩衝晶質液を選択する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
昨日まで正常だったクレアチニン値が急上昇し、突然の無尿に…。
臨床現場で遭遇する急性腎障害（AKI）は、初期対応のスピードと正確な輸液管理が生死を大きく分けます。

慢性腎臓病（CKD）とは異なり、AKIは原因を取り除くことで「可逆的」に回復する可能性を秘めています。
今回の投稿では、腎前・腎・腎後性の原因別アプローチから、肺水腫を防ぐための安全かつ積極的な「攻めの輸液プロトコル」、乏尿・無尿時の利尿薬（フロセミド・マンニトール）の正しい使い方、そして致死的不整脈を防ぐ高カリウム血症の緊急管理プロトコルまで、2〜3年目以上の先生方が迷わず動けるためのエビデンスをまとめました。

特に「高カリウム血症の輸液選択」におけるアップデート事項は必見です。
いざという時の判断材料として、ぜひスライドを保存して日々の診療にお役立てください。

#獣医 #動物救急 #小動物臨床 #動物病院 #獣医学 #輸液療法 #急性腎障害 #エビデンスベースト獣医学"
