スライド番号,役割,テキスト
1枚目,表紙,"「食べない猫」の経過観察、
致命的になっていませんか？
〜猫の肝リピドーシス（HL）と最新の栄養管理〜"
2枚目,結論,"早期E-tube設置と段階的栄養増量がカギ！
【HL治療の基本フロー】
① 初日：輸液・電解質（K・P・Mg）補正
② 12〜24h：嘔吐制御・経食道チューブ（E-tube）設置
③ Day 1〜3：RER 1/3から開始し、3日かけて全量へ
④ Day 3〜7：RER 100%を分割給餌、電解質モニタリング
⑤ 退院：飼い主に指導し、在宅経管栄養へ
⑥ 抜去：自力摂食が3日連続で確認できたらチューブ抜去"
3枚目,診断と原疾患の検索,"HLの約85%は「二次性」！原疾患の検索が必須
■ 臨床プロファイル
・3〜7日間の食欲不振（肥満猫は特にハイリスク）
・ALPの高度上昇（ALTより高値）、黄疸
■ 確定診断
・超音波ガイド下FNAで肝細胞内に多量の脂肪空胞（>50%）を確認
■ 同時に検索すべき原疾患
・膵炎（fPLI）、IBD、リンパ腫、糖尿病、胆管炎
※猫のHLは膵炎の併発が非常に多い！"
4枚目,昔の常識 vs 今のエビデンス,"❌ シリンジで強制給餌する
✅ E-tube設置がゴールドスタンダード！シリンジは誤嚥と過度なストレスの原因に。

❌ 食べるまで待つ
✅ 猫は3〜7日の絶食で脂肪肝に進展。早期の栄養介入が生死を分ける。

❌ 肝臓が悪いから脂肪（高脂肪食）を制限
✅ 高蛋白食が基本！HLからの回復には十分な蛋白質（ME比30〜35%以上）が必要。脂肪制限は不要。"
5枚目,経食道チューブ（E-tube）設置のポイント,"最も確実で安全な栄養ルートの確保
■ 設置のポイント
・プロポフォール等の短時間麻酔下で左頸部からアプローチ（14〜16Fr推奨）
・適切なチューブ長：口から第7〜8肋骨の高さまで（事前に外からマーキング）
・チューブ先端が胃に入りすぎると嘔吐を誘発。必ず設置後にX線で位置確認を。
■ 管理のTips
・チューブが詰まった際は、炭酸水を少量注入し30分放置→フラッシュで解消可能。"
6枚目,栄養計算と段階的増量,"再給餌症候群を防ぐ！徐々に増量が鉄則
■ 目標カロリー（RER）の計算
RER = 70 × (体重kg)^0.75 kcal/日
（簡易式：30 × 体重kg + 70）
■ 段階的増量プロトコル（例：5kgの猫の場合 / RER≒234kcal）
・Day 1：RERの1/3（約78 kcal/日）
・Day 2：RERの2/3（約156 kcal/日）
・Day 3〜：RERの100%（約234 kcal/日）
※缶詰フードをブレンダーで均一にし、1日4〜6回に分割給餌。"
7枚目,合併症管理① 電解質と再給餌症候群,"HLの死因の多くは「再給餌症候群」
長期絶食後の急激な給餌は、K・P・Mgの急降下を招くため要注意。
■ 低リン血症（P < 2.5 mg/dL）
・溶血性貧血や重度の筋力低下の原因に。リン酸Kの静脈内補充が必要。
■ 低カリウム血症
・維持輸液にKCl 20〜40 mEq/Lを添加し補正。
■ 低マグネシウム血症
・MgSO4 0.75〜1 mEq/kg/day CRI で補正。
※給餌開始後もこまめな電解質モニタリングを！"
8枚目,合併症管理② 嘔吐とその他の投薬,"栄養を確実に届けるためのサポート
■ 嘔吐のコントロール
・マロピタント：1 mg/kg SC/IV SID（第一選択）
・メトクロプラミド：0.2〜0.5 mg/kg SC q8h または CRI
・オンダンセトロン：0.1〜0.5 mg/kg IV q8〜12h
※給餌後に嘔吐する場合は、1回量を減らして分割回数を増やす。
■ サプリメント・投薬
・ビタミンK1：0.5〜1.5 mg/kg SC q12h ×3回（凝固異常時。※IVはアナフィラキシーリスクがあり禁忌！）
・L-カルニチン、タウリン等の補充も推奨。"
9枚目,まとめ,"本記事の要点
1. 3日以上の食欲不振を見たらHLを疑う。シリンジ強制給餌は避け、早期にE-tubeを設置する。
2. 急な給餌は致死的な再給餌症候群（低K・低P）を招く。RERの1/3から開始し、3日かけて全量へ増量する。
3. HLの約85%は二次性。膵炎やIBDなど原疾患の検索・治療を並行し、在宅での経管栄養（4〜8週）へ移行する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「食べない猫」の経過観察は、時に致死的な結果を招くことがあります。

猫の肝リピドーシス（HL）は、3〜7日間の食欲不振で急速に進行し、早期の栄養介入が生死を分ける重要な疾患です。
かつては「食べるまで待つ」や「シリンジによる強制給餌」が行われていましたが、現在では【早期のE-tube（経食道チューブ）設置】と【高蛋白食の段階的給餌】がゴールドスタンダードとされています。

また、HLの死亡例の多くは、急激なカロリー投与による「再給餌症候群（低P・低K）」や、コントロール不能な嘔吐が原因です。初日からの厳密な電解質モニタリングと補正、そして原疾患（膵炎やIBDなど）の並行治療が不可欠です。

今回は、臨床現場ですぐに活かせるHLの治療フローと栄養計算、合併症管理のポイントを10枚のスライドにまとめました。
日々の診療のアップデートにぜひご活用ください！

詳細なエビデンスと参照論文は、プロフィールリンクのNoteにて解説しています。
すぐに見返せるように、右下のマークから【保存】をお願いします🔖

#獣医 #動物救急 #獣医療 #小動物臨床 #動物病院 #獣医学 #動物看護師"
