スライド番号,役割,テキスト
1枚目,表紙,"外耳炎の再発ループ、
点耳薬だけで終わらせていませんか？
〜「PSPP分類」に基づく原因別治療アプローチ〜"
2枚目,結論,"外耳炎治療の「3本柱」と全体フロー
外耳炎は「診断」ではなく「症状」。点耳薬だけでは根本解決しません。

① 原発因子の是正（アレルギー等への対処）
② 二次感染の制御（適切な点耳薬・抗菌薬の選択）
③ 耳道環境の改善（状態に応じた耳洗浄）

※まずは初期検査（耳鏡・細胞診・鼓膜確認）が必須！"
3枚目,解説・データ,"外耳炎の戦略基盤「PSPP分類」
原因を整理し、的確なアプローチを。

・P (素因, Predisposing)：リスクを高める
　→ 垂れ耳、多毛な耳道、湿潤、狭窄
・P (素因, Predisposing)：リスクを高める
　→ 垂れ耳、多毛な耳道、湿潤、狭窄
・P (原発因子, Primary)：直接の原因
　→ アトピー（最多）、食物アレルギー、耳ダニ、異物
・S (二次因子, Secondary)：炎症に乗じて発生
　→ マラセチア、ブドウ球菌、緑膿菌
・P (持続因子, Perpetuating)：治癒を阻む
　→ 肥厚、石灰化、中耳炎、バイオフィルム"
4枚目,解説・データ,"なぜ繰り返す？「原発因子の特定」
犬の慢性再発性外耳炎の 43〜55% にアトピーが関与！

・全身症状がなくても、外耳炎が「唯一の症状」であるアトピーも存在。
・繰り返す犬＝必ずアトピーを鑑別に。
・食物アレルギーも犬の80%に外耳炎を伴う（除去食試験を検討）。
・猫の最多原因は耳ダニ（50〜84%）。犬では稀。"
5枚目,解説・データ,"「二次感染の制御」細胞診と点耳薬選択
耳垢の細胞診（染色）は必ず実施し、結果に基づき処方を選択！

🦠 マラセチア
・ミコナゾール系などを選択。
🦠 球菌（Staphylococcus等）
・フシジン酸系、ゲンタマイシン系。
　※鼓膜破損時、ゲンタマイシンは【禁忌】（聴覚毒性）。
🦠 桿菌（Pseudomonas等）
・慢性・抵抗例で出現。フルオロキノロン系やトリスEDTA＋ゲンタマイシン。
　※必ず「培養＋感受性試験」を実施！"
6枚目,解説・データ,"コンプライアンスを上げる「シングルドーズ製剤」
自宅での点耳が難しい飼い主には以下の選択肢を。

💊 オシュルニア
・フロルフェニコール＋テルビナフィン＋ベタメタゾン
・1週間間隔で計2回の投与が必要。

💊 ネプトラ
・フロルフェニコール＋テルビナフィン＋モメタゾン
・1回の投与で完結（約28日持続）。"
7枚目,解説・データ,"「耳洗浄の実際」洗浄液の選び方と禁忌
⚠️洗浄・点耳の前に必ず耳鏡で「鼓膜」を確認（慢性例の約50%で破損）。

・耳垢溶解型（スクアレン等）：脂性耳垢に。
・乾燥型（アルコール含有、酢酸）：湿潤耳に。
　※鼓膜破損時は【禁忌】（強い疼痛・聴覚毒性）。
・抗菌型（トリスEDTA）：緑膿菌バイオフィルムに有効。点耳薬とシナジー。
　※鼓膜確認不可時は、安全な生理食塩水またはトリスEDTAを使用。"
8枚目,解説・データ,"難治例への対応 ＆ 飼い主への説明
🏥 外科的選択肢（最終手段）
耳道の線維化・石灰化・狭窄が不可逆的な場合は、全耳道切除＋側面鼓室胞骨切り（TECA-LBO）を検討。
※術前にCT検査（中耳炎の合併評価）を推奨。

🗣️ 飼い主への説明のポイント
・繰り返すのは根本原因（アレルギー等）があるからと伝える。
・自宅ケアで「綿棒は絶対NG」。マッサージと拭き取りを指導。"
9枚目,まとめ,"本記事の要点
1. 外耳炎は「症状」。点耳薬処方の前にPSPP分類を用いて原発因子（特にアトピー）を特定・治療する。
2. 治療・洗浄前には必ず耳鏡で鼓膜の状態を確認し、細胞診結果に基づいて点耳薬や洗浄液を選択する。
3. 慢性例・難治例では桿菌（培養必須）や中耳炎（CT推奨）を疑い、必要に応じてシングルドーズ製剤や外科手術も視野に入れる。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
何度も来院する慢性・再発性の外耳炎、点耳薬の処方だけで終わっていませんか？

外耳炎はあくまで「症状」であり、根本にある「原発因子」を突き止めなければ、再発の無限ループに陥ってしまいます。特に犬の慢性外耳炎の約半数は、アトピー性皮膚炎が関与していると言われています。

本日の投稿では、臨床現場ですぐに使える外耳炎治療の全体フローと「PSPP分類」、細胞診に基づいた点耳薬の選び方、そして洗浄液の禁忌事項などをまとめました。

忙しい診察の合間や、飼い主様への説明時にすぐ見返せるよう、ぜひ【保存】してご活用ください💡

詳細な論文やエビデンスは、プロフィールのNoteリンクからご確認いただけます！

#獣医 #動物救急 #外耳炎 #犬アトピー性皮膚炎 #細胞診 #動物病院 #獣医学"
