スライド番号,役割,テキスト
1枚目,表紙,"「ストライダー＋チアノーゼ」の大型犬。
「見て触って聴く」前に、まずやるべき処置とは？
〜気道緊急：上気道閉塞・喉頭麻痺の初期対応〜"
2枚目,結論,"【結論】まずは「鎮静」で悪循環を断つ。
最初の10分が勝負。

▼ 段階的対応プロトコル
1. 酸素投与（フローバイ / マスク）
2. 鎮静（まずはここ！）
3. 冷却（高体温時）
4. ステロイド投与
5. 気道確保（改善なし時）"
3枚目,解説・データ,"なぜ「まず鎮静」なのか？

上気道閉塞の患者は、致死的な悪循環に陥っています。
呼吸困難
 ↓
不安・パニック
 ↓
さらに努力性呼吸
 ↓
喉頭浮腫の悪化
 ↓
さらに閉塞（チアノーゼ・窒息）

この悪循環を断つ最も効果的な方法が「鎮静」です。"
4枚目,解説・データ,"推奨される鎮静薬（低用量併用）

■ アセプロマジン：0.005〜0.02 mg/kg IV
不安を軽減し、呼吸努力を減らす。低用量で十分な効果。
※血管拡張作用があるため、循環血液量減少の患者では低血圧に注意。

■ ブトルファノール：0.2〜0.4 mg/kg IV
軽度の鎮静作用と咳嗽反射の抑制。
呼吸抑制作用が弱く、気道緊急に適している。"
5枚目,解説・データ,"⚠️ 避けるべき鎮静薬

デクスメデトミジン等の「α2アゴニスト」は避けること。

【理由1：嘔吐誘発作用】
上気道閉塞下の嘔吐は、致命的な誤嚥リスクとなる。

【理由2：末梢血管収縮作用】
体表からの熱放散を妨げ、高体温をさらに悪化させる。"
6枚目,解説・データ,"高体温へのアプローチ（アクティブクーリング）

高体温は酸素消費量を増大させ、喉頭浮腫を悪化させます。

・方法：濡れタオル＋送風が最も効果的。
（※氷嚢の直接適用は末梢血管収縮を起こし、熱放散を妨げるため非推奨）
・目標体温：39.5℃まで下がったら冷却中止（過冷却を防ぐため）。"
7枚目,解説・データ,"ステロイドによる浮腫の軽減

喉頭・咽頭の浮腫軽減を目的に単回投与します。

■ デキサメタゾン（リン酸エステルナトリウム）：0.1〜0.2 mg/kg IV
■ 代替薬：プレドニゾロン（コハク酸エステルナトリウム）：1〜2 mg/kg IV

※効果発現までに30〜60分を要するため、鎮静と並行して早期に投与を！"
8枚目,解説・データ,"緊急気道確保（挿管と気管切開）

鎮静・冷却・ステロイドを行っても「SpO2 < 90%が持続」「努力性呼吸増悪」「意識低下」がある場合は躊躇せず実施。

■ 導入と挿管
プロポフォール：2〜4 mg/kg IV （小分けにIVし効果を確認）
※代替：アルファキサロン IV

■ 緊急気管切開
喉頭展開しても声門が見えない、挿管不可能な場合は、通常より1〜2サイズ小さいチューブで緊急気管切開を実施。"
9枚目,まとめ,"本記事の要点

① 上気道閉塞のパニックは「まず鎮静」。アセプロマジン＋ブトルファノールの併用が第一選択。
② 高体温は「濡れタオル＋送風」で冷却（39.5℃で中止）。α2アゴニストや氷嚢は状態を悪化させるため避ける。
③ 鎮静・冷却・ステロイドでSpO2が90%を切るなら、躊躇せずにプロポフォールで導入・気道確保（挿管または気管切開）を行う。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===

「ストライダー（吸気性喘鳴）＋チアノーゼ」で飛び込んできた大型犬。
まずは診察台で保定して、体温とSpO2を測って…としていませんか？

パニック状態の患者において、無理な保定や検査は「努力性呼吸→喉頭浮腫悪化」の致死的な悪循環を招き、致命的になり得ます。

気道緊急（上気道閉塞・喉頭麻痺）の初期対応は、最初の10分が勝負。
「見て、触って、聴く」前に、フローバイで酸素を流しながら【まず鎮静】をかけるのが鉄則です。

本日のスライドでは、
・気道緊急時の段階的対応プロトコル
・安全な鎮静薬の選択と避けるべき薬剤
・正しい冷却法とステロイドのタイミング
・挿管と気管切開への移行基準
について、エビデンスに基づき解説しています。

臨床現場のいざという時に迷わず動けるよう、ぜひスライドを右にスワイプして確認してください👉

詳細なエビデンスと参照論文は、プロフィールのNoteリンクからご確認いただけます。
救急対応時にサッと見返せるよう、右下の【保存マーク】を押しておくことをお勧めします🔖

#獣医 #動物救急 #小動物臨床 #動物病院 #獣医療 #獣医学"
