スライド番号,役割,テキスト
1枚目,表紙,"ショック時の輸液蘇生
「犬と同じ感覚」で
猫にもボーラスしていませんか？
〜目標指向型蘇生の実践〜"
2枚目,結論,"結論：ショック時の輸液は「目標指向型」が鉄則
一律の量を持続投与するのではなく、
「ボーラス投与 → 再評価 → 必要時追加」
のサイクルを繰り返す。

■ 初期ボーラスの目安（等張性晶質液）
・犬：20 mL/kg（15-20分でIV）
・猫：5-10 mL/kg（15-30分でIV）
※猫は体液過負荷に極めて脆弱なため小容量から開始（Titration）。"
3枚目,ショックの分類と輸液の注意点,"ショックの鑑別は輸液前に必須
■ 4つのショック分類
① 循環血液量減少性（出血、脱水など）
② 分布異常性（敗血症、アナフィラキシーなど）
③ 閉塞性（GDV、肺血栓塞栓症など）
④ 心原性（重度不整脈、心タンポナーデなど）

⚠️ 注意：
「心原性ショック」での過剰輸液は致命的。
輸液蘇生を開始する前に、超音波等で心原性を除外することが重要。"
4枚目,犬の輸液蘇生（等張性晶質液）,"第一選択：乳酸リンゲル液 または 生理食塩水
■ 犬のショックドーズ（全量）：80-90 mL/kg

① 初期ボーラス：20 mL/kg を 15-20分かけてIV
② 投与後に必ず再評価（心拍数、血圧、CRT、粘膜色、意識レベル）
③ 改善が不十分であれば追加ボーラス（20 mL/kgずつ）
※一度に全量を投与しない原則を厳守する。"
5枚目,猫のショックの落とし穴,"猫のショックは犬とは病態が異なる
猫はショック時に「徐脈・低体温・低血圧の三徴」を呈することが多い。
※犬のような頻脈・粘膜紅潮はむしろ例外。

⚠️ 肺水腫のハイリスク
低体温の猫は末梢血管がカテコラミンに反応しにくい。
大量輸液後に復温すると、一気に血管拡張が起こり「肺水腫」に陥る危険性が高い。"
6枚目,猫の輸液蘇生（等張性晶質液）,"猫は「保温」と「小容量輸液」を並行する
■ 猫のショックドーズ（全量）：50-55 mL/kg

① 初期ボーラス：5-10 mL/kg を 15-30分かけて慎重にIV
② 各ボーラス後に必ず再評価
③ 復温を確認しながら、必要に応じて少量ずつ漸増する。
※猫は犬よりも肺水腫に陥りやすいため、少量ボーラス（Titration）の徹底を。"
7枚目,膠質液（ヒドロキシエチルスターチ等）の現在地,"膠質液の使用は「慎重」に傾いている
かつては血管内容量拡張の目的で頻用されたが、近年ヒトのRCTで敗血症患者への使用と「腎障害リスク」の関連が示された。

獣医療でもこの影響を受け、敗血症や全身性炎症反応（SIRS）を伴うショックでは、晶質液ベースの蘇生が推奨される傾向にある。"
8枚目,高張食塩水（3-7.5%）の活用,"少量で迅速な血管内容量拡張が必要な場面で
細胞内・間質から血管内へ急速に水分を移動させる。

■ 適応
頭部外傷（脳浮腫軽減）、急速な蘇生が必要な大型犬など。
■ 投与量（10-15分かけてIV）
犬：4-5 mL/kg
猫：2-4 mL/kg

⚠️ 注意：
高ナトリウム血症や重度脱水は悪化させるため禁忌。投与後は等張性晶質液による間質液の補充が必須。"
9枚目,まとめ,"ショック時の輸液戦略 3つの要点
① 常に「目標指向型蘇生」を意識。一度に全量投与せず「ボーラス投与→再評価」を繰り返す。
② 犬の初期ボーラスは20 mL/kg。猫は肺水腫リスクを考慮し5-10 mL/kgの小容量で慎重に開始。
③ 猫特有のショックの三徴（徐脈・低体温・低血圧）を見逃さず、積極的な保温を並行して行う。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
ショックを呈した動物が来院した際、焦って輸液量を設定していませんか？
特に「犬と同じ感覚で猫にもボーラス投与」をしてしまうと、取り返しのつかない肺水腫を招くリスクがあります。

ショック時の輸液蘇生は「目標指向型蘇生（Goal-directed resuscitation）」が基本です。
ショックドーズの全量を一気に落とすのではなく、
「初期ボーラス投与 → 再評価（心拍数、MAP、CRT等） → 必要に応じて追加」
というサイクルを回すことが、体液過負荷を防ぐ最大の防御策となります。

特に猫はショック時に「徐脈・低体温・低血圧」の三徴を呈しやすく、低体温のまま大量輸液を行うと、復温時に急激な血管拡張が起こり容易に肺水腫に陥ります。「保温」と「小容量ボーラス（5-10 mL/kg）」の並行が重要です。

また、近年は敗血症患者におけるヒドロキシエチルスターチ等の膠質液による腎障害リスクも懸念されています。最新のガイドラインや論文に基づく輸液戦略のアップデートが必要です。

スライドでそれぞれの推奨量と禁忌をまとめていますので、救急対応時の確認用としてぜひ見返せるように保存しておいてください。

詳細なエビデンスと参照論文へのリンクは、プロフィールのNoteにて公開しています🩺

#獣医 #動物救急 #救急対応 #輸液療法 #小動物臨床 #動物病院 #獣医学 #臨床獣医"
