スライド番号,役割,テキスト
1枚目,表紙,"フィラリア「まだ季節予防で終わらせていませんか？」
AHS推奨【通年予防】と【3-dose protocol】最新アップデート"
2枚目,結論,"【結論】なぜ通年予防＆年1回検査なのか？
・AHS/CAPCは例外なく「通年予防」を推奨
・季節予防の最大リスクは「非コンプライアンス」（感染の80%以上）
・抗原検査の偽陰性（最大7%）には「血清の熱処理」が有効
・成虫駆除は駆除率98%超の「3-dose protocol」へ"
3枚目,解説1,"気候変動とMicroclimate（微小気候）
■ なぜ冬でも感染リスクがあるのか
・外気温14℃超でMF（ミクロフィラリア）の体内発育が進行
・室内、地下街、温水プール周辺などの「微小気候」では冬期でも感染サイクルが成立しうる
■ コンプライアンスの壁
・開始の遅れや終了の前倒しなど、飼い主の投与忘れが最大の感染リスク
・予防薬投与犬の感染症例の【約80%以上】が非コンプライアンスに起因"
4枚目,解説2,"診断アップデートと偽陰性対策
■ 年1回のスクリーニング（抗原＋MF）は必須
・抗原検査：特異度 >95%, 感度 79〜90%以上
・抗原抗体複合体による【偽陰性が最大約7%】存在
■ 血清の熱処理（Heat Treatment）
・104℃のヒートブロックで10分加熱→遠心分離の上清を使用
・免疫複合体を解離させ、検査感度が有意に上昇
※MF陽性・抗原陰性のパターンを見逃さないため必ず併用"
5枚目,解説3,"予防薬の用量と最新トレンド
（月1回投与・通年推奨）
・イベルメクチン：6〜12 μg/kg PO
・ミルベマイシンオキシム：0.5 mg/kg PO
・モキシデクチン：3 μg/kg PO または 2.5 mg/kg Spot-on
・セラメクチン：6 mg/kg Spot-on

★「Double Defense」アプローチ
薬剤耐性株（JYD-34株等）への対策として、大環状ラクトン＋ピレスロイド系外部寄生虫駆除薬の【通年併用】が最新トレンド。"
6枚目,解説4,"One Healthの視点：人獣共通感染症の予防
■ 消化管内線虫リスクの低減
・大環状ラクトン系予防薬（ミルベマイシン等）は、犬回虫や犬鉤虫の駆除効果も持つ
・通年投与により、ヒトへの「トキソカラ症」や「皮膚幼虫移行症」のリスクを年間通じて低減できる
※フィラリア予防用の低用量イベルメクチン単剤では線虫駆除はできないため注意が必要。"
7枚目,解説5,"成虫駆除：AHS 3-dose Protocol（1/2）
合併症を最小化し、駆除率98%以上を達成するプロトコル。

【Step 1】診断直後から
・通年予防薬の投与開始（MFの漸減）
【Step 2】ドキシサイクリン前投与
・10 mg/kg PO BID, 4週間投与
・共生菌（Wolbachia）を死滅させ虫体を弱体化
・重篤なPTE（肺血栓塞栓症）リスクを数%未満に低下させる
→ その後1ヶ月休薬"
8枚目,解説6,"成虫駆除：AHS 3-dose Protocol（2/2）
【Step 3】メラルソミン二塩酸塩 深部筋肉内注射
・第1回: 2.5 mg/kg IM（脊柱起立筋）
・1ヶ月後 第2回: 2.5 mg/kg IM
・24時間後 第3回: 2.5 mg/kg IM

⚠️ 厳格な運動制限
最後の注射後【6〜8週間】はケージレストを徹底。
※Caval Syndrome（Class 4）は致死的なため、右頸静脈からの物理的摘出が必須。"
9枚目,まとめ,"本記事の要点
1. AHS・CAPCは「通年予防」を推奨。最大の感染リスクは非コンプライアンス（投与忘れ等）。
2. 抗原検査の偽陰性対策として「血清の熱処理」が有効。MF検査との併用を徹底する。
3. 成虫駆除は合併症を最小化する「3-dose protocol」（ドキシサイクリン前投与＋メラルソミン3回）を実施する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
フィラリア予防、まだ「蚊のいる季節だけ」で指導していませんか？🦟

米国糸状虫学会（AHS）やCAPCの最新ガイドラインでは、例外なく「通年予防」が推奨されています。
その最大の理由は、飼い主の非コンプライアンス（投与の開始遅れ・早めの終了）による感染が80%以上を占めているためです。

また、温暖化やヒートアイランド現象により、冬期でも室内などの「微小気候（Microclimate）」で感染サイクルが成立するリスクも見過ごせません。

今回は、臨床現場で押さえておくべき以下のアップデートをまとめました。
・通年予防の根拠とOne Healthの視点
・抗原検査の偽陰性（約7%）を防ぐ「血清の熱処理」
・駆除率98%以上を誇る「AHS 3-dose protocol」の用量と手順

💡 飼い主さんに「冬は蚊がいないから休んでいい？」と聞かれたら…
「暖かい室内や地下などでは冬でも蚊が生き延びることがあります。また、通年でお薬を飲むことで、ヒトにうつる寄生虫（回虫など）の予防にも繋がります」とお伝えするのがスムーズです。

明日からの予防・診療アップデートにぜひお役立てください。

#獣医 #動物救急 #獣医学 #動物病院 #臨床獣医師 #フィラリア予防 #寄生虫予防 #予防医療"
