スライド番号,役割,テキスト
1枚目,表紙,"🍽️ 肥満管理
飼い主の「楽しみ」、猫の「脂肪肝」。
どう向き合いますか？"
2枚目,結論,"肥満は**慢性炎症性疾患**。
減量計画は科学的アプローチで。

✅ 肥満の定義
BCS 8〜9/9、または理想体重の20%以上超過

✅ 減量時給与量の目安
犬: RER × 1.0
猫: RER × 0.8 (⚠️肝リピドーシスリスク回避のため最低ライン)

✅ 目標減量ペース
犬: 週に体重の1〜2%
猫: 週に体重の0.5〜1% (⚠️急激な減量は厳禁)"
3枚目,昔の常識 vs 今のエビデンス,"❌ 旧来の常識
・「ぽっちゃりは健康の証」
・フードを減らせば痩せる
・猫は少し太っていても大丈夫

✅ 最新のエビデンス
・肥満は**慢性炎症性疾患**。アディポカインが全身性炎症を惹起。
・単純なカロリー制限は**代謝適応**を招く。高タンパク・高繊維の**減量サポート食**で筋肉維持。
・猫のBCS 8/9以上は**糖尿病リスクが4倍**に。"
4枚目,肥満の評価方法 ─ BCS,"BCS (9段階) と体脂肪率の目安

| BCS | 状態 | 体脂肪率 |
|---|---|---|
| 1-3 | 痩せすぎ | < 10% |
| 4-5 | 理想体重 | 15〜25% |
| 6-7 | 過体重 | 25〜35% |
| **8-9** | **肥満** | **> 35%** |

💡 BCS 1段階の差 ≒ 理想体重の**約10〜15%**の過不足
💡 BCS 9/9 は理想体重の約**140〜150%**に相当"
5枚目,肥満の評価方法 ─ 理想体重の推定,"最も健康だった時期の体重を参照。
記録がない場合はBCSから逆算。

理想体重の推定 = 現在の体重 ÷ (1.0 + (BCS - 5) × 0.1)

例:
現在BCS 8/9で7 kgの猫
(理想より約30%過体重)
→ 理想体重 ≒ 7 ÷ 1.3 ≒ **5.4 kg**"
6枚目,減量給与量の計算 ─ RERと給与カロリー,"Step 1: RER (安静時エネルギー要求量) の計算
RER (kcal/day) = 70 × (理想体重 kg)^0.75

| 理想体重 | RER |
|---|---|
| 3 kg | 160 kcal |
| 5 kg | 234 kcal |
| 10 kg | 394 kcal |
| 20 kg | 662 kcal |

Step 2: 減量時の給与カロリー
犬: **RER × 1.0** (理想体重で計算)
猫: **RER × 0.8** (理想体重で計算)

⚠️ **猫のRER × 0.8は最低ライン。これ以下は肝リピドーシスリスク増大。**"
7枚目,減量給与量の計算 ─ 給餌量とモニタリング,"Step 3: 給餌量への換算
1日の給餌量 (g) = 減量時カロリー ÷ フードのカロリー密度 (kcal/g)
例: 猫 (理想体重4 kg) の減量時カロリー 158.4 kcal (198 kcal × 0.8)。フード 3.2 kcal/g の場合 → 158.4 ÷ 3.2 ≒ **49.5 g/day**

目標減量ペースとモニタリング
| 項目 | 犬 | 猫 |
|---|---|---|
| 目標ペース | 週に体重の1〜2% | 週に体重の0.5〜1% |
| 再評価 | 2〜4週ごと | 2〜4週ごと |
| ペースが目標以下 | 給与量をさらに10%削減 | 同左 |
| ペースが目標以上 | 給与量を5〜10%増加 | **必ず増量**して調整 (急激な減量は肝リピドーシスリスク) |"
8枚目,猫の肝リピドーシスと臨床Tips,"🐱 猫の肝リピドーシス ─ 急激な減量の危険
発症機序: 急激なエネルギー不足 → 肝臓での脂肪酸代謝能を超える → 肝細胞内脂肪蓄積 → 肝不全
リスク因子: 肥満猫の**2日以上の完全絶食**、または**過度に急激な減量**
予防: 猫の減量は必ず**段階的に実施**し、完全な絶食は絶対に避ける。

💡 臨床Tips
・多頭飼育: **マイクロチップ連動型給餌器**で横取り防止。
・おやつ: 1日の総カロリーの10%以内に制限。
・減量サポート食: **高タンパク・高繊維**で筋肉維持と満腹感。"
9枚目,まとめ,"肥満管理プログラムの要点 3選

1.  **肥満は慢性炎症性疾患**であり、合併症リスクを多数抱える。BCSと理想体重の推定から、現状を正確に評価する。
2.  **犬猫で異なる安全な減量計画**を立案。特に猫は急激な減量による**肝リピドーシス**を絶対に避け、RER×0.8を最低ラインとする。
3.  **飼い主コンプライアンス維持**が最重要。デジタルスケールでの定量給餌、家族への説明、運動プログラムの指導、定期的な通院でモチベーションを維持する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
【🍽️ 肥満管理：飼い主の「楽しみ」と、猫の「脂肪肝」。どう向き合いますか？】

「うちの子、食べるのが唯一の楽しみなんです…」
肥満管理で飼い主さんから聞かれる、この言葉。
臨床現場で誰もが直面するジレンマではないでしょうか？

しかし、肥満は単なる「ぽっちゃり」ではありません。最新のエビデンスでは、慢性炎症性疾患として捉えられ、様々な合併症リスクを高めることが明らかになっています。

今回の投稿では、臨床経験2〜3年目以上の獣医の先生方へ、科学的な減量プログラムの実際を深掘りします。

スライドで解説するポイント
✅ 肥満の定義と評価方法（BCS、理想体重の推定）
✅ 犬猫別のRER計算と減量給与量の設定
✅ 猫の肝リピドーシスリスクと絶対回避すべきこと
✅ 飼い主さんのコンプライアンス維持戦略

特に猫の減量では、肝リピドーシスのリスクを常に念頭に置き、RER×0.8を下回る過度なカロリー制限は絶対に避けるべきです。安全かつ効果的な減量計画を立案し、飼い主さんとの協力体制を築くことが成功の鍵となります。

「フードの量を減らしているのに痩せない」「おやつを止められない」といった飼い主さんの悩みに、エビデンスに基づいたアドバイスで応えましょう。

診察ですぐ見返せるよう、ぜひ【保存】してご活用ください。
詳細なエビデンスと論文リンクはプロフのNoteにて公開中です。

#獣医 #動物救急 #動物病院 #小動物臨床 #栄養管理 #肥満犬 #肥満猫 #減量プログラム"
