スライド番号,役割,テキスト
1枚目,表紙,"局所麻酔・神経ブロック
── 一般病院でできるテクニック
「全身麻酔だけで十分」は過去の話。
5分のひと手間で術後の痛みが劇的に減る。"
2枚目,結論,"【結論】
■ 局所ブロック = マルチモーダル鎮痛の中核
 ・術中の麻酔薬使用量 → 大幅に削減
 ・術後鎮痛 → 劇的に改善
 ・覚醒の質 → ディスフォリア減少

■ 一般病院で導入すべき3つのブロック
 ① 歯科ブロック（4種）
 ② 精巣ブロック（去勢）
 ③ Splash Block（避妊）"
3枚目,薬剤比較,"【局所麻酔薬の比較】

■ Lidocaine 2%（速効・短時間型）
 ・効果発現: 数分
 ・持続: 1-2時間
 ・犬 最大用量: 4-6 mg/kg
 ・猫 最大用量: 2-3 mg/kg

■ Bupivacaine 0.5%（遅効・長時間型）
 ・効果発現: 20-30分
 ・持続: 4-6時間
 ・犬 最大用量: 2.0 mg/kg
 ・猫 最大用量: 1.0-1.5 mg/kg

⚠️ 猫は犬の半量が安全上限（CNS毒性に注意）"
4枚目,昔 vs 今,"【昔の常識 vs 今のエビデンス】

❌ 全身麻酔があれば局所ブロックは不要
✅ 局所ブロックはマルチモーダル鎮痛の中核

❌ 猫もリドカインを犬と同じ量で使える
✅ 猫はCNS毒性に弱い → 犬の半量が安全上限

❌ 神経ブロックは専門技術で一般病院には難しい
✅ ランドマーク法で5分以内に実施可能、特別な機材不要

❌ LidocaineとBupivacaineの1:1混合が便利
✅ pH変化で結晶化・効果減弱を招くため推奨されていない"
5枚目,歯科ブロック,"【歯科処置の4つのブロック】

■ 眼窩下孔ブロック
 ・対象: 上顎第3前臼歯より吻側（切歯・犬歯）
 ・注入: 眼窩下孔（第3前臼歯根尖部直上）

■ 上顎神経ブロック
 ・対象: 上顎全ての歯・口蓋軟部組織
 ・注入: 眼窩後方の切痕から

■ 下歯槽神経ブロック
 ・対象: 下顎全歯・下唇
 ・注入: 下顎孔（下顎角内側面）付近

■ オトガイ神経ブロック
 ・対象: 下顎第2小臼歯より吻側
 ・注入: 中オトガイ孔"
6枚目,歯科Tips,"【歯科ブロックの実践Tips】

① ブロックを先に行い、5-10分待ってから抜歯を開始
 → 術中の吸入麻酔濃度を大幅に下げられる

② Bupivacaine単独で持続時間を稼ぐのが主流
 → 混注（LidocaineとBupivacaine）は推奨されない

③ 小型犬・猫では注入量が0.1-0.3 mL程度
 → 1 mLシリンジを使用して正確に量ること"
7枚目,去勢・避妊ブロック,"【去勢・避妊手術のブロック】

■ 精巣ブロック（Intratesticular Block）
 ・精巣実質中心へ局麻を注入
 ・牽引痛を劇的に軽減
 ⚠️ 体重あたりの最大毒性用量を必ず計算
 ⚠️ 固定量（0.5-1.0 mL）投与は小型犬・猫で致死量に達するため絶対禁忌

■ Line Block / Splash Block（避妊手術）
 ・Line Block: 白線切開前に切開予定線の皮下筋肉に浸潤
 ・Splash Block: 閉創前に卵巣・子宮断端へBupivacaineを散布
 ・術後2-4時間の回復が大幅改善
 ・覚醒時のディスフォリア（興奮・暴れ）を減少"
8枚目,安全管理,"【安全管理 ─ 毒性の回避と合併症対策】

① 血管内誤注入の回避
 → 注入前に必ず吸引テスト（Aspirate）

② リドカイン＋エピネフリン合剤の禁忌部位
 → 耳介、尾、趾端（末梢組織）→ 虚血・壊死のリスク

③ CNS毒性の徴候
 → 筋攣縮、けいれん、嘔吐
 → Lidocaine IV CRI中は注意してモニタリング

④ Bupivacaineの心毒性
 → 血管内大量注入で難治性の不整脈
 → IV投与は絶対禁忌"
9枚目,まとめ,"【本記事の要点】

① 局所ブロックはマルチモーダル鎮痛の中核。全身麻酔薬の削減＋術後鎮痛の劇的改善
② 薬剤はLidocaine 2%（速効1-2h）とBupivacaine 0.5%（持続4-6h）の2択。猫は犬の半量
③ 歯科4ブロック、精巣ブロック、Splash Blockはランドマーク法で5分以内に実施可能
④ 注入前には必ず吸引テスト。Bupivacaine IVは絶対禁忌"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
🏥 歯科処置・去勢・避妊 ── 毎日行うルーティン手術で、局所ブロックを追加していますか？

「全身麻酔だけで十分」という認識は過去のものです。最新のAAHAガイドラインでもマルチモーダル鎮痛の一環として局所麻酔・神経ブロックの積極的導入が推奨されています。

歯科処置での4つのブロック（眼窩下孔・上顎神経・下歯槽神経・オトガイ神経）、去勢手術での精巣ブロック、避妊手術でのSplash Blockは、いずれもランドマーク法で5分以内に実施でき、特別な機材は不要です💉

ただし猫の局所麻酔薬の安全量は犬の半分。「犬と同じ感覚」で投与するとCNS毒性（筋攣縮・けいれん）が出現する危険があります⚠️

明日の手術から取り入れられる実践的な内容をまとめました。スライドをスワイプして確認し、ぜひ【保存】してください🔖

詳細なエビデンスと5本の論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #麻酔 #局所麻酔 #神経ブロック #マルチモーダル鎮痛 #動物病院"
