スライド番号,役割,テキスト
1枚目,表紙,"IMHAの犬、IBDの猫
「ステロイドの副作用が辛い…」

免疫抑制薬の正しい使い分けと
安全に離脱するための【出口戦略】"
2枚目,結論,"結論：急性期はステロイド、早期から第二選択薬を併用

・第二選択薬の目的
ステロイドの副作用を軽減（ステロイド節約効果）し、難治例の予後を改善する。

・導入のタイミング
効果発現には通常【2〜4週間】かかるため、急性期はステロイド主体。ただしIMHA等では「早期からの併用」がACVIMで推奨されている。"
3枚目,解説・データ,"昔の常識 vs 今のエビデンス

❌【旧来】IMHAはステロイド単独で管理
✅【最新】早期から第二選択薬を併用する方が予後改善

❌【旧来】アザチオプリンを猫にも使用
✅【最新】猫へのアザチオプリンは致死的な骨髄抑制リスクあり！猫にはクロラムブシルを使用

❌【旧来】寛解したら早く薬を切りたい
✅【最新】寛解後も2〜4週間は維持し、その後3〜4週間おきに慎重に減量"
4枚目,解説・データ,"第二選択薬の使い分け①
【シクロスポリン】（カルシニューリン阻害）

■ 用量
犬: 5〜10 mg/kg PO q12-24h
猫: 5〜7 mg/kg PO q12-24h
■ 主な適応
アトピー、IMHA、PRCAなど
■ 注意点・副作用
消化器症状、歯肉肥厚（長期使用時、減量で改善）。
IMHA等では高用量で開始し、トラフ濃度より臨床反応を重視する。"
5枚目,解説・データ,"第二選択薬の使い分け②
【ミコフェノール酸モフェチル（MMF）】（プリン合成阻害）

■ 用量
犬: 10 mg/kg PO q12h
■ 主な適応
IMHA、IMTP、重症筋無力症
■ 注意点・副作用
近年IMHAの治療で人気だが、用量依存性の【消化器毒性（血様下痢）】に注意。
⚠️ 猫は重篤な消化器毒性を示すことが多いため、使用には極めて慎重を要する。"
6枚目,解説・データ,"第二選択薬の使い分け③
【クロラムブシル】（アルキル化薬）

■ 用量
猫: 2 mg/cat q48h または 20 mg/m² q2w
■ 主な適応
猫IBD、低悪性度リンパ腫
■ 注意点・副作用
骨髄抑制リスクがあるため、定期的なCBCチェックが必須。

※その他追加薬として【レフルノミド】（犬: 2〜4 mg/kg PO q24h）なども選択肢となる。"
7枚目,解説・データ,"減量プロトコル ─ 出口戦略

薬を減らす際の「基本原則」
① 寛解（Remission）達成を確認する
② 寛解後、【2〜4週間】はその用量を維持し、再発の有無をしっかり確認する
③ 【25〜50%】ずつ、【3〜4週間おき】に段階的に減量していく

※焦って減量しないことが最大のポイント！"
8枚目,解説・データ,"減量の鉄則・臨床Tips

■ 切る順番
必ず【ステロイドを先に減量・離脱】する。
第二選択薬は最後に切る（または生涯維持とする）。

■ 再発時の対応
減量中に再発してしまったら、直前の「有効だった用量」に戻す。

■ モニタリング
IMHAは特に再発率が高い。減量中も2〜4週間ごとにCBC（Ht、血小板）をチェックする。"
9枚目,まとめ,"まとめ

1. 第二選択薬は早期導入が推奨されるが、効果発現まで2〜4週間はステロイド主体で乗り切る。
2. 猫へのアザチオプリンは絶対禁忌。犬猫や疾患に合わせてシクロスポリン、MMF、クロラムブシルを使い分ける。
3. 減量は寛解後2〜4週待ってから開始。25〜50%ずつ慎重に減らし、必ず「ステロイドから」離脱する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
IMHAやIMTP、猫のIBDなどの治療において「ステロイドの副作用が辛い」と悩むオーナー様は少なくありません。
そんな時に活躍するのが第二選択の免疫抑制薬（ステロイド節約薬）ですが、導入のタイミングや減量のペースには明確なエビデンスとセオリーがあります💡

とくにIMHAにおける早期からの第二選択薬併用はACVIMでも推奨されていますが、効果発現には2〜4週間かかるため急性期のステロイドマネジメントは欠かせません。
また、犬猫での薬剤の使い分け（猫へのアザチオプリンは禁忌など）や、再発を防ぐための「出口戦略（減量プロトコル）」を知っておくことは、長期管理において非常に重要です。

日々の診療のアップデートに、ぜひスライドを保存して見返してください！

#獣医 #動物救急 #免疫介在性疾患 #獣医学 #動物病院 #獣医療"
