スライド番号,役割,テキスト
1枚目,表紙,"犬の肥満細胞腫（MCT）
── グレード別の治療判断
「MCT = 3cmマージン」はもう過去のもの。
Kiupel分類×分子標的薬の時代へ。"
2枚目,結論,"【結論】
■ Kiupel 2段階分類が推奨
 ・Low Grade → MST＞2年、適切な切除で良好
 ・High Grade → MST＜4ヶ月、術後全身療法が必須

■ 治療の三本柱
 ① 適切なマージンでの外科切除
 ② センチネルリンパ節の評価
 ③ High Gradeには分子標的薬 or 化学療法"
3枚目,グレーディング比較,"【Patnaik vs Kiupel】

■ Patnaik（3段階 ─ 旧来）
 ・Grade 1: 転移率＜10%、手術のみで治癒可能
 ・Grade 2: 予後のばらつき大 → Kiupelで再評価を！
 ・Grade 3: 転移率高、予後不良

■ Kiupel（2段階 ─ 推奨）
 ・Low Grade: MST＞2年
 ・High Grade: MST＜4ヶ月

⚠️ Patnaik Grade 2 → 必ずKiupelで再分類"
4枚目,昔 vs 今,"【昔の常識 vs 今のエビデンス】

❌ MCTは無条件で側方3cmマージン
✅ Low Grade（長径≤1cm）→ 側方2cm＋筋膜1層で十分

❌ Patnaik Grade 2は「様子見」
✅ Kiupelで再評価。High Gradeならアジュバント療法

❌ 化学療法はMCTには効かない
✅ c-kit変異陽性例にToceranib（分子標的薬）が著効"
5枚目,外科切除,"【外科切除のポイント】

■ Low Grade（長径≤1cm）
 ・側方マージン: 2cm
 ・深部マージン: 筋膜1層分
 ・完全切除率: 91-100%

■ High Grade
 ・より広いマージンを追求
 ・術後のアジュバント全身療法を計画

■ 全例共通
 ・センチネルリンパ節のFNA細胞診
 ・転移陽性 → 全身療法へ移行"
6枚目,分子標的薬,"【Toceranib（Palladia）─ 分子標的薬】

■ 適応
 ・c-kit遺伝子変異（特にExon 11 ITD）陽性
 ・High Grade MCT, 切除不完全例

■ 用量
 ・2.5-2.75 mg/kg PO
 ・月・水・金（MWF）投与

■ モニタリング
 ・2週間ごとにCBC＋尿検査＋体重
 ・蛋白尿（UPC上昇）→ ACE阻害薬追加を検討

■ 主な副作用
 ・下痢・血便、好中球減少、蛋白尿"
7枚目,化学療法,"【Vinblastine＋プレドニゾロン】

■ 適応
 ・High Grade MCTの術後アジュバント療法

■ プロトコル
 ・Vinblastine 2.0 mg/m² IV
  （1〜4週目は毎週 → 以後は隔週×4回）
 ・プレドニゾロン 2 mg/kg/day → 漸減

■ 注意点
 ・骨髄抑制（好中球減少）のモニタリング必須
 ・投与前に必ずCBCを確認"
8枚目,脱顆粒対策,"【脱顆粒のリスクと予防】

MCTは触診・手術操作で脱顆粒 →
 ・局所浮腫・潰瘍
 ・消化器潰瘍
 ・低血圧ショック（ダリエ徴候）

■ 予防プロトコル（周術期に開始）
 ・ジフェンヒドラミン（H1）: 2-4 mg/kg PO q12h
 ・ファモチジン（H2）: 0.5-1.0 mg/kg PO q12-24h
 ・重度例: オメプラゾール 1 mg/kg PO q12-24h

💡 FNA前に飼い主にダリエ徴候を説明しておくこと"
9枚目,まとめ,"【本記事の要点】

① 現在はKiupel 2段階分類（Low/High Grade）が標準。Patnaik Grade 2 → 必ずKiupelで再評価
② Low Grade（長径≤1cm）の切除マージンは側方2cm＋筋膜1層で十分
③ センチネルリンパ節のFNA評価がステージングの鍵
④ High Grade → Toceranib（c-kit変異陽性例）またはVinblastine＋プレドニゾロン
⑤ 脱顆粒対策のH1＋H2ブロッカーを術前から併用"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
皮膚の「しこり」を触ったら腫れたり縮んだり ── それ、脂肪腫ではなく肥満細胞腫（MCT）かもしれません🔬

犬で最も頻度の高い皮膚腫瘍であるMCT。かつては「Grade 2は様子見」「全例3cmマージン」が常識でしたが、現在はKiupelの2段階分類が推奨され、マージンも個別化する時代です。

Low Grade（MST＞2年）は側方2cm＋筋膜1層で完全切除が可能。
High Grade（MST＜4ヶ月）はToceranib（Palladia）やVinblastineを用いた術後全身療法が不可欠です💊

c-kit遺伝子変異への分子標的薬が著効する ── もはや「MCTに化学療法は効かない」は過去のものになりました。

スライドで治療フローと薬物プロトコルを確認し、ぜひ【保存】してください🔖
詳細なエビデンスと6本の論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #肥満細胞腫 #MCT #腫瘍外科 #分子標的薬 #動物病院"
