スライド番号,役割,テキスト
1枚目,表紙,"治ってもすぐ再発する「マラセチア皮膚炎」
ただのシャンプー処方で終わっていませんか？
─ 基礎疾患の究明と再発防止戦略 ─"
2枚目,結論,"マラセチア皮膚炎の治療戦略
単に「菌を減らす」だけでなく、「増える環境」を絶つことが勝負。

① 急性期の抗真菌療法（3-4週間）
　局所療法（シャンプー） ± 全身療法
② 基礎疾患の特定と管理
　再発を繰り返す症例では必須のアプローチ
③ 再発予防のための維持療法
　週1回程度の定期的なシャンプー"
3枚目,診断のコツと病態,"診断は「細胞診」が決め手
・テープストリップ法：透明テープを皮膚に押し当て、ディフクイック染色。
・判定基準：高倍率（×1000・油浸）で「1視野あたり2個以上の酵母」で臨床的に有意。
・特徴：ダルマ型の出芽酵母（フットプリント形）。

※M. pachydermatis は犬の皮膚常在菌。マラセチア属で唯一の「非脂質依存性（非要求性）酵母」であり、培養自体は容易だが、常在菌のため培養検査の診断的意義は低い。"
4枚目,局所療法,"エビデンスに基づくシャンプー療法
・第一選択：ミコナゾール2% + クロルヘキシジン2% 配合
（細菌混合感染にも有効）またはケトコナゾール2%
・頻度：週2回（急性期3-4週）→ 週1回（維持期）

【⚠️ 最重要ポイント：接触時間】
最低10分間の放置が必要。シャンプーをつけてすぐ洗い流すと効果が大幅に低下する。高齢犬や心疾患犬には部分浴（趾間や耳介のみ）も有効。"
5枚目,全身療法,"全身用抗真菌薬の選択と注意点
（重度または広範囲で局所療法のみでは不十分な場合）

▶ ケトコナゾール：5-10mg/kg PO SID（食事と一緒に）3-4週
⚠️ 肝毒性に注意。投与前・2週後にALT確認が必要。
⚠️【猫には絶対禁忌】

▶ イトラコナゾール：5mg/kg PO SID（食事と一緒に）3-4週
猫にも使用可。ケトコナゾールと比較して肝毒性が少ない。"
6枚目,基礎疾患のスクリーニング,"再発を繰り返す場合のチェックリスト
マラセチアが増殖する「根本原因（皮膚バリアの破綻）」を疑う。

・アトピー性皮膚炎（最多）：Favrotの基準、季節性の確認、IgE検査
・甲状腺機能低下症：中〜高齢犬。T4、fT4、TSH
・食物アレルギー：通年性の場合。除去食試験（8-12週間）
・クッシング症候群：多飲多尿などがあれば。ACTH刺激試験
・原発性脂漏症：犬種素因（コッカー、シーズー、WHWT等）"
7枚目,治療失敗の要因,"よくある失敗パターンと対策

❌「シャンプーしてるのに治らない」
→ 接触時間が短すぎる可能性大。飼い主に実演指導すると効果的。

❌「薬用シャンプーで乾燥・フケが出た」
→ シャンプー後の保湿不足。セラミド配合の保湿剤を推奨。

❌「良くなったからシャンプーをやめた」
→ 基礎疾患が完治しない限り再発する。維持療法の重要性を飼い主に説明する。"
8枚目,マラセチア外耳炎,"外耳炎の併発と耳の管理
マラセチアは外耳炎の最も一般的な原因菌の一つ。

・局所治療：ミコナゾール / クロトリマゾール含有点耳薬を2-3週間。
・耳道洗浄：【酢酸系イヤークリーナー】が有効。
　→ 耳道内のpH低下により、マラセチアの増殖を抑制する。
・維持期：週1回のクリーナー洗浄を長期継続し、再発を防止。"
9枚目,まとめ,"マラセチア皮膚炎 再発防止の要点
① 診断は細胞診（油浸1視野に2個以上）。常在菌のため培養は不要。
② シャンプー療法は「最低10分の接触時間」が命。飼い主への指導を徹底する。
③ 治っても再発を繰り返す場合は、基礎疾患（アトピーや甲状腺疾患など）のスクリーニングを必ず実施する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
マラセチア皮膚炎、「治ってもすぐ再発する」と飼い主さんから相談されていませんか？

マラセチアは皮膚の常在真菌であり、菌が増えたこと自体よりも「なぜ増えやすい環境になったのか？」という基礎疾患へのアプローチが再発防止の鍵となります。

今回は、臨床経験を積んだ獣医師向けに、エビデンスに基づいたシャンプー療法のコツ、全身療法の使い分け、そして再発時に見落としてはならない基礎疾患のスクリーニングについてまとめました。

日々の診察のアップデートや、飼い主様へのインフォームドコンセントにご活用ください。

#獣医 #動物救急 #獣医皮膚科 #動物病院 #獣医学 #臨床獣医師"
