スライド番号,役割,テキスト
1枚目,表紙,"犬と猫のリンパ腫
同じ治療感覚で診ていませんか？
〜CHOPプロトコルの最新比較と猫のタイプ別戦略〜"
2枚目,結論,"【結論】
犬はCHOPが標準、猫は解剖学的タイプとグレードが鍵

・犬（多中心型）
CHOPプロトコルが標準治療。寛解率80〜90%、生存中央値10〜14ヶ月。
・猫（消化器型が最多）
低グレードなら経口薬で長期管理が可能。大細胞型はCHOP/COPプロトコル。"
3枚目,解説・データ,"【犬 vs 猫 リンパ腫の基本比較】

■ 最多タイプ
犬: 多中心型（末梢リンパ節）
猫: 消化器型

■ 標準治療
犬: CHOP（19週 or 25週）
猫: 低グレード→ クロラムブシル + プレドニゾロン / 高グレード→ CHOPまたはCOP

■ 寛解率
犬: 80〜90%
猫: 50〜75%（大細胞型）

■ 生存中央値
犬: 10〜14ヶ月
猫: 6〜9ヶ月（大細胞）、2〜3年（低グレード）"
4枚目,解説・データ,"【犬のCHOPプロトコル 最新知見】
（シクロホスファミド＋ドキソルビシン＋ビンクリスチン＋プレドニゾロン）

■ 19週 vs 25週（2024年研究）
・無増悪生存期間および全生存期間に【有意差なし】
・ドキソルビシン単剤より、CHOP併用が寛解率・生存期間ともに優れる
・完全寛解（CR）達成の小型犬の生存中央値は683日

👉 臨床アクション
効果が変わらないため、飼い主のライフスタイル（毎週通院か、一部隔週か）に合わせて19週か25週を選択する。"
5枚目,解説・データ,"【猫のリンパ腫 診断アプローチ】

慢性消化器症状（嘔吐・下痢・体重減少）の猫への対応
IBD（炎症性腸疾患）とリンパ腫の鑑別が最重要。

■ 診断ステップ
1. 身体検査 / 血液検査 / 画像診断（エコー・X線）
2. 確定診断には【組織生検】がゴールドスタンダード（細胞診はあくまで補助的）
3. FeLV検査およびリンパ腫のタイプ・グレード判定を必ず実施する。"
6枚目,解説・データ,"【猫の消化器型リンパ腫 治療戦略】
猫のリンパ腫はグレードで予後が大きく分かれる。

■ 低グレード消化器型
・治療: クロラムブシル ＋ プレドニゾロン PO
・予後: 2〜3年以上（最も良好）

■ 大細胞 / 高グレード消化器型
・治療: CHOP または COPプロトコル
・寛解率: 50〜75%
・予後: 生存中央値 6〜9ヶ月（中程度）"
7枚目,解説・データ,"【猫のその他タイプの治療戦略】

■ 鼻腔型リンパ腫
・第一選択: 放射線療法
・予後: 約1年（中程度）

■ 腎臓型リンパ腫
・治療: CHOP または COPプロトコル等
・予後: 不良（中枢神経への転移リスクが高い）

※注意点
猫は犬よりも抗がん剤の副作用（消化器・骨髄抑制）に耐える傾向があるが、食欲不振には十分な注意とケアが必要。"
8枚目,解説・データ,"【飼い主への説明（IC）の要点】

「抗がん剤は辛くないのか？」
・動物の抗がん剤は「つらくない範囲で」QOLを維持することが大前提。
・約80%の犬は目立った副作用なく普通の生活が可能。食欲減退などがあれば用量を調整する。

「治療しないとどうなるのか？」
・無治療の場合、一般的な余命は4〜6週間。
・治療に反応すれば、多くの場合で元気な時間を10ヶ月以上延ばすことができる。"
9枚目,まとめ,"【本記事の要点】

1. 犬の多中心型リンパ腫はCHOPが標準。19週と25週で生存率に有意差はなく、通院頻度で選択可能。
2. 猫の慢性消化器症状はIBDとの鑑別が必須。確定診断には組織生検を推奨。
3. 猫の低グレード消化器型は、経口薬（クロラムブシル＋プレドニゾロン）で2〜3年以上の長期管理が狙える。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクは
プロフのNoteにて。

診察ですぐ見返せるよう
【保存】を推奨します。


=== キャプション（投稿文） ===
リンパ腫は小動物臨床で最も遭遇する腫瘍の一つですが、犬と猫でそのアプローチや予後は大きく異なります。

今回は最新の研究（2024年）を踏まえた犬と猫のリンパ腫の比較、犬のCHOPプロトコルのアップデート、猫のタイプ・グレード別治療戦略をまとめました。

特に犬のCHOPプロトコルにおける「19週 vs 25週の生存率に差はない」という知見や、猫の慢性消化器症状からの診断・治療フローは、飼い主様への提案や日々の臨床判断に直結します。
インフォームドコンセントで役立つポイントも記載していますので、ぜひ保存して診察室でご活用ください。

詳細なエビデンスや参照論文へのリンクは、プロフィールのNoteからご確認いただけます。

#獣医 #動物救急 #獣医療 #獣医臨床 #獣医腫瘍科 #リンパ腫 #動物病院"
