フォルダ,タイトル,現在のタグ（カンマ区切り）,ファイル名
下痢,🐕 犬の急性下痢 ─ 最新エビデンス,救急,犬の急性下痢_最新エビデンス.html
免疫,IMHA ─ 診断と初期治療,"免疫疾患, IMHA, 救急, 免疫, 血液, 犬",IMHA_診断と初期治療.html
免疫,犬のITP ─ 診断と治療,"免疫, 血液, 犬, ITP, 血小板",ITP_診断と治療.html
免疫,免疫抑制薬 ─ ステロイドからの離脱,"免疫, 薬理, ステロイド, 犬猫共通",免疫抑制薬_ステロイドからの離脱.html
免疫,多発性関節炎 ─ 感染性vs免疫介在性の鑑別,"免疫, 整形, 関節液分析, 関節, 鑑別診断, 犬",多発性関節炎_感染性vs免疫介在性の鑑別.html
内分泌,クッシング症候群 ─ 診断の落とし穴,"内分泌, 診断, 犬, クッシング, PDH, 副腎",クッシング症候群_診断の落とし穴.html
内分泌,副腎皮質機能低下症（アジソン病） ─ 診断と治療,"内分泌, 救急, 2023 AAHA, アジソン病, 副腎, 犬",副腎皮質機能低下症_アジソン病の診断と治療.html
内分泌,犬猫の糖尿病 ─ インスリン管理の実際,"内分泌, AAHA, ISFM, 猫, 犬, 糖尿病, インスリン",犬猫の糖尿病_インスリン管理の実際.html
循環器,ピモベンダンの使い方と最新エビデンス,"循環器, 薬理, EPIC試験, ピモベンダン, 犬",ピモベンダンの使い方と最新エビデンス.html
循環器,不整脈の救急対応 ─ 心電図の読み方,"循環器, 救急, 心電図, 不整脈, 犬猫共通",不整脈の救急対応_心電図の読み方.html
循環器,僧帽弁閉鎖不全症 ─ ステージ別治療,"循環器, MMVD（粘液腫様僧帽弁変性症）, ACVIM（米国獣医内科学会）, 犬, MMVD, ACVIM, ピモベンダン, 弁膜症",僧帽弁閉鎖不全症_ステージ別治療.html
循環器,心原性肺水腫 ─ 一般病院での救命Tips,"循環器, 救急, 肺水腫, 一般病院向け, 呼吸器, 猫, 犬",心原性肺水腫_一般病院での救命Tips.html
循環器,心嚢水・心タンポナーデ ─ 心嚢穿刺の実際,循環器,心嚢水_心タンポナーデ_心嚢穿刺の実際.html
循環器,心臓病と麻酔 ─ リスク管理の実際,"循環器, 麻酔, リスク管理, 犬猫共通",心臓病と麻酔_リスク管理の実際.html
循環器,犬のDCM ─ 犬種別アプローチ,"循環器, ACVIM, 犬, DCM, 心筋症",犬のDCM_犬種別アプローチ.html
循環器,猫の肥大型心筋症（HCM）─ 早期発見と管理,"猫, 循環器, スクリーニング, HCM, 心筋症, エコー",猫のHCM_早期発見と管理.html
循環器,猫の動脈血栓塞栓症（ATE）─ 救急対応,"循環器, 救急, 猫, ATE, 鎮痛, 抗血栓",猫の動脈血栓塞栓症ATE_救急対応.html
抗菌薬,メチシリン耐性菌（MRSA/MRSP）─ 対策と治療,抗菌薬,メチシリン耐性菌_MRSA_MRSPの対策と治療.html
抗菌薬,周術期の抗菌薬 ─ 予防投与のタイミング,"抗菌薬, 外科, AMR対策, 周術期, 犬猫共通",周術期の抗菌薬_予防投与のタイミング.html
抗菌薬,抗菌薬選択の基本原則 ─ 臓器別アプローチ,"抗菌薬, 耐性菌対策, ガイドライン, AMR, 犬猫共通",抗菌薬選択の基本原則.html
抗菌薬,犬猫の膀胱炎 ─ 本当に抗菌薬が必要か？,抗菌薬の適正使用,犬猫の膀胱炎_本当に抗菌薬が必要か.html
救急,CPR ─ RECOVER 2024最新アップデートと実践的変更点,救急,CPR_RECOVER最新アップデート.html
救急,DIC ─ 診断と治療,"救急, 血液, 凝固, 犬猫共通",DIC_診断と治療.html
救急,GDV ─ 安定化と手術判断,"救急, 外科, 大型犬, 消化器, 犬, GDV",GDV_安定化と手術判断.html
救急,ショック管理の最新プロトコル ─ 2024 AAHA輸液ガイドラインに基づく実践,救急,ショック管理_最新プロトコル.html
救急,犬猫の中毒 ─ よくある原因物質と初期対応の限界,救急,中毒_初期対応と活性炭.html
救急,🚨 低血糖の緊急管理 ─ インスリノーマ含む,"救急, 内分泌, 低血糖, インスリノーマ, 犬猫共通",低血糖の緊急管理_インスリノーマ含む.html
救急,外傷の初期安定化 ─ トリアージ,"救急, 外科, トリアージ, 犬猫共通",外傷の初期安定化_トリアージ.html
救急,急性腎障害（AKI）の初期対応,"救急, 腎泌尿器, 急性, AKI, 急性腎障害, 輸液, 犬猫共通",急性腎障害_AKIの初期対応.html
救急,急性膵炎 ─ 犬と猫で「ここが違う」管理の実際,"救急, 消化器",急性膵炎_犬猫の違いと管理.html
救急,敗血症の早期認識と初期蘇生 ─ 「1時間以内」が生死を分ける,"救急, 集中治療",敗血症_早期認識と初期蘇生.html
救急,気道緊急 ─ 上気道閉塞・喉頭麻痺,"救急, 呼吸器, 喉頭麻痺, 外科, 犬",気道緊急_上気道閉塞と喉頭麻痺.html
