スライド番号,役割,テキスト
1枚目,表紙,"熱中症 ─ エビデンスベースの冷却法
氷水は逆効果！正しい冷却法と
搬入後の本当の脅威を知っていますか？"
2枚目,結論,"【結論】
■ 熱中症 = 直腸温 > 41℃
■ 搬送前の初期冷却スピードが生存率を直接左右
■ 推奨冷却法
 → 常温〜微温湯（15-25℃）の水 ＋ 扇風機
 → 直腸温 39.0-39.4℃ で冷却を必ず中止
■ 氷水・アルコールの直接塗布は絶対禁忌
■ 冷却後も24-72時間のICU管理が必須
 → SIRS → DIC進行リスクが高い"
3枚目,危険因子,"【熱中症のハイリスク群】

■ 短頭種（ブルドッグ・パグ・フレンチブルドッグ）
 → 上気道狭窄によるパンティング機能低下

■ 肥満犬
 → 脂肪層による断熱効果＋体表面積/体重比↓

■ 大型犬・長毛種

■ 高温多湿環境
 → 閉め切った車内
 → 激しい運動（特に暑熱順化していない犬）"
4枚目,昔 vs 今,"【昔の常識 vs 今のエビデンス】

❌ 氷水に浸して急速冷却
✅ 氷水は末梢血管収縮→深部体温の放散を妨げる（禁忌）

❌ アルコールを塗布して蒸発冷却
✅ 経皮吸収による中毒リスク。蒸発効率も水に劣る（禁忌）

❌ とにかく体温が下がるまで冷やし続ける
✅ 39.0-39.4℃で冷却中止。過冷却はDIC悪化のリスク

❌ 体温が下がったら退院OK
✅ SIRS→DICが冷却後に進行。24-72h ICU管理が必要"
5枚目,推奨冷却法,"【推奨冷却法 ─ 蒸発冷却法】

■ 方法
 ① 全身を常温〜微温湯（15-25℃）で濡らす
 ② 扇風機やエアコンの風を当てる
 ③ 気化熱で効率的に体温を下げる

■ 補助手段
 ・腋窩・鼠径部への冷パック（大血管近傍）
 ・冷輸液の静注（補助的に使用可）

■ 終了基準
 → 直腸温 39.0-39.4℃ で積極的冷却を必ず中止
 ⚠️ 過冷却 → 末梢血管収縮 → 凝固障害悪化 → DIC進行"
6枚目,ICU管理,"【搬入後のICU管理 ─ 本当の脅威】

冷却成功後もSIRS→DIC→多臓器不全のリスク大

■ 輸液
 ・等張性晶質液で循環血液量回復

■ DICモニタリング
 ・凝固パネル連続測定（PT/aPTT/AT/D-dimer）
 ・粘膜点状出血、血尿に注意

■ 消化管保護
 ・腸管粘膜バリア破綻→bacterial translocation
 ・制吐薬、胃粘膜保護薬、早期経腸栄養を検討

■ 腎臓モニタリング
 ・目標尿量: 1-2 mL/kg/hr以上
 ・横紋筋融解症（ミオグロビン尿）→AKI注意

■ 神経モニタリング
 ・脳浮腫による意識障害・発作
 ・ベンゾジアゼピン系を準備"
7枚目,予後因子,"【予後因子】

■ 良好因子
 ・発症から90分以内の冷却開始
  → 生存率が有意に改善

■ 不良因子
 ・DICの発症 → 死亡率約50%
 ・来院時の直腸温 42.5℃超
 ・低血糖
 ・意識障害の持続

💡 ポイント
「オーナーが搬送前に何をしたか」が生死を分ける
正しい冷却法の飼い主啓蒙は獣医師の重要な使命"
8枚目,飼い主への説明,"【飼い主への説明ガイド】

Q.「家で何ができますか？」
A.「まず常温の水を全身にかけてください。氷水は逆効果ですので絶対に使わないでください。扇風機やエアコンの風を当てながら、すぐに病院へ。車内ではエアコン全開にしてください。到着までの冷却が命を救います。」

Q.「体温が下がったのに入院が必要ですか？」
A.「熱中症の怖いところは、体温が下がった後にも全身の臓器にダメージが残ることです。血液凝固異常（DIC）、腎臓や消化管の障害が数日かけて現れます。最低24-72時間のモニタリングが必須です。」"
9枚目,まとめ,"【本記事の要点】

① 冷却は常温〜微温湯＋扇風機の「蒸発冷却法」。氷水・アルコールは絶対禁忌
② 直腸温39.0-39.4℃で冷却を中止（過冷却はDIC悪化）
③ 搬入後はSIRS→DIC進行を24-72時間モニタリング
④ 発症から冷却開始まで90分以内で生存率が有意に改善"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
🌡️ 夏本番を前に ── 熱中症の救急対応、正しくアップデートできていますか？

「氷水に浸して急速冷却」── 一見正しそうなこの冷却法、実は絶対禁忌です。末梢血管が急激に収縮し、深部体温の放散をかえって妨げてしまいます❄️✗

最新のエビデンスが推奨するのは「蒸発冷却法」── 常温〜微温湯（15-25℃）の水を全身にかけ、扇風機で風を当てるシンプルな方法です。そして直腸温が39.0-39.4℃に下がった時点で冷却を必ず中止すること。過冷却はDICの進行リスクを高めます⚠️

しかし本当の脅威は冷却成功の「後」に来ます。SIRS→DIC→多臓器不全の進行を防ぐため、搬入後24-72時間のICU管理が不可欠。発症から冷却開始までの時間が最大の予後因子であり、オーナーへの啓蒙がまさに命を救います🏥

スライドで正しい冷却法から飼い主説明のコツまで確認し、ぜひ【保存】してください🔖
詳細なエビデンスと6本の論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #熱中症 #動物救急 #エビデンスベースの獣医療 #動物病院"
