スライド番号,役割,テキスト
1枚目,表紙,"「犬と同じ速度」で入れていませんか？
猫の輸液 ─ 犬との違いと最新エビデンス"
2枚目,結論,"猫の血液量は犬の約半分
過剰輸液のリスクが極めて高い

・猫の血液量：40-60 mL/kg（犬：80-90 mL/kg）
・「50-60 mL/kg/day」は猫には多すぎる
・猫の推奨維持輸液速度：2-3 mL/kg/hr"
3枚目,昔の常識 vs 最新エビデンス,"維持輸液の常識をアップデート

【維持輸液速度】
❌ 旧来：50-60 mL/kg/dayで計算
✅ 最新：2-3 mL/kg/hrが推奨

【長期維持の輸液剤】
❌ 旧来：乳酸リンゲル液等で長期維持
✅ 最新：猫はNa排泄能が低く、等張液の長期投与はNa・ボリューム負荷に。低張液を検討。"
4枚目,麻酔中とショック時の輸液速度,"AAHA 2024ガイドライン準拠の推奨速度

【麻酔中】
・犬：5 mL/kg/hr
・猫：3 mL/kg/hr（10 mL/kg/hrは明らかに過剰）

【ショックボーラス】（15〜20分で投与し再評価）
・犬：15-20 mL/kg IV
・猫：5-10 mL/kg IV
※循環血液量が少ないため、投与量も控えめに。"
5枚目,輸液剤の選択：等張液 vs 低張液,"用途別の使い分け

【ショック・脱水補正】
・推奨：等張液（乳酸リンゲル液など）
・理由：血管内ボリュームを速やかに確保するため。必ず等張液を使用。

【長期維持輸液】
・推奨：低張液を検討（例：0.45%食塩水 + 2.5%ブドウ糖 + KCl添加）
・理由：猫のNa排泄能低下を考慮。Na過剰を防ぐ。
※KCl添加の計算を忘れずに。"
6枚目,見逃してはいけない過剰輸液の早期サイン,"致命的な肺水腫・胸水を防ぐために

⚠️ 危険信号：安静時呼吸数 > 30-40回/分
⚠️ 早期サイン：結膜浮腫（Chemosis）
⚠️ 注意指標：入院中の急激な体重増加
🚨 緊急（末期）：開口呼吸

※猫では特に「結膜浮腫」が過剰輸液の早期発見の鍵となります。"
7枚目,過剰輸液サインを検出した場合の対応フロー,"サイン（RR上昇、結膜浮腫、体重急増）あり？
↓ YES
1. 輸液速度を直ちに減量・一時中断
2. 酸素吸入の準備・開始
3. 利尿剤（例: フロセミド）の投与検討
↓
心疾患の既往・徴候は？
・YES → 心エコー等による心臓評価を強く推奨
・NO → 循環動態・呼吸状態の頻回モニタリング"
8枚目,心疾患を持つ猫への輸液管理,"HCM（肥大型心筋症）などのリスクへの対応

・輸液速度：1-2 mL/kg/hr にまで減量
・心エコーでの事前/随時評価が望ましい
・安静時呼吸数を入院中継続モニタリング
・必要最小限の輸液量にとどめ、経口摂水が可能なら早期に切り替える"
9枚目,まとめ,"猫の輸液戦略・3つの要点

1. 猫の血液量は犬の半分。維持輸液は「2-3 mL/kg/hr」、麻酔中は「3 mL/kg/hr」に。
2. 長期維持にはNa負荷を避けるため、低張電解質輸液（+ KCl）を検討。
3. 過剰輸液のサイン（結膜浮腫、安静時呼吸数 > 30-40回/分）を絶対に見逃さない。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「犬と同じ速度で輸液したら、猫が肺水腫になってしまった…」

猫の血液量（40-60 mL/kg）は犬（80-90 mL/kg）の約半分です。従来の維持輸液量（50-60 mL/kg/day）や、麻酔中の輸液量（10 mL/kg/hr）は、猫にとって明らかに過剰となるリスクがあります。

今回は、臨床現場ですぐに活かせる「猫の輸液戦略」をAAHA 2024ガイドライン等の最新エビデンスに基づいてまとめました。

💡 臨床のポイント
・維持輸液は 2-3 mL/kg/hr に設定
・麻酔中も 3 mL/kg/hr にとどめる
・ショックボーラスは 5-10 mL/kg IV （15-20分）
・長期維持には低張液を検討しNa過剰を防ぐ
・過剰輸液の早期サイン「結膜浮腫」を見逃さない

特に心疾患（HCM等）を持つ猫にはさらに減量（1-2 mL/kg/hr）し、安静時呼吸数や体重の厳密なモニタリングが必要です。

日々の診療・救急対応にお役立てください！詳細な解説や飼い主様への説明ガイドは、プロフィールのNoteリンクから確認できます。

#獣医 #動物救急 #小動物臨床 #獣医療 #動物病院 #獣医学 #エビデンス #臨床獣医"
