スライド番号,役割,テキスト
1枚目,表紙,"猫の慢性腎臓病（CKD）
Cre上昇を待たずに介入できていますか？
IRISガイドラインに基づくステージ別マネジメント"
2枚目,結論,"CKD管理は「ステージ」＋「サブステージ」の掛け合わせ
・CreとSDMAによるステージ分類（Stage 1〜4）
・UPCと血圧によるサブステージ分類
治療の目的は「進行の遅延」と「QOLの維持」。
単なる「とりあえず療法食」から、病期に応じた個別化治療へアップデートしよう。"
3枚目,診断とステージング基準,"CreとSDMAによる分類
・Stage 1: Cre < 1.6 mg/dL / SDMA < 18 μg/dL
・Stage 2: Cre 1.6-2.8 mg/dL / SDMA 18-25 μg/dL
・Stage 3: Cre 2.9-5.0 mg/dL / SDMA 26-38 μg/dL
・Stage 4: Cre > 5.0 mg/dL / SDMA > 38 μg/dL
※SDMAはCre上昇前から異常値を示し、早期発見に有用。高齢猫の筋肉減少によるCre過小評価時にも重要な指標となる。"
4枚目,サブステージングの重要性,"予後に直結する「蛋白尿」と「高血圧」の評価
【蛋白尿（UPC）】
・正常: < 0.2
・境界域: 0.2 - 0.4
・蛋白尿: > 0.4

【血圧（収縮期血圧 mmHg）】
・正常: < 150
・境界域: 150 - 159
・高血圧: 160 - 179
・重度高血圧: ≧ 180
※初診時だけでなく、定期的なモニタリングが必須。"
5枚目,Stage 1〜2の早期管理,"早期からの食事療法と水分管理が鍵
・食事療法（腎臓病食）
　Stage 2から導入を強く推奨。Stage 1でも蛋白尿があれば検討する。
・水分摂取の促進
　ウェットフードの活用、水飲み場の増設。
・腎毒性薬物の回避
　NSAIDsなどの使用は慎重に行う。"
6枚目,蛋白尿のコントロール,"UPC > 0.4 の場合はRAAS阻害薬を導入
・テルミサルタン
　1 mg/kg PO SID（効果を見ながら増減）
・ベナゼプリル
　0.5-1 mg/kg PO SID
※投与開始後、1〜2週間でCre、BUN、カリウムを再評価。Creの軽度上昇は許容されるが、急性増悪には注意が必要。"
7枚目,高血圧のコントロール,"SBP ≧ 160 mmHg の場合は降圧薬を導入
・アムロジピン
　0.125-0.25 mg/kg PO SID〜BID
※アムロジピン単独でコントロール不良、または蛋白尿を併発している場合は、テルミサルタンの併用を検討する。急激な血圧低下による腎血流量の低下に注意。"
8枚目,Stage 3〜4の後期管理,"合併症への対症療法でQOLを維持
・高リン血症
　目標値はStage 3 (2.7-5.0 mg/dL)、Stage 4 (2.7-6.0 mg/dL)。食事で管理できなければリン吸着剤を投与。
・腎性貧血
　PCV < 20% でエリスロポエチン製剤を検討。
・脱水の補正
　乳酸リンゲル液などのSC（皮下補液）を個体の状態に合わせて実施。"
9枚目,まとめ,"本記事の要点
1. 猫のCKDはCreだけでなくSDMAも活用し、Stage 1〜2の早期から適切に介入する。
2. 進行リスクとなる「蛋白尿」と「高血圧」を定期評価し、必要に応じてテルミサルタンやアムロジピンを処方する。
3. Stage 3〜4の後期はリン・貧血・脱水を的確に管理し、動物のQOL維持に努める。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「とりあえず腎臓病の療法食を出して、定期検診で様子を見ましょう」
日々の診察で、猫のCKD管理がルーチン化していませんか？

臨床現場で最も遭遇する疾患の1つである猫の慢性腎臓病（CKD）。
IRISのガイドラインは定期的にアップデートされており、CreやSDMAによるステージ分類だけでなく、予後に大きく関わる「蛋白尿」と「高血圧」のサブステージングに基づいた個別化治療が推奨されています。

今回の投稿では、臨床経験を積んで改めて確認しておきたい「IRISステージ別マネジメント」の要点を、スライドで分かりやすくまとめました。

テルミサルタンやアムロジピンの適切な導入タイミングや、後期ステージにおける補液・リン管理の目標値など、明日の診察からすぐに見直せる実践的な情報を詰め込んでいます。

急性増悪などのエマージェンシー対応を未然に防ぐためにも、早期からの正しいモニタリングと介入が鍵となります。ぜひスライドをスワイプして詳細を確認してみてください👉

診察中にパッと見返せるように、右下のマークから【保存】しておくことをおすすめします！

#獣医 #動物救急 #慢性腎臓病 #猫のCKD #IRISガイドライン #獣医臨床 #小動物臨床"
