スライド番号,役割,テキスト
1枚目,表紙,"犬猫の誤食対応
まだ「オキシドールで催吐」していませんか？

催吐の胃内容物回収率は、実は半分以下。
最新の中毒初期対応とエビデンス"
2枚目,結論,"結論：催吐＝万能ではない

✔️ 催吐の胃内容物回収率は40〜70%に留まる
✔️ オキシドールや塩水での催吐は「絶対禁忌」
✔️ 特異的解毒剤が存在する中毒はごく一部
✔️ 基本は「吸収阻害・排泄促進・対症療法」の徹底
✔️ 催吐不可の場合は「活性炭」による腸管吸着が有効"
3枚目,解説・データ,"臨床アクション表
誤食時の「催吐」適否判断

⭕ 催吐適応
【摂取後1〜2時間以内（腐食性以外）】
トラネキサム酸（犬）やキシラジン（猫）等で催吐誘発。

❌ 絶対禁忌
【強酸・強アルカリ・石油製品】
食道や口腔粘膜の二次損傷、誤嚥性肺炎を招く。

❌ 絶対禁忌
【神経症状（痙攣・昏睡）発現後】
誤嚥の危険性が極めて高い。抗痙攣薬や気道確保を優先。

❌ 一般的に禁忌
【鋭利なもの（骨・竹串など）】
粘膜損傷の恐れ。内視鏡や外科的摘出へ移行。"
4枚目,解説・データ,"致命的中毒物質①
ネギ類・チョコレート

🧅 タマネギ・ネギ類
・中毒量：犬 15〜30 g/kg、猫 5 g/kg 以上
・罠：摂取直後ではなく、数日経ってから貧血・血色素尿で来院するケースが多い。加熱しても毒性は残存。

🍫 チョコレート（テオブロミン）
・犬の致死量：100〜200 mg/kg
・症状発現の目安：
　軽度：20 mg/kg 以上
　重度心血管症状：40〜50 mg/kg 以上
　痙攣：60 mg/kg 以上
・Tips：頻脈・不整脈が見られたら心電図モニター必須。"
5枚目,解説・データ,"致命的中毒物質②
ブドウ・キシリトール

🍇 ブドウ・レーズン
・中毒量：明確な用量依存性なし
・臨床像：急性腎障害（AKI）を引き起こす。「何粒なら安全」というボーダーラインがなく、微量でも即時対応が必要。

🍬 キシリトール（犬）
・低血糖誘発量：0.1 g/kg
・急性肝不全リスク：0.5 g/kg 以上
・罠：摂取後30分以内で低血糖発作を起こす可能性あり。ブドウ糖静注による管理が急務。"
6枚目,解説・データ,"致命的中毒物質③
ユリ科植物（猫のみ）

🌸 わずかな摂取が命取りに
・中毒量：花粉や葉を一口かじっただけ、花瓶の水を舐めただけでも致死的な急性腎障害（AKI）のリスクあり。
・臨床経過：初期症状（嘔吐・流涎）は数時間以内、腎障害は24〜72時間で進行。
・治療の鍵：摂取後48時間の積極的静脈内輸液（尿量確保）を推奨。"
7枚目,解説・データ,"催吐薬の選択
犬と猫で異なるアプローチ

🐶 【犬の催吐薬】
・トラネキサム酸：50 mg/kg IV（催吐成功率が高い）
・アポモルヒネ：0.02〜0.04 mg/kg IV（最大 0.1 mg/kg）
・ロピニロール点眼：3.75 mg/m²

🐱 【猫の催吐薬】
・キシラジン：0.44 mg/kg IM/IV（第一選択）
・デクスメデトミジン：7 μg/kg IM

⚠️ 注意：猫にアポモルヒネは禁忌。有効性が低く、中枢興奮を起こす危険あり。"
8枚目,解説・データ,"催吐ができない・間に合わない時の
「次の一手」

💡 活性炭（腸管吸着）の積極活用
・用量：1〜4 g/kg PO
・適応：催吐の適応外、あるいは時間が経過している場合。
・MDAC（複数回投与）：腸肝循環を伴う毒物には、4〜6時間ごとの投与が推奨。
・注意点：下剤を併用する場合は、脱水や高ナトリウム血症を防ぐため「初回のみ」。重度の脱水時は体液シフトの副作用に注意。"
9枚目,まとめ,"本記事のまとめ

1️⃣ 催吐＝万能ではない（回収率40〜70%）。オキシドールや塩水での催吐は絶対禁忌。
2️⃣ 原因物質（ネギ、チョコ、ブドウ、ユリ等）ごとの正確な中毒量と致死経過を把握し、早期に介入する。
3️⃣ 催吐適応外や時間経過後は、活性炭（1〜4 g/kg PO）による腸管からの吸収阻害を徹底する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンス、飼い主向け説明ガイド、論文リンクはプロフのNoteにて。

診察ですぐに見返せるよう
右下のボタンから【保存】を推奨します。

=== キャプション（投稿文） ===
「誤食したので、とりあえずオキシドールで吐かせました」
この初期対応、現在の獣医療エビデンスでは「絶対禁忌」とされています。

犬猫の中毒対応において、催吐処置は日常的に行われますが、その胃内容物回収率は実は40〜70%程度。催吐が成功したからといって、決して安心できるわけではありません。また、特異的な解毒剤が存在する中毒はごく一部であり、多くのケースでは吸収阻害・排泄促進・対症療法の徹底が救命の鍵を握ります。

今回の投稿では、日常診療で遭遇頻度の高い「致命的中毒物質」の正確な中毒量と、犬猫それぞれで異なる「催吐薬の選択」、そして催吐が間に合わない場合の次の一手である「活性炭の活用」について整理しました。

明日からの救急対応・夜間診療ですぐに活用できるよう、ぜひ【保存】して見返してください。

プロフィールのNoteでは、より詳細なエビデンスや論文リンク、さらに飼い主様からのよくある質問に対する「説明ガイド（NG例と正解例）」も公開しています。あわせてご確認ください！

#獣医 #動物救急 #小動物臨床 #獣医療アップデート #愛玩動物看護師 #動物病院 #獣医学"
