スライド番号,役割,テキスト
1枚目,表紙,"「とりあえず生食」「ショック量全開」していませんか？
〜2024 AAHA最新ガイドラインに基づく輸液戦略〜"
2枚目,結論,"「ショック量の一括投与」はもう古い。
現在の標準は【少量ボーラス → 再評価 → 追加】の反復。

蘇生の第一選択は「等張晶質液」のボーラス投与です。
🐶 犬：15〜20 mL/kg IV
🐱 猫：5〜10 mL/kg IV
※いずれも15〜30分かけて投与し、灌流を再評価。"
3枚目,投与量,"ショック時の輸液ボーラス投与量

【等張晶質液】（15〜30分）
🐶 犬：15〜20 mL/kg
🐱 猫：5〜10 mL/kg

【高張食塩水】（約10分）
🐶 犬：4〜7 mL/kg
🐱 猫：3〜4 mL/kg

【人工膠質液（ヒドロキシエチルデンプン等）】（5分、反復可）
🐶 犬：5 mL/kg
🐱 猫：2〜5 mL/kg

※経験的なショック量を一気に投与せず、ボーラスごとに評価する。"
4枚目,輸液の選択,"なぜ「とりあえず生食」はNGなのか？

❌ 生理食塩水で何でもOK
✅ 緩衝晶質液（乳酸リンゲル液やPlasma-Lyte等）が推奨

【理由】
大量の生理食塩水投与は、高クロール性代謝性アシドーシスのリスクを高めます。
※生食が適応となるのは、高Ca血症・低ナトリウム血症・代謝性アルカローシスなど限定的な状況のみ。"
5枚目,晶質液 vs 膠質液,"膠質液は晶質液より本当に優れている？

❌ 膠質液の方が蘇生に有利
✅ 優位性は未証明

人工膠質液は急性腎障害（AKI）や凝固異常リスクの報告があり、蘇生の第一選択はあくまで「等張晶質液」です。
（※等張晶質液はIV投与後1時間以内に75%以上が血管外に移動することを念頭に置く）"
6枚目,猫の注意点①,"猫のショックの落とし穴

猫のショック時のバイタルサインは犬と異なります！
⚠️ 猫のショック兆候 ＝ 徐脈 ＋ 低体温 ＋ 低血圧

犬のように代償性の頻脈になるとは限らないため、ショック状態の見逃しに注意が必要です。"
7枚目,猫の注意点②,"猫は「小さな犬」ではない

猫は犬に比べて過剰輸液に非常に弱いです。
犬と同じ感覚・速度で輸液すると、致死的な医原性肺水腫を引き起こすリスクがあります（特に潜在的な心疾患がある場合）。

【アクション】
ボーラス量は5〜10 mL/kg IVで開始し、5 mL/kg投与するごとに必ず呼吸状態を再評価すること。"
8枚目,モニタリング,"灌流改善のモニタリング指標

ボーラス投与後15〜30分で以下を再評価し、改善があれば維持輸液へ移行します。
・血圧：MAP（平均動脈圧）≧60 mmHg
・乳酸値：＜2.5 mmol/L（最も客観的な指標）
・尿量：≧1 mL/kg/h（腎灌流の指標）
・CRT：＜2秒に改善

※改善がなければ追加ボーラス、または昇圧剤（ドーパミン等）を検討。"
9枚目,まとめ,"本記事の要点

① 輸液は「少量ボーラス＋再評価」の反復が標準。ショック量の一括投与は避ける。
② 第一選択は乳酸リンゲル液等の緩衝晶質液。大量の生食はアシドーシスに注意。
③ 猫のショックは「徐脈・低体温」。過剰輸液に弱いため、少量のボーラス投与とこまめな呼吸状態の確認が必須。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
「ショックが来たら、とりあえず生食を全開で投与！」…その知識、もしかしたら少し古いかもしれません🩺

2024年に発表されたAAHA（米国動物病院協会）の輸液ガイドラインでは、ショック時の輸液戦略が大きくアップデートされています。

かつての「ショック量（犬90mL/kg、猫50mL/kg）を一気に投与する」という考え方は推奨されず、現在は【少量ボーラス投与 → 灌流指標の再評価 → 追加投与】のサイクルを繰り返す「個別化輸液戦略」が世界的な標準です。

また、「とりあえず生理食塩水」も高クロール性代謝性アシドーシスのリスクがあるため、第一選択は乳酸リンゲル液などの緩衝晶質液とされています💧

特に猫のショックは「徐脈・低体温」が特徴で、過剰輸液による医原性肺水腫のリスクが非常に高いため、犬とは全く異なるアプローチが求められます🐱

日々の救急対応をより安全で確実なものにするため、ぜひスライドをスワイプして最新のエビデンスをチェックしてみてください👉

スライドの最後にあるまとめは、診察の合間にもサッと見返せるように【保存】しておくのがおすすめです🔖
詳細なエビデンスやガイドラインの参照論文リンクは、プロフィールのNoteからご覧いただけます！

#獣医 #動物救急 #救急救命 #動物病院 #獣医療 #獣医学 #エビデンスに基づく獣医療"
