スライド番号,役割,テキスト
1枚目,表紙,"その健診、本当に『最適化』されていますか？
臨床獣医師が知るべき
シニア犬猫の健康診断 最適化戦略"
2枚目,結論,"【臨床獣医師へ】健康診断の最適化 3つの要点
1.  **シニア犬猫の30〜45%**で新規異常を発見。9歳以上の猫ではCKD、甲状腺機能亢進症が高頻度。
2.  **SDMA**はクレアチニンより早期（GFR低下25〜40%）に上昇。感度約90%の必須バイオマーカー。
3.  **適正体重維持（BCS 4〜5/9）**は寿命を約1.8〜2.0年延長する、最もエビデンスレベルの高い予防医療。"
3枚目,なぜ健診が必要か？潜在疾患の発見率,"見かけ上健康な犬猫でも、定期健診で高確率に潜在疾患が発見されます。
| 年齢層 | 異常発見率 |
| :----------------- | :---------- |
| 若齢〜成期（1〜6歳） | 約15〜20% |
| シニア期（7歳以上） | **30〜45%** |

【シニア期に見つかりやすい潜在疾患】
*   猫のCKD（9歳以上）：15〜30%
*   猫の甲状腺機能亢進症：10〜15%
*   犬の脾臓結節・胆泥症等（偶発所見）：25〜30%
*   肥満（BCS 6/9以上）：30〜50%"
4枚目,年齢別スクリーニングプロトコル：基礎項目,"【全年齢対象 基礎スクリーニング】
1.  **身体検査**
    *   体重測定
    *   **BCS**（ボディコンディションスコア: 1〜9）＋ **MCS**（筋肉コンディションスコア: 正常/減少）を毎回記録
2.  **臨床病理検査**
    *   CBC、血液生化学、尿検査（尿比重・尿タンパク・沈渣）、糞便検査
3.  **感染症スクリーニング**
    *   犬: フィラリア＋ダニ媒介性疾患（4Dxなど）
    *   猫: FeLV/FIVスクリーニング"
5枚目,シニア期追加スクリーニング（7〜8歳以上）,"【シニア期追加スクリーニング（7〜8歳以上）】
1.  **SDMA**
    *   **意義**: クレアチニンより早期（GFR 25〜40%低下）に腎機能低下を検出。感度約90%。
    *   **基準**: >14 µg/dLで精査
2.  **総T4（猫）**
    *   **意義**: 甲状腺機能亢進症のスクリーニング。
    *   **基準**: 基準値上限超で精査
3.  **血圧測定**
    *   **意義**: 高血圧による標的臓器障害の早期発見。
    *   **基準**: 収縮期血圧 >160 mmHgで高血圧"
6枚目,シニア期追加スクリーニング（続き）,"【シニア期追加スクリーニング（7〜8歳以上）】
4.  **NT-proBNP**
    *   **意義**: HCM・MMVDの無症候性スクリーニング。
    *   **特徴**: 感度約85%、特異度約90%。カットオフは犬種・猫で異なる。
5.  **画像診断**
    *   **意義**: 胸部・腹部X線＋腹部超音波検査によるベースライン取得。
    *   偶発所見や潜在疾患の早期発見に大きく寄与。"
7枚目,早期発見に基づく治療介入,"【早期発見に基づく治療介入】
1.  **CKDの早期介入**
    *   **診断基準**: SDMA >14 µg/dL ＋ 尿比重低下（犬 <1.030、猫 <1.035）→ IRIS Stage 1〜2
    *   **介入**: 早期からの腎臓病用療法食への切り替え、リン吸着剤の導入。
    *   **最新知見**: FGF-23がリン代謝異常のより早期予測マーカーとして注目。
2.  **肥満とサルコペニアの管理**
    *   **肥満（BCS >5/9）**: 目標体重設定、高タンパク・高繊維食による減量プログラム。
    *   **MCS低下**: 基礎疾患精査（腫瘍、CKD、心不全等）、良質なタンパク質供給。"
8枚目,最新の知見：リキッドバイオプシー,"【最新の知見：リキッドバイオプシー】
1.  **犬のがんスクリーニング（血中cfDNA検査）**
    *   **方法**: NGSを用いた血中遊離DNA（cfDNA）のゲノム異常検出（例: OncoK9）。
    *   **検出対象**: リンパ腫、血管肉腫、骨肉腫等。
    *   **精度**: 特異度 >95%、感度 50〜85%。
    *   ハイリスク犬種に対する健診オプションとして普及中。
2.  **尿中BRAF変異検査（移行上皮癌）**
    *   **意義**: 移行上皮癌の非侵襲的診断。
    *   **精度**: 感度約85%、特異度100%。
    *   血尿を呈する高齢犬・スコティッシュ・テリア等のスクリーニングに有用。"
9枚目,まとめ,"【まとめ】臨床獣医師が実践すべき3つの要点
1.  **シニア期は潜在疾患の宝庫**: 見た目が元気でも30〜45%で新規異常。早期発見が治療成功の鍵。
2.  **SDMAとBCS/MCSは必須**: 腎機能早期マーカーSDMA、適正体重・筋量維持は寿命延長に直結するエビデンスあり。
3.  **最新検査も積極的に活用**: リキッドバイオプシーなど、非侵襲的なスクリーニングオプションも視野に入れ、診断精度向上を。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。
この情報があなたの臨床に役立てば幸いです。

=== キャプション（投稿文） ===
【臨床獣医師向け】その健診、本当に『最適化』されていますか？
見かけ上健康なシニア犬猫でも、驚くほど高い確率で潜在疾患が発見されます。特に7歳を超えたら、健診プロトコルを見直す時期かもしれません。

今回の投稿では、シニア犬猫の健康診断を最適化するための必須項目と最新知見をまとめました。

✅ **シニア犬猫の潜在疾患発見率**
見かけ上健康なシニア犬猫の30〜45%から新規異常が発見されます。特に猫ではCKD（15〜30%）や甲状腺機能亢進症（10〜15%）が高頻度。早期発見が予後を大きく左右します。

✅ **SDMAの重要性**
クレアチニンよりも早期（GFR低下25〜40%の段階）に腎機能低下を検出するSDMAは、シニアの腎機能スクリーニングに不可欠なバイオマーカーです。感度約90%と非常に高く、わずかな変化も見逃しません。

✅ **適正体重維持のエビデンス**
BCS 4〜5/9の適正体重を維持している犬は、過体重の犬と比較して寿命が約1.8〜2.0年延長するという強力なエビデンスがあります。BCSとMCSの毎回記録は、最も基本的な予防医療です。

✅ **最新のスクリーニング検査**
犬のがんスクリーニングにcfDNAを用いたリキッドバイオプシー（例: OncoK9）や、尿中BRAF変異検査による移行上皮癌の非侵襲的診断など、新たな選択肢も登場しています。

日々の臨床で忙しい先生方へ、この情報が明日からの診察の一助となれば幸いです。
詳細なエビデンスと参照論文は、プロフィールのNoteで公開しています。
診察ですぐ見返せるよう【保存】を推奨します。

#獣医 #動物救急 #健康診断 #予防医療 #犬の健康 #猫の健康 #シニアケア #SDMA #リキッドバイオプシー"
