スライド番号,役割,テキスト
1枚目,表紙,"犬のGDV（胃拡張-捻転症候群）
「しっかり安定化してから手術」と思っていませんか？
〜生存率を左右する初期対応と手術判断〜"
2枚目,結論/フロー,"【結論】GDVは「直ちに」緊急手術へ
安定化なしの手術はNGですが、安定化を待って手術を遅らせるのもNG（致死率が激増します）。

優先順位：
① 輸液蘇生
② 胃減圧
③ 緊急手術（遅くとも1〜2時間以内）

💡 レントゲンで「ダブルバブル」サインと脾臓変位を確認したら即行動！"
3枚目,初期安定化（輸液蘇生）,"輸液蘇生のポイント：後肢ルートは効果減？
拡張した胃が後大静脈を圧迫しているため、後肢からの輸液は静脈還流が悪く効果が低下します。

✅ ルート確保
前肢（橈側皮静脈）または頸静脈から、大口径（18G以上）で2ルート確保。

✅ 輸液量
乳酸リンゲル液 10〜20 mL/kg をボーラス投与。
目標：MAP≧65mmHg、CRT＜2秒、心拍数の安定。"
4枚目,予後予測マーカー（乳酸値）,"乳酸値で胃壊死リスクを評価する
血液検査の「乳酸値」は予後を占う重要な指標です。

⚠️ 来院時 乳酸≧6 mmol/L
胃壊死の可能性が高く、予後不良のサイン。

⭕ 蘇生後のクリアランス
初期値が高くても、輸液蘇生後に「50%以上低下」すれば予後は比較的良好と判断できます。"
5枚目,胃減圧（チューブ vs 穿刺）,"胃減圧のアプローチ
減圧により血行動態が劇的に改善することが多いです。

① 第一選択：経口胃チューブ
鼻先〜最後肋骨でマーキングし、愛護的に挿入。
成功すればガス/内容物排出 ＋ 温生食で胃洗浄。
※暗赤色の液体が引けたら胃壁壊死の疑い。

② 代替法：経皮的胃穿刺
チューブが入らない場合は右側腹部（鼓音部）を14〜16G針で穿刺してガスを抜き、再度チューブ挿入を試みる。"
6枚目,手術判断と胃壁の評価,"術中の胃壁評価
手術は捻転整復 ＋ 胃固定術 ± 脾臓摘出 を行います。

【温存】
・漿膜面ピンク、正常な脈管
・暗赤色だが触ると出血あり（回復の可能性あり）

【部分切除】
・灰緑色・黒色、触っても出血なし、壁が薄い
※部分切除が必要な場合の死亡率は約35〜50%に跳ね上がります。

💡 判断に迷う場合は、温生食ガーゼで10分間温めて再評価。"
7枚目,胃固定術の必須性,"胃固定術を省いてはいけない理由
GD（単純拡張）のみでも再発リスクが高いため、必ず胃固定術を実施します。

❌ 胃固定なしの再発率：最大80%
✅ 胃固定実施後の再発率：5%以下

手技：インシジョナル胃固定術
幽門洞の漿膜筋層と右腹壁の腹横筋を切開し、縫合して癒着させるのが確実です。"
8枚目,術後管理（心室性不整脈）,"術後の不整脈：リドカインの適応は？
GDV術後の約40〜70%に心室性不整脈が発生します。
ピークは術後12〜36時間（最低48時間のECGモニタリング推奨）。

💊 リドカインの適応
❌ 予防的ルーチン投与（非推奨）
❌ 散発的なVPC（経過観察）
✅ 持続性心室頻拍（HR＞180 bpmかつ灌流低下あり）
　→ ボーラス投与後にCRIで維持。"
9枚目,まとめ,"本記事の要点
① 初期安定化を行いつつ、遅くとも1〜2時間以内に緊急手術へ。手術の遅延は胃壊死を招く。
② 輸液は前肢か頸静脈から。来院時の乳酸値とその低下率（クリアランス）が予後予測の鍵。
③ 術後の不整脈にルーチンのリドカインは不要。持続性VT（灌流低下あり）のみ適応となる。

※日本ではフレンチブルドッグ等での発症も増加中のため要注意！"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
GDV（胃拡張-捻転症候群）の対応について、旧来の常識がアップデートされています。

「しっかり安定化させてから手術」と思っていませんか？
最新のエビデンスでは、初期安定化（輸液蘇生と減圧）を行いつつ、**遅くとも1〜2時間以内**に緊急手術へ移行することが生存率向上の鍵とされています。手術を数時間〜24時間遅らせることは、胃や脾臓の不可逆的な壊死を招き、致死率が激増するため絶対に避けなければいけません。

また、GDVは大型犬特有の疾患と思われがちですが、日本の臨床現場ではフレンチブルドッグなどの中小型犬での発症報告も増えているため注意が必要です。

本投稿では、GDV疑いの症例が来院してからの「輸液ルートの適切な選び方」「乳酸値の解釈」「減圧の手順」「術後の不整脈管理」まで、臨床現場ですぐに活かせるポイントをまとめました。
いざという時のために、ぜひ保存して見返せるようにしておいてください🩺

#獣医 #動物救急 #獣医学 #臨床獣医 #動物病院 #獣医療"
