スライド番号,役割,テキスト
1枚目,表紙,"「術後に抗生剤を5日分出しておきます」
まだやっていませんか？

周術期の抗菌薬
正しい予防投与のタイミングと最新エビデンス"
2枚目,結論,"結論：予防投与の原則

「執刀30-60分前に1発、長引いたら追加、閉創したら終了」

・Clean（清潔）手術では原則不要
・術後の継続投与はSSI予防に寄与しない
・漫然とした投与は耐性菌を育てるだけ"
3枚目,解説・データ①,"創傷分類と抗菌薬の適応

■ Clean（清潔）手術
消化管・呼吸器・泌尿器への侵入なし
👉【原則不要】（避妊・去勢手術など）
⚠️例外：インプラント使用時や手術時間＞90分の場合は予防投与を行う

■ Clean-Contaminated（準清潔）手術
消化管・呼吸器・泌尿器への計画的侵入
👉【推奨】（胃・膀胱切開など）

■ Contaminated（汚染）手術
新鮮外傷、消化管内容物の漏出
👉【推奨】（新鮮開放骨折など）"
4枚目,解説・データ②,"薬剤選択のポイント

第一選択は術野の主要な原因菌（皮膚常在菌）をカバーすること。

💊 セファゾリン（第一世代）
・用量：20-22 mg/kg IV
・適応：一般的な清潔〜準清潔手術の第一選択

💊 セフォキシチン（第二世代）
・用量：20-30 mg/kg IV
・適応：嫌気性菌を含む腸内細菌叢のカバーが必要な消化管手術など

※「念のため」のフルオロキノロン使用は耐性菌リスクが高く推奨されません。"
5枚目,解説・データ③,"投与タイミング ─ 時系列フロー

① 初回投与：執刀 30-60分前
（組織内濃度をMIC以上にするため）

② 追加投与：術中 90-120分ごと
（半減期の2倍が目安。同用量を再投与）

③ 例外追加：出血量 ＞ 1,500 mL時
（循環血液量の20-30%以上の出血で血中濃度が希釈されるため）

④ 中止：閉創時
（原則ここで終了。術後24時間以内に必ず中止）"
6枚目,解説・データ④,"昔の常識 vs 今のエビデンス

❌ すべての手術で抗生剤を投与
✅ Clean手術では【原則不要】

❌ 術後3-5日間の経口抗生剤処方
✅ 閉創時〜【術後24時間以内に中止】

❌ 術後に投与すればOK
✅ 執刀【30-60分前の投与】が必須

❌ 長時間手術でも1回だけ
✅ 術中【90-120分ごとに追加】が必要"
7枚目,解説・データ⑤,"なぜ術後の継続投与は不要なのか？

AMR（薬剤耐性）時代の責任
・術後の抗菌薬継続投与は、周術期投与のみと比較して「SSI予防効果に有意差がない」ことが複数の研究で示されています。
・不必要な術後投与は、有害事象（下痢、嘔吐、肝毒性）や薬剤耐性菌（AMR）の発生リスクを高めるだけです。

※すでに「感染成立」している場合（膿汁あり等）は予防ではなく「治療」です。明確に区別しましょう。"
8枚目,解説・データ⑥,"飼い主への説明ガイド

Q.「手術後の抗生剤はもらえないんですか？」

A.「ご安心ください。手術中に最も効果的なタイミングで抗菌薬を投与しています。最新のガイドラインでは、無事に終わった後の長期投与は感染予防にはつながらず、むしろ耐性菌リスクや副作用（下痢など）が増えることが分かっています。追加の抗生剤は不要です。」

A.「傷の感染を防ぐ最も大切なことは、術後はエリザベスカラーで傷を舐めさせないことです。」"
9枚目,まとめ,"本記事の要点

1. 予防的抗菌薬の第一選択は「セファゾリン 20-22 mg/kg IV」。執刀30-60分前に投与する。
2. 手術が長時間に及ぶ場合、術中90-120分ごとに同用量の追加投与が必要。
3. 閉創時に投与は終了。術後の漫然とした経口継続投与はSSIを減らさず、耐性菌リスクを増大させるだけ。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
「避妊・去勢手術のあと、とりあえず抗生剤を5日分処方する」
臨床現場でよく見かける光景ですが、実は最新のガイドラインでは推奨されていません。

周術期の抗菌薬における予防投与の原則は、
「執刀30-60分前に1発、長引いたら術中に追加、閉創したら終了」です。

不必要な術後の継続投与はSSI（手術部位感染）の予防効果を高めることはなく、下痢などの副作用や薬剤耐性菌（AMR）の発生リスクを不必要に上げる結果につながります。

今回は臨床経験を積んだ先生方にこそ再確認していただきたい、周術期における正しい抗菌薬の選択・用量・タイミングについてエビデンスをもとにまとめました。

飼い主様から「術後の抗生剤は出ないんですか？」と聞かれた際の適切なコミュニケーション例も記載していますので、ぜひ明日からの診療にお役立てください。

詳細なエビデンスや参照論文のリンクはプロフィールのNoteからご確認いただけます。

#獣医 #動物救急 #獣医学 #動物病院 #獣医臨床 #外科手術 #抗菌薬 #周術期管理"
