スライド番号,役割,テキスト
1枚目,表紙,"難産対応で迷わない
「オキシトシンか、帝王切開か」
決断のボーダーラインと新生子蘇生フロー"
2枚目,結論,"難産トリアージと介入の絶対基準
・介入の目安：陣痛開始後30分経過、または前胎子から4時間以上経過
・緊急帝王切開の絶対適応：胎子心拍数(FHR) < 160 bpm
・内科的介入の条件：画像診断で「産道閉塞・胎位異常」が完全に否定された子宮無力症のみ（閉塞時の収縮促進剤は子宮破裂のリスク大！）"
3枚目,解説・データ,"【難産の早期トリアージ】
電話相談で確認すべき3つの質問
①「いつから強く力み始めましたか？」
　→ 30分以上出ない場合は直ちに介入。
②「最後に1匹出たのは何時間前ですか？」
　→ 4時間以上（猫は2〜4時間以上）で介入を検討。
③「緑色〜黒色の液体は出ていますか？」
　→ ユーテロベルジンの排出。胎盤早期剥離＝胎子への酸素供給断絶を示唆する超緊急サイン！"
4枚目,解説・データ,"【超音波検査による胎子心拍数(FHR)評価】
内科的か外科的か、時間を区切る判断基準
・> 200 bpm：正常（ストレスなし）
・180〜200 bpm：軽度のストレス。要継続モニタリング
・< 180 bpm：重度ストレス
・< 160 bpm：即・緊急帝王切開の絶対適応
💡 150 bpm未満まで待つと胎子救命率が著しく低下。「迷ったら切る」が鉄則。"
5枚目,解説・データ,"【内科的介入① オキシトシン】
適応：産道閉塞のない原発性・続発性子宮無力症
・用量：犬 0.5-2.0 IU/dog（最大5 IU）、猫 0.5-1.0 IU/cat （IMまたはSC）
⚠️ 注意点
・「/head」は胎子1頭あたりと誤認され過量投与による子宮破裂を招くため使用しない。
・高用量投与は子宮の強直性収縮（テタニー）を引き起こし、胎子の低酸素を助長するため避ける。"
6枚目,解説・データ,"【内科的介入② グルコン酸カルシウム】
適応：潜在的低カルシウム血症疑い、オキシトシン効果の増強
・用量：10%グルコン酸カルシウム 0.1〜0.2 mL/kg IV（10〜20分かけてゆっくり投与）
⚠️ 注意点
・子癇の用量（0.5〜1.5 mL/kg）を難産時に投与すると、致死的な不整脈の危険があるため厳禁！
💡 臨床のコツ：オキシトシン投与「前」にカルシウムを先行投与し、子宮を準備することで反応性が良好になるケースが多い。"
7枚目,解説・データ,"【外科的介入：帝王切開の麻酔戦略】
目標：麻酔導入から胎子取り出しまでの時間を最小化
・プレクリップの徹底：剃毛と消毒は「麻酔導入前」に済ませておく。
・時間軸：導入 → 挿管 → 切皮までを「5分以内」に収める。
・チーム配置：事前に全ての器具を展開し、蘇生チームの配置を完了させる。「全員が揃ってから導入」が必須条件。"
8枚目,解説・データ,"【新生子の蘇生フロー アップデート】
・気道確保：シリンジ等で優しく吸引。「振り回す(swinging)行為」は脳出血リスクのエビデンスがあり現在は非推奨。
・刺激と保温：温かい乾いたタオルで摩擦。32〜34℃で保温。
・評価：修正アプガースコアで評価（7点以上正常、3点以下は重度仮死で積極的蘇生）。
・薬剤：徐脈が続く場合はエピネフリン。ドクサプラムは心筋酸素要求量を増大させるため非推奨。ナロキソンのルーチン投与も非推奨。"
9枚目,まとめ,"本記事の要点
① 早期診断：強い陣痛30分、間隔4時間、緑色悪露は直ちに介入する。
② 介入判断：FHR < 160 bpmは緊急帝王切開。内科的治療は産道閉塞の完全除外が前提であり、薬剤の用量間違い（/head計算や子癇用量の適用）に注意。
③ チーム連携：プレクリップの徹底と、アップデートされた蘇生手順（振り回し・ドクサプラムの廃止）で救命率を最大化する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
難産のトリアージと帝王切開の判断、自信を持って対応できていますか？

繁殖救急において「内科的介入で粘るか、すぐに帝王切開に踏み切るか」は時間との勝負です。飼い主さんからの電話相談の段階で緊急度を評価し、来院後は超音波検査による胎子心拍数（FHR）で迅速に治療方針を決定する必要があります。

今回の投稿では、
・早期トリアージで聞くべき「3つの質問」
・FHRの基準と「迷ったら切る」のボーダーライン
・オキシトシンとグルコン酸カルシウムの「陥りやすい用量の罠」
・アップデートされた最新の新生子蘇生フロー
について、臨床現場ですぐに使える情報をまとめました。

特に蘇生時の「振り回し（swinging）」や「ドクサプラムの使用」は現在推奨されていないため、院内での知識のアップデートとチーム体制の共有が必須です。

当直や救急対応の際にサッと見返せるよう、ぜひ投稿を保存してご活用ください！

#獣医 #動物救急 #獣医学 #動物病院 #臨床獣医 #小動物臨床 #獣医療 #エマージェンシー"
