スライド番号,役割,テキスト
1枚目,表紙,"心嚢水・心タンポナーデ
── 心嚢穿刺の実際
虚脱・低血圧・心音減弱 ── この三徴に遭遇したら
一般病院でも実施できる心嚢穿刺のすべて"
2枚目,結論,"【結論】
■ 心タンポナーデ = 致死的な緊急疾患
 → 利尿薬では改善しない
■ 確定診断: 超音波で右心房/右心室の拡張期虚脱
■ 穿刺部位: 右側第4-6肋間
■ 犬の最多原因: 血管肉腫（約45%）＋特発性（20-30%）
■ ACTテストで穿刺部位の正確性を確認"
3枚目,病態,"【心タンポナーデの病態】

■ 心嚢液の貯留 → 心室拡張の制限 → 心拍出量↓↓

■ Beck's triad（古典的三徴）
 ① 頸静脈怒張
 ② 低血圧
 ③ 心音減弱（muffled heart sounds）

■ 急速貯留ではわずか50-100 mLでも致死的
■ 緩徐な貯留では心膜が伸展適応し大量でも代償可能"
4枚目,診断,"【診断 ─ 超音波と心電図が鍵】

■ 超音波（POCUS/心エコー）
 ・心嚢液の確認
 ・右心房/右心室の拡張期虚脱 → 確定的所見
 ・心基底部/右心耳の腫瘤評価

■ 心電図
 ・電気的交互脈: QRS振幅が1拍ごとに変動
   → 心タンポナーデに特異的
 ・低電位（low voltage QRS）"
5枚目,穿刺手技,"【心嚢穿刺の手順】

■ 体位: 右側臥位（左側を上に）
■ 穿刺部位: 右側 第4-6肋間
  肋軟骨結合部（CCJ）直上

① 毛刈り＋消毒
② 局所麻酔（リドカイン皮下浸潤）
③ 14-16Gカテーテルで穿刺
④ 心電図モニタリング下で進める
  → 心筋接触でPVC出現 → やや引き戻す
⑤ 三方活栓＋シリンジで心嚢液を完全に吸引
⑥ ACTテストで穿刺部位確認"
6枚目,ACTテスト,"【ACTテスト ─ 穿刺部位の確認法】

■ 回収した血性液体がどこからのものか？

🟢 心嚢液: 凝固しない
 → fibrinが除去済みのため

🔴 心腔内血液: 凝固する
 → 誤って心腔を穿刺した場合

💡 ポイント
この性質の違いで穿刺の正確性を確認できる"
7枚目,原因鑑別,"【原因鑑別 ─ 犬と猫】

■ 犬
 ・血管肉腫（右心耳）: 約45%（最多）
 ・特発性: 20-30%
 ・ケモデクトーマ（心基底部）: 約15%
 ・中皮腫: 稀

■ 猫
 ・心不全（HCM等）: 主要原因の一つ
 ・FIP: 重要な原因
 → 犬に比べて心タンポナーデ自体が稀"
8枚目,原因別治療,"【原因別の治療方針】

■ 特発性心嚢水
 ・穿刺で一時的改善
 ・再発時 → 心膜切除術（pericardectomy）が根治的

■ 血管肉腫
 ・穿刺は姑息処置
 ・外科＋化学療法の適応（MST 2-6ヶ月）

■ ケモデクトーマ
 ・増殖が緩徐
 ・繰り返し穿刺 or 心膜切除で比較的良好なQOL"
9枚目,まとめ,"【本記事の要点】

① 心タンポナーデは致死的緊急疾患。超音波で右心房/右心室の拡張期虚脱を確認
② 穿刺は右側第4-6肋間、心電図モニタリング下。ランドマーク法でも実施可能
③ ACTテスト（心嚢液は凝固しない）で穿刺部位を確認
④ 犬の最多原因は血管肉腫（45%）。特発性は再発時に心膜切除が根治的"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
虚脱・低血圧・心音減弱 ── この三徴が揃った犬が搬入されたとき、あなたは心嚢穿刺を実施できますか？❤️

心タンポナーデは心嚢液の貯留により心室の拡張が制限される致死的な緊急疾患。利尿薬では改善せず、心嚢穿刺（pericardiocentesis）が唯一の救命処置です🏥

穿刺は右側第4-6肋間から、心電図モニタリング下で実施。超音波ガイドが理想ですが、ランドマーク法でも一般病院で実施可能です。回収した液体のACTテスト（心嚢液は凝固しない vs 心腔内血液は凝固する）で穿刺部位の正確性を確認できます💉

犬の心嚢水の最多原因は血管肉腫（右心耳、約45%）。特発性（20-30%）の再発時には心膜切除術が根治的選択肢となります🔬

緊急時に見返せるよう、ぜひスライドを確認して【保存】してください🔖
詳細なエビデンスと6本の論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #心タンポナーデ #心嚢穿刺 #循環器 #動物救急 #動物病院"
