スライド番号,役割,テキスト
1枚目,表紙,"心原性肺水腫の救急搬入、
とりあえずX線検査に連れて行っていませんか？
〜一般病院での救命Tips〜"
2枚目,結論,"【結論：初期対応フロー】
まずは「触らない診断」と「ストレス排除」

① 酸素化（ケージまたはマスク）
② 鎮静（過剰な不安と呼吸努力の軽減）
③ 利尿（フロセミド）
④ 心拍出量増加・血管拡張（ピモベンダン等）
※X線検査は状態が安定してから！"
3枚目,解説・データ,"【鎮静】ストレスフリーが最優先
呼吸困難によるパニックは酸素消費量を増大させ、急死を招きます。

推奨薬：ブトルファノール
・犬猫：0.1〜0.2 mg/kg IV または IM
・呼吸抑制が少なく、マイルドな鎮静と鎮咳効果が期待できる。
・確保済みのルートがなければ、保定ストレスを避けるためIMで投与。"
4枚目,解説・データ,"【利尿】フロセミドの推奨用量
急性期の水分貯留を解除する要。

・犬：初期 2〜4 mg/kg IV または IM
・猫：初期 1〜2 mg/kg IV または IM
※1〜2時間後に呼吸状態を再評価。
改善が乏しい場合は追加投与、またはCRI（0.25〜1 mg/kg/hr）へ移行。単回の大量投与よりCRIの方が効果的かつ腎負荷が少ないとの報告あり。"
5枚目,解説・データ,"【強心・血管拡張】心拍出量の改善
・ピモベンダン（犬のMMVD由来の場合）
　0.15〜0.3 mg/kg IV または PO BID
　※IV製剤があれば即効性が期待できる。

・ニトログリセリン軟膏
　2%軟膏を耳介内側に塗布（手袋着用必須）
　静脈還流を減らし、肺鬱血をマイルドに軽減。"
6枚目,解説・データ,"【診断】X線の前にTFASTを活用
仰向けや強い保定が必要なX線はハイリスク。まずは超音波でのアプローチを。

① Bラインの確認
　肺野の複数箇所でBライン（ロケットサイン）があれば肺水腫を強く疑う。
② LA/Ao比の測定
　右側傍胸骨短軸像で左房拡大（犬>1.6、猫>1.5）を確認。胸水貯留の有無も同時にチェック。"
7枚目,解説・データ,"【猫特有の注意点】
猫の心原性肺水腫（主に肥大型心筋症）は犬と病態・反応が異なります。

・低体温に注意：酸素室が冷えすぎないよう温度管理。
・フロセミドへの過剰反応：犬より低カリウム血症や急性腎障害に陥りやすいため、初期用量は控えめに。
・胸水貯留：呼吸促迫の主因が胸水であれば、少量の鎮静下で胸腔穿刺を優先。"
8枚目,解説・データ,"【モニタリングと合併症対策】
治療開始後は以下の項目を継続評価。

・安静時呼吸数（SRR）：目標は30回/分以下。
・腎数値（BUN/Cre）と電解質（K, Na）：
　強力な利尿がつけば脱水・低K血症が起こる。
※静脈輸液（乳酸リンゲル液や生理食塩水など）は肺水腫を再燃させるため急性期は原則禁忌。飲水可能になればPOで水分補給を。"
9枚目,まとめ,"【本記事の要点】
1. 呼吸困難例ではX線より先に「酸素化＋鎮静（ブトルファノール）」。
2. フロセミドは初期IV/IM後、必要に応じてCRIで持続的な利尿を。
3. 診断はTFAST（Bライン・LA/Ao評価）を活用し、動物へのストレスを最小限に。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
呼吸困難で飛び込んでくる心原性肺水腫の症例。
良かれと思ってすぐにX線室へ連れて行き、保定のストレスで急変させてしまった…という苦い経験はありませんか？

今回は、臨床経験を積んできた先生方に向けた「一般病院での心原性肺水腫・救命Tips」をまとめました。

救急対応の鍵は「触らない診断」と「FONZ（フロセミド、酸素、血管拡張、鎮静）」による初期の安定化です。特にブトルファノールを用いた鎮静は、パニックによる酸素消費を抑え、その後の処置を安全に行うために極めて有効です。

また、リスクの高いX線の代わりにTFAST（エコーでのBラインとLA/Ao評価）を活用することで、動物の負担を最小限に抑えながら確定診断に近づくことができます。

いざという時のプロトコルとして、ぜひ見返せるように保存してお役立てください。
詳細な薬剤の用量エビデンスや関連論文は、プロフィールのNoteリンクから確認できます🔗

#獣医 #動物救急 #心原性肺水腫 #獣医臨床 #超音波検査 #循環器診療 #TFAST"
