スライド番号,役割,テキスト
1枚目,表紙,"「止まらない発作」
そのジアゼパム、いつまで繰り返す？
てんかん重積の緊急フローと頭蓋内疾患の鑑別"
2枚目,結論,"てんかん重積（SE）の緊急対応フロー
・定義：5分以上持続 or 意識回復なく2回以上反復
・第一選択：ジアゼパム最大3回まで
・止まらなければ：レベチラセタム → プロポフォールCRIへ移行
・同時並行で：ABC確保と代謝性疾患（低血糖など）を迅速に除外"
3枚目,0〜5分の初動対応,"💉 ジアゼパム投与
・0.5〜1 mg/kg IV（最大3回まで）
・ルート確保不可時は 直腸内投与 1〜2 mg/kg（※IMは吸収不安定で非推奨）

🔍 同時並行
・ABC確保（気道吸引、O2フローバイ）
・血糖値、iCa、NH3の測定

🩸 低血糖（< 60 mg/dL）の場合
・ブドウ糖 0.5 g/kg IV
（※生理食塩水などで1:1〜1:4以上に希釈し、静脈炎防止のため緩徐に投与）"
4枚目,5〜30分の二次対応,"💊 10〜15分：レベチラセタム追加
・ジアゼパム3回で止まらない場合
・30〜60 mg/kg IV（5分以上かけて緩徐に）

😴 15〜30分：難治性SEへの全身麻酔管理
・プロポフォール 1〜6 mg/kg IV bolus
・その後、0.1〜0.6 mg/kg/min CRI
・挿管・人工換気の準備を推奨"
5枚目,危険信号,"頭蓋内疾患を疑う所見
初発の発作でも、以下の場合は脳腫瘍や脳炎を強く疑う。

① 年齢：初発が6歳以上（※逆に1歳未満は先天性・代謝性を疑う）
② 発作間欠期の神経症状：旋回、斜頸、瞳孔の左右差、意識障害、視覚消失など
③ 発作の性質：焦点性発作（片側性の顔面痙攣、特定の肢の律動運動）
④ 頻度：進行性に発作頻度が増加している"
6枚目,鑑別,"構造的病変 vs 特発性てんかん

🐶 犬の場合
・1〜5歳で初発：特発性てんかんの可能性大
・6歳以上で初発：脳腫瘍（髄膜腫など）を積極的に除外。MRIの強い適応

🐱 猫の場合
・犬に比べて特発性は少ない
・髄膜腫（猫で最多）、FIP、脳炎の除外が必須"
7枚目,一般病院での対応,"MRIがすぐ撮れない場合
・血液検査/尿検査で代謝性疾患や門脈シャント（尿酸アンモニウム結晶）を除外
・間欠期に神経学的異常があれば構造的病変の可能性大

💡 6歳以上の焦点性発作の場合
経験的にプレドニゾロン（脳腫瘍に対する一時的な抗浮腫作用）の投与を検討しつつ、MRI施設への紹介を準備する。"
8枚目,維持療法,"抗てんかん薬の開始と選択

▼ 開始基準
SE・群発の既往、6ヶ月に2回以上の発作、重度な発作後症状の遷延、構造的脳病変あり

▼ 薬剤の選択
・犬の第一選択：フェノバルビタール 2〜5 mg/kg PO BID
（代替：レベチラセタム、ゾニサミド）
・猫の第一選択：フェノバルビタール 1〜2 mg/kg PO BID

⚠️ 禁忌
猫への臭化カリウム投与（致死的な気管支炎を誘発するため絶対禁忌）"
9枚目,まとめ,"本記事の要点
① てんかん重積はジアゼパム最大3回まで。無効ならレベチラセタムIVやプロポフォールCRIへ躊躇なく移行する。
② 初動では発作を止めるだけでなく、ABCの確保と低血糖などの代謝性原因の除外を並行して行う。
③ 6歳以上の初発、焦点性発作、間欠期の神経症状がある場合は頭蓋内疾患を強く疑い、紹介・MRI検査を検討する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
てんかん重積の緊急対応、なんとなくジアゼパムを打って様子を見ていませんか？

今回のポストでは、一般病院で直面する「止まらない発作」に対するタイムラインに沿った初期対応と、頭蓋内疾患（脳腫瘍や脳炎など）を疑うべきレッドフラッグサインについてまとめました。

ジアゼパムの反復上限、レベチラセタムへのステップアップのタイミング、そして「6歳以上での初発」など、臨床現場での判断基準を整理しています。また、猫における抗てんかん薬の禁忌（臭化カリウム）も再確認しておきましょう。

いざという時の救急対応マニュアルとして、ぜひ保存してご活用ください。

#獣医 #動物救急 #獣医学 #臨床獣医 #動物病院 #てんかん重積 #神経疾患"
