スライド番号,役割,テキスト
1枚目,表紙,"食物アレルギーの診断、
いまだに血液検査に頼っていませんか？
〜「除去食試験」の正しいプロトコル〜"
2枚目,結論,"【結論】AFRの確定診断は「除去食試験」のみ

× 血液検査（血清IgE/IgG）
陽性適中率が低く「偽陽性」が多いため、診断には使えません。

○ 除去食試験（Elimination Diet Trial）
最低8週間、厳格な食事管理を行い、負荷試験（Re-challenge）を経て初めて確定診断となります。"
3枚目,除去食試験フローチャート,"① フード選択
加水分解タンパク食 または 新奇タンパク食（療法食）
↓
② 除去食開始（最低8週間）
選択フードのみ給与。おやつ・チュアブル等は完全禁止。
↓
③ 判定
かゆみ50%以上減少 → ④へ
不変 → 試験不成立 or アトピー併発
↓
④ 負荷試験（1〜14日）
元の食事を再給与。症状再発で確定。
↓
⑤ 確定診断
再び除去食に戻し、症状消失を確認。"
4枚目,フード選択,"【フード選択：加水分解 vs 新奇タンパク】

■ 加水分解タンパク食
・原理：タンパク質を分子量 < 5-10 kD に分解し、免疫系が認識できないようにする。
・重度症例にはアミノ酸レベルまで分解されたもの（アミノペプチド フォーミュラ等）を推奨。

■ 新奇タンパク食
・原理：過去に食べたことのないタンパク源（カンガルー、ダック等）。
・注意：詳細な食歴の聴取が不可欠。

※市販の「グレインフリー」や一般食は交差汚染のリスクがあるため、必ず「療法食」を使用すること。"
5枚目,絶対禁止リスト,"【要注意】除去食中の「絶対禁止リスト」

期間は最低8週間（理想は10〜12週間）。
試験中は以下のものを一切口にさせてはいけません。

・おやつ（ガム、ジャーキー、デンタルケア製品）
・フレーバー付き駆虫薬（チュアブルタイプは錠剤・滴下へ変更）
・歯磨きペースト（チキン味など）
・カプセル剤（ゼラチンは豚由来が多い）
・人間の食べ物（一切禁止）"
6枚目,負荷試験,"【除去食で改善＝診断確定ではない】

改善後に必ず「負荷試験（Re-challenge）」を実施します。

■ 手順
元の食事（アレルゲン被疑食）を再給与する。
■ 判定
数時間〜14日以内（多くは1〜3日以内）にかゆみが再発すればAFRと確定診断。

※その後、再度除去食に戻して症状が消失することを確認します。遅延型反応を見逃さないためにも重要なステップです。"
7枚目,主要アレルゲン,"【犬猫の主要アレルゲン（世界統計）】

▼ 犬
1位：牛肉
2位：乳製品
3位：鶏肉
4位：小麦
5位：ラム肉

▼ 猫
1位：牛肉
2位：魚
3位：鶏肉

※鶏肉や牛肉は共通して上位。市販のおやつや、投薬補助用フレーバーに頻用されているため注意が必要です。"
8枚目,臨床Tips,"【AFRを疑うポイント：臨床Tips】

① 発症年齢の「二峰性」
1歳未満 または 6歳以上 での発症が多い傾向にあります。
（※犬アトピー性皮膚炎は1〜3歳に集中します）

② 消化器症状に注意
皮膚症状が全くなく、消化器症状（慢性的な下痢・嘔吐など）のみを呈するケースもあります。消化器症状だけでもAFRを除外してはいけません。"
9枚目,まとめ,"【本記事の要点まとめ】

① 血液検査（IgE/IgG）によるAFRの診断は不可。確定診断は除去食試験のみ。
② 除去食期間は最低8週間。チュアブル駆虫薬やカプセルのゼラチン等も徹底的に排除する。
③ 除去食での改善後、元のフードによる「負荷試験（Re-challenge）」を行って初めて診断が確定する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
食物有害反応（AFR）の診断、いまだに血液検査に頼っていませんか？
血清アレルギー検査は偽陽性が多く、犬猫のAFR確定診断には「除去食試験」が唯一の方法です。

しかし、除去食試験はただフードを変えれば良いわけではありません。チュアブルタイプの駆虫薬や、投薬用カプセルのゼラチン（豚由来）など、思わぬ盲点が交差汚染を生み、試験の失敗を招くこともあります。

本投稿では、臨床現場で確実にAFRを診断するための正しいプロトコル、よくある失敗例、そして確定診断に必須となる「負荷試験（Re-challenge）」の重要性についてエビデンスベースで解説しました。日々の診療のアップデートにぜひご活用ください。

■ スライドの内容
・血液検査が推奨されない理由
・除去食試験の正しいフローと期間
・加水分解食 vs 新奇タンパク食
・意外と見落とす「絶対禁止リスト」
・負荷試験の必須性と判定期間
・犬猫の主要アレルゲンと疫学データ

詳細なエビデンスや参考文献へのリンクはプロフィールのNoteから確認できます。あとで確認できるように、右側のリボンマークから保存しておいてくださいね。

#獣医 #動物救急 #獣医学 #小動物臨床 #動物病院 #食物アレルギー #獣医皮膚科"
