スライド番号,役割,テキスト
1枚目,表紙,"短頭種症候群（BOAS）
── 周術期管理の実際
麻酔関連死亡の大半はリカバリー期に発生。
「早すぎる抜管」が命を奪う。"
2枚目,結論,"【結論】
■ 短頭種の麻酔は気道確保の困難さと
  術後上気道閉塞リスクが最大の問題
■ 術前: マロピタント + デキサメタゾンで予防
■ 抜管は嚥下反射の完全回復まで遅延
■ リカバリーは胸骨伏臥位で管理
■ 抜管後2-4時間のSpO2連続モニタリング"
3枚目,気道解剖,"【短頭種の気道解剖 ─ 4つの異常】

■ 外鼻孔狭窄（Stenotic nares）
■ 軟口蓋過長（Elongated soft palate）
■ 喉頭小嚢の反転（Everted laryngeal saccules）
■ 気管低形成（Tracheal hypoplasia）

→ 慢性的な陰圧性気道損傷
→ 喉頭浮腫・咽頭粘膜肥厚

麻酔による筋弛緩がさらに狭窄を助長
→ 麻酔死亡率は非短頭種より有意に高い"
4枚目,術前準備,"【術前準備 ─ 3つの鍵】

■ 制吐・誤嚥予防
 ・マロピタント 1 mg/kg SC（導入1時間前）
 ・メトクロプラミド 0.2-0.5 mg/kg

■ 気道浮腫予防
 ・デキサメタゾン 0.1-0.15 mg/kg IV

■ 前投薬
 ・α2アゴニスト高用量の単独使用は避ける
 ・低用量オピオイド中心の穏やかな鎮静

⚠️ 絶食は通常より長め（最低12時間）
 → 食道裂孔ヘルニア・逆流リスクが高い"
5枚目,導入と気道確保,"【麻酔導入と気道確保】

■ プレオキシゲネーション
 ・100%酸素マスクで3-5分間
 ・機能的残気量が少なく無呼吸への予備が限られる

■ 導入
 ・プロポフォールを力価滴定で緩徐に投与
 ・急速ボーラス → 無呼吸誘発のリスク

■ 気管チューブ
 ・気管低形成を考慮しやや小さめを数本用意

■ 気管切開キット
 ・挿管困難に備えて必ず手元に準備"
6枚目,術中管理,"【術中管理のポイント】

■ 気管チューブの位置確認と固定を厳重に
 → 体位変換時の事故抜管に注意

■ カプノグラフィによる換気モニタリング必須

■ 輸液は慎重な維持量にとどめる
 → 過剰投与 → 気道粘膜浮腫の増悪

■ 体温管理
 → 低体温 → 覚醒遅延 → リカバリーリスク増大"
7枚目,リカバリー,"【リカバリー ─ 最も危険な時間帯】

■ 抜管のタイミング
 ✗ 「咳反射がある」だけでは不十分
 ✅ 嚥下反射が完全に回復し
   自らチューブを噛んで吐き出そうとするまで

■ 体位
 ・胸骨伏臥位（sternal recumbency）で頭部やや挙上
 ・側臥位は避ける → 舌根沈下・軟口蓋落ち込み

■ 抜管後の酸素補給
 ・SpO2 ≥ 95%を維持"
8枚目,術後モニタリング,"【術後モニタリング】

■ 抜管後 最低2-4時間
 ・SpO2の連続モニタリング
 ・呼吸パターンの観察

■ 再挿管の適応
 ・吸気性喘鳴（stridor）の増悪
 ・チアノーゼ
 ・過度の興奮

■ BOAS矯正手術（軟口蓋切除・外鼻孔拡大）後
 ・術後24-48時間は入院管理
 ・気管切開の準備を常にしておく"
9枚目,まとめ,"【本記事の要点】

① 術前にマロピタント＋デキサメタゾンで嘔吐・気道浮腫を予防
② プレオキシゲネーション3-5分＋気管切開キットの準備
③ 抜管は嚥下反射の完全回復まで遅延。咳反射だけでは不十分
④ リカバリーは胸骨伏臥位で2-4時間のSpO2連続モニタリング"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
フレブル、パグ、ブルドッグの麻酔 ── あなたの病院では短頭種専用プロトコルを持っていますか？😮‍💨

短頭種の麻酔死亡率は非短頭種と比較して有意に高く、そしてその大半は「リカバリー期」に発生します。つまり手術そのものより、覚醒の管理が命を分けるのです⚠️

術前のマロピタント＋デキサメタゾンによる嘔吐・気道浮腫の予防、プレオキシゲネーション3-5分、気管切開キットの手元準備 ── これらは最低限のベースライン💉

最も重要なのは抜管のタイミング。「咳反射がある」だけでは不十分。嚥下反射が完全に回復し、患者が自らチューブを噛んで吐き出そうとするまで抜管しない ── これが鉄則です🏥

リカバリーは胸骨伏臥位で、抜管後最低2-4時間のSpO2連続モニタリング。スライドで全プロトコルを確認し、ぜひ【保存】してください🔖
詳細なエビデンスと5本の論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #BOAS #短頭種 #麻酔 #動物病院"
