スライド番号,役割,テキスト
1枚目,表紙,"「ゼーゼーしている猫」の来院
喘息と慢性気管支炎、正確に鑑別・治療できていますか？
猫特有の好酸球性気道炎症を制圧するプロトコル"
2枚目,結論,"結論：猫の喘息治療の現在地
・喘息（好酸球性・可逆性）と慢性気管支炎（好中球性・不可逆性）の鑑別が必須
・急性発作：ストレス最小限の酸素化＋アルブテロール吸入＋デキサメタゾンSP注射
・長期管理：フルチカゾン吸入が主役。経口プレドニゾロンは漸減・離脱へ"
3枚目,解説・データ,"喘息 vs 慢性気管支炎 ─ 鑑別のカギ
【病態の違い】
項目｜猫の喘息｜慢性気管支炎
発症年齢｜若齢〜中年｜高齢
炎症タイプ｜好酸球性｜好中球性
気道収縮｜可逆性｜不可逆性（リモデリング）
気管支拡張薬への反応｜良好｜限定的

【特徴的なX線所見（喘息）】
・ドーナツサイン（気管支壁肥厚）
・肺野の過膨張（エアトラッピング）"
4枚目,解説・データ,"知識のアップデート：旧来 vs 最新
❌ 旧来の常識
・猫の咳はすべて「喘息」
・ステロイドの経口投与だけで長期管理
・アルブテロールを毎日定期吸入

✅ 最新のエビデンス
・心臓病・肺虫・リンパ腫・慢性気管支炎との鑑別が不可欠
・フルチカゾン吸入で全身性副作用を最小限に
・アルブテロールはSOS使用（発作時のみ）"
5枚目,解説・データ,"🚨 急性発作の緊急対応（Status Asthmaticus）
【Step 1: ストレス最小限 & 酸素化】
無理な保定・採血は後回し！
酸素室（Flow-by）またはE-collar oxygenで非侵襲的に。

【Step 2: 気管支拡張】
・アルブテロール吸入：2 puffs（スペーサー使用）
・テルブタリン：0.01 mg/kg SC or IM（吸入困難な重症例に）"
6枚目,解説・データ,"🚨 急性発作の緊急対応・続き
【Step 3: 速効性ステロイド】
・デキサメタゾンSP：0.1-0.2 mg/kg IV or IM

⚠️ 挿管・陽圧換気の判断
急性発作中の挿管は気管支痙攣を悪化させるリスクあり。
チアノーゼが持続し改善しない場合のみ、最終判断として検討する。"
7枚目,解説・データ,"💊 長期管理 ─ フルチカゾン吸入療法
長期管理の柱は、全身性副作用を抑え気道局所に作用させる吸入ステロイド。

・薬剤：フルチカゾン MDI（定量噴霧式吸入器）
・用量：110 - 220 mcg/puff q12h
・デバイス：猫用スペーサー（AeroKat等）にマスクを装着し、7-10回の呼吸を確認

※無発作の期間が続いても、基盤の炎症は持続しているためフルチカゾンは中止しない！"
8枚目,解説・データ,"💊 長期管理 ─ 経口ステロイドとの併用・離脱
フルチカゾンは効果発現まで10-14日かかるため、初期は経口ステロイドを併用する。

【プレドニゾロンの移行期プロトコル】
・導入：1-2 mg/kg/day PO（5-7日間）
・漸減：反応を見ながら2週間ごとに減量
・維持：隔日投与を目指し、フルチカゾン吸入が安定したら離脱！

⚠️ アルブテロールの定期使用はNG！
S-エナンチオマーによる炎症悪化リスクがあるため、発作時のみ（SOS使用）に限る。"
9枚目,まとめ,"本記事の要点 3選
1. 猫の喘息は好酸球性・可逆性。高齢発症の慢性気管支炎（好中球性・不可逆性）との鑑別が治療の第一歩。
2. 急性発作時はストレスを最小限に。アルブテロール吸入とデキサメタゾンSPで速やかに介入。
3. 長期管理はフルチカゾン吸入が主役。プレドニゾロンは漸減して離脱を目指し、アルブテロールは発作時のみ使用する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「ゼーゼーしている猫」が来院した際、喘息と慢性気管支炎の病態の違いを意識して治療方針を立てられていますか？
今回は、猫特有の「好酸球性気道炎症」を制圧するための最新プロトコルを解説します。

旧来の常識では「猫の咳＝喘息」「経口ステロイドでの長期管理」が主流でしたが、現在ではフルチカゾン吸入療法による全身性副作用の回避と、アルブテロールの「SOS使用（発作時のみ）」がエビデンスとして推奨されています。

急性発作時の緊急対応から、長期管理における経口プレドニゾロンの漸減・離脱プロトコルまで、現場ですぐに使える実践的な情報をまとめました。

日々の診療ですぐに見返せるよう、右側のリボンマークから【保存】をしてお役立てください🔖
詳細なエビデンスや飼い主様への説明ガイドは、プロフィールのNoteリンクからご確認いただけます🔗

#獣医 #動物救急 #獣医学 #小動物臨床 #動物病院 #獣医療"
