スライド番号,役割,テキスト
1枚目,表紙,"CKDの猫の「突然の失明」
加齢のせいだと見逃していませんか？
〜見落としがちな二次性高血圧と標的臓器障害〜"
2枚目,結論,"結論：CKD全例で血圧測定を
・CKDに伴う全身性高血圧は、犬猫で最も一般的な二次性高血圧の原因。
・IRIS血圧分類に基づき、SBP ≥ 160 mmHg で治療介入を推奨。
・第一選択薬は、猫で「アムロジピン」、犬で「ACE阻害薬/ARB」。
・標的臓器障害（TOD）の有無が、治療の緊急度を大きく左右する。"
3枚目,昔の常識 vs 今のエビデンス,"❌ 旧来の常識
・CKDの猫に全例血圧測定は不要
・突然の失明は「老化」のせい
・犬も猫もアムロジピンが第一選択
・1回測って高ければ治療開始

✅ 最新のエビデンス
・CKDのどのステージでも全例で血圧測定を推奨
・突然の失明は「高血圧性網膜剥離」が多い（降圧で進行抑制の可能性あり）
・犬は「ACE阻害薬/ARB」が第一選択（アムロジピンは追加薬）
・5-7回測定し、外れ値を除外して評価する"
4枚目,標的臓器障害（TOD）とは？,"高血圧が壊す4つの臓器
👁️ 眼：網膜剥離、網膜出血、前房出血
（急性失明、散瞳、眼底検査で出血確認）
🫘 腎臓：蛋白尿の悪化、GFR低下の加速
（UPC上昇、クレアチニン/SDMA上昇の加速）
🧠 脳：高血圧性脳症
（発作、沈鬱、前庭症状、意識レベル低下）
🫀 心臓：左心室肥大 (LVH)
（ギャロップ音、心エコーで壁肥厚）"
5枚目,IRIS 血圧分類（収縮期血圧 SBP）,"・SBP < 140 mmHg：リスク Minimal（経過観察）
・140 - 159 mmHg：リスク Low（TODがあれば治療検討）
・160 - 179 mmHg：リスク Moderate（治療開始）
・≥ 180 mmHg：リスク High（早急に治療開始）

💡 治療介入基準
持続的な SBP ≥ 160 mmHg
または SBP ≥ 140 mmHg ＋ TOD（眼底病変等）が存在する場合。"
6枚目,降圧薬のプロトコル【猫】,"🐱 猫の第一選択：アムロジピン（Ca拮抗薬）
・開始用量：0.625〜1.25 mg/cat PO q24h
（体重換算：0.125〜0.25 mg/kg）
・最大用量：2.5 mg/cat PO q24h まで増量可
・再評価：開始後3〜5日〜1〜2週で血圧再測定

🎯 目標
SBP < 160 mmHg（長期的には < 150 mmHg を目指す）"
7枚目,降圧薬のプロトコル【犬】,"🐶 犬の第一選択：ACE阻害薬 または ARB
・アムロジピン単独ではRAAS活性化を招くリスクがあり、ACE阻害薬/ARBが第一選択。
・効果不十分な場合：アムロジピンを追加
・追加用量：0.1〜0.2 mg/kg PO q12-24h
（0.5 mg/kg q24h まで増量可）

⚠️ 注意点
犬の長期使用で「歯肉肥厚」が起こることがある（休薬で改善）。
特に脱水を伴うCKD患者では低血圧（SBP < 120 mmHg）に注意。"
8枚目,正確な血圧測定のテクニック,"「白衣高血圧」を避けるために
・環境：静かな部屋で5〜10分の馴化時間を確保。
・体位：腹臥位または側臥位。カフは心臓の高さ。
・カフサイズ：四肢または尾の周囲径の30〜40%の幅。
・回数：5〜7回測定し、1回目と明らかな外れ値を除外して平均化。
※ 飼い主に抱かせたまま測定するとストレス軽減（特に猫）。
※ TODが認められる場合は1回の測定でも治療開始を考慮してよい。"
9枚目,まとめ,"見逃しやすい高血圧合併症・3つの要点
1. CKD罹患動物（特に猫）では、ステージによらず定期的な血圧測定をルーチン化する。
2. 急性失明などのTOD所見を見逃さず、SBP ≥ 160 mmHg で速やかに降圧治療を開始する。
3. 降圧薬の第一選択は、猫で「アムロジピン」、犬で「ACE阻害薬/ARB」と動物種で明確に異なる。"
10枚目,読者へのアクション・誘導,"診察ですぐに見返せるよう【保存】を推奨します。

詳細なエビデンス、参照論文リンク、
および飼い主様への説明ガイドは
プロフのNoteにて公開中！


=== キャプション（投稿文） ===
高齢猫の「突然の失明」、単なる加齢や白内障だと片付けていませんか？
実はそれ、慢性腎臓病（CKD）に合併した「高血圧性網膜剥離」かもしれません。

CKDに伴う全身性高血圧は、犬猫で最も一般的な二次性高血圧の原因です。
眼・腎臓・脳・心臓の4つの臓器（TOD）を破壊する前に、IRISガイドラインに基づいた適切な評価と介入が不可欠です。

特に注意したいのが、降圧薬の第一選択が犬と猫で異なる点。
猫ではアムロジピンが第一選択ですが、犬ではACE阻害薬/ARBが推奨され、アムロジピンは効果不十分な場合の追加薬となります。

今回の投稿では、プロの現場ですぐに使えるIRIS血圧分類と、犬猫別の降圧プロトコルをまとめました。
診察の合間にすぐ確認できるよう、ぜひ【保存】してご活用ください。

詳細なエビデンスや飼い主様への説明のコツについては、プロフィールのリンク（Note）からご覧いただけます！

#獣医 #動物救急 #獣医学 #動物病院 #獣医臨床 #慢性腎臓病 #高血圧 #小動物臨床"
