スライド番号,役割,テキスト
1枚目,表紙,"🚨 犬猫のHHS
── DKAより恐ろしい「罠」
血糖>600、ケトン陰性、高浸透圧
急速補正は致死的脳浮腫を招く"
2枚目,結論,"【結論】
■ HHS = 極端な高血糖 + ケトン陰性 + 浸透圧>350
■ DKAとプロトコルを混同すると致死的脳浮腫
■ 等張液（0.9% NaCl）で36-48時間かけて超緩徐に補正
■ インスリンは数時間〜半日以上待ってから低用量で
■ 有効浸透圧の低下速度 ≤ 0.5-1.0 mOsm/kg/hr
■ 死亡率40-70%以上"
3枚目,DKA vs HHS 比較表,"【DKA vs HHS ─ 見た目は似ているが治療は真逆】

| 項目 | DKA | HHS |
|------|-----|-----|
| 血糖値 | 300-500 | **>600-1000以上** |
| ケトン体 | **陽性（強）** | **陰性/弱陽性** |
| 浸透圧 | やや高値 | **>350 mOsm/kg** |
| 神経症状 | 嘔吐（アシドーシス） | **深い昏睡・発作** |
| 輸液ペース | 12-24時間 | **36-48時間（超緩徐）** |
| インスリン開始 | 2-6時間後 | **数時間〜半日以上待つ** |
| 最大の脅威 | 低K血症 | **脳浮腫** |"
4枚目,なぜ脳浮腫が起きるか,"【脳浮腫の病態生理 ─ 核心】

① 著しい高血糖 → 細胞外浸透圧が**慢性的に**上昇
② 脳細胞は数日かけて**特発性浸透圧物質**を産生
 （タウリン・ミオイノシトール等）
 → 細胞内浸透圧を上げ体積を維持

③ 急速にインスリン/低張液で浸透圧を下げると…
④ 特発性浸透圧物質が溜まった**脳細胞内に水が一気に逆流入**
⑤ 頭蓋骨 = 閉鎖空間 → 膨張の逃げ場なし
 → **致死的な脳浮腫**"
5枚目,絶対にやってはいけない罠,"【🚫 絶対にやってはいけない4つの罠】

| ❌ 罠 | ✅ 正しいアプローチ |
|--------|---------------------|
| 低張液を大量投与 | **0.9% NaCl（等張液）から開始** |
| 来院直後からインスリン | **インスリンは最初は打たない** |
| DKAと同じ速度で血糖を下げる | **有効浸透圧 ≤ 0.5-1.0 mOsm/kg/hr** |
| 有効浸透圧を計算しない | **2×Na + Glu/18 を必ず計算** |"
6枚目,治療プロトコル,"【HHS治療プロトコル ─ 超緩徐がすべて】

■ Step 1: 輸液
 ・0.9% NaCl で開始（低張液は使わない）
 ・脱水補正は**最低36-48時間**
 ・ショック = 5-10 mL/kgを慎重にボーラス

■ Step 2: インスリン「遅延」開始
 ・水和が改善し浸透圧低下が安定してから
 ・CRI **0.025-0.05 U/kg/hr**（DKAより低用量）

■ Step 3: 脳浮腫の監視
 ・意識レベル急低下、発作、徐脈、瞳孔不同
 → 20%マンニトール 0.5-1.0 g/kg IV (15-20分)"
7枚目,有効血清浸透圧の計算,"【🔢 有効血清浸透圧 ─ 必ずベッドサイドで確認】

■ 計算式
 **有効Osm = 2 × Na (mEq/L) + Glu (mg/dL) / 18**
 ※BUNは細胞膜を自由通過 → 不含

| 浸透圧 (mOsm/kg) | 判断 |
|-------------------|------|
| 290-310 | 正常 |
| >320 | 神経症状が出始めるライン |
| **>350** | **HHS典型。脳浮腫リスク高** |

■ 治療目標
 浸透圧の低下を **< 0.5-1.0 mOsm/kg/hr** に保つ"
8枚目,飼い主説明,"【飼い主への説明ガイド】

Q.「血糖がすごく高いのに、すぐインスリンを打たないのですか？」
A.「この状態でいきなりインスリンで血糖を急に下げると、脳が腫れてしまう危険性がとても高いのです。脳は数日かけてこの高い状態に適応しているため、元に戻すにも48時間ほどかけて慎重に治療する必要があります」

Q.「助かりますか？」
A.「この病気は非常に重く死亡率も高いですが、慎重な輸液管理でゆっくり安定させることで回復する子もいます。最初の24-48時間の慎重な管理が勝負です」"
9枚目,まとめ,"【本記事の要点】

① HHSの最大の脅威は「治療による脳浮腫」
② 等張液のみで36-48時間かけて超緩徐に補正
③ インスリンは数時間〜半日以上待ってから低用量で
④ 有効浸透圧（2×Na + Glu/18）を必ず計算し速度管理
⑤ DKAとプロトコルを混同することは致命的"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
血糖値700 mg/dL、意識消失 ── しかしケトン体は陰性。この時あなたはどうしますか？🚨

DKAだと思ってインスリンを急いで投与する？ 実はそれが**犬を殺す最大の罠**です。

これはHHS（高浸透圧高血糖症候群）。DKAとは治療が根底から異なる内分泌の緊急疾患です。脳細胞は数日かけて高い浸透圧に適応しているため、急速な補正は致死的な脳浮腫を引き起こします。

✅ 等張液（0.9% NaCl）のみで36-48時間かけて超緩徐に補正
✅ インスリンは数時間〜半日以上待ってから低用量で慎重に
✅ 有効浸透圧の低下速度を0.5-1.0 mOsm/kg/hr以下に

死亡率40-70%。DKAとの鑑別と「超緩徐プロトコル」を知っているかどうかが、文字通り命を分けます。

ぜひ【保存】して、いざという時に見返してください🔖

#獣医 #獣医師 #獣医療 #臨床獣医学 #HHS #DKA #糖尿病 #救急 #動物病院"
