スライド番号,役割,テキスト
1枚目,表紙,"低血糖発作で搬送！
50%ブドウ糖を原液のまま静注していませんか？
─ リバウンドを防ぐ緊急プロトコルとインスリノーマ管理 ─"
2枚目,結論,"低血糖の緊急プロトコル
意識消失・発作を止める3ステップ

①ボーラス投与
・50%ブドウ糖 0.5-1.0 mL/kg IV slow
・⚠️必ず等倍以上に希釈（12.5-25%）して投与
・発作消失時点で直ちに注入ストップ（押し切らない）

②CRI（持続点滴）
・2.5-5%ブドウ糖液をCRI
・リバウンド低血糖（インスリン過剰分泌）の予防に必須！

③難治性の場合
・グルカゴン CRI 5-15 ng/kg/min を検討"
3枚目,解説・データ①,"アップデート必須！低血糖管理のエビデンス

❌ 旧来の常識
・ボーラス投与だけで解決
・50%ブドウ糖の原液静注
・血糖値を「正常値」に戻す

✅ 最新の推奨
・ボーラス後は必ずCRI（特にインスリノーマはリバウンドに注意）
・原液は高浸透圧で血管炎・壊死のリスクあり。必ず希釈！
・目標は「臨床徴候の消失」。過剰な糖はインスリン分泌をさらに刺激する"
4枚目,解説・データ②,"現場で使える！ブドウ糖CRIの作り方

⚠️ ベースの輸液剤選び
必ず「糖を含まない晶質液（生理食塩水や乳酸リンゲル液など）」を使用。
※すでに糖を含む維持液（3号液等）に添加すると静脈炎リスク大。

【500mLバッグを使用する場合の計算例】
・2.5%ブドウ糖液
輸液を25mL抜き → 50%ブドウ糖を25mL入れる

・5%ブドウ糖液
輸液を50mL抜き → 50%ブドウ糖を50mL入れる"
5枚目,解説・データ③,"難治性低血糖へのカード
ブドウ糖補充のみで維持困難な場合

【グルカゴンの使用】
・用量：CRI 5-15 ng/kg/min
・適応：インスリノーマ等で持続的な低血糖が改善しない場合
・注意点：薬剤が高額。嘔吐の副作用あり。"
6枚目,解説・データ④,"インスリノーマの診断と内科管理
※中〜高齢犬に多い（猫は極めて稀）

■ 診断のポイント
・低血糖時に「血中インスリン値が不適切に高い（抑制されていない）」
・超音波やCTでの膵臓小結節

■ 内科管理（手術不適応・補助）
・プレドニゾロン：0.25-0.5 mg/kg PO q12h
（糖新生促進、インスリン抵抗性を上げる）
・ジアゾキシド：5 mg/kg PO q12h
（インスリン分泌の抑制）"
7枚目,解説・データ⑤,"意外と危険！インスリノーマの食事指導
⚠️ 単糖類の日常給餌は「絶対禁忌」

ハチミツや甘いおやつの日常的な給与は、インスリンの急激な大量放出（スパイク）を誘発し、食後に致死的なリバウンド低血糖を招く危険があります。

【推奨する食事管理】
✅ 高タンパク・高脂肪・複合炭水化物
✅ 少量頻回給餌（長時間の絶食を避ける）
✅ 運動や興奮の制限（過度な血糖消費を防ぐ）"
8枚目,解説・データ⑥,"鑑別診断と飼い主説明Tips

■ 低血糖の主な鑑別
・高齢犬：膵外腫瘍（インスリン値は低値を示す）
・若齢トイ犬種：肝グリコーゲン枯渇（門脈体循環シャントも要除外）
・その他：敗血症、アジソン病、キシリトール中毒、インスリン過量投与

■ 飼い主への説明ガイド（自宅での発作時）
・無意識の強い食いしばりで大怪我をする危険があるため、「絶対に口の中に指を入れない」よう指導。
・「ハチミツを歯茎に塗る」のは緊急時のみ。普段の予防目的で甘いものを与えるのはNG。"
9枚目,まとめ,"本記事の要点

① 50%ブドウ糖は必ず希釈（12.5-25%）してIV slow。発作消失で直ちに注入を止める（押し切らない）。
② ボーラス後はリバウンド防止のため、糖を含まない晶質液で2.5-5%ブドウ糖CRIを行う。
③ インスリノーマの食事は「高タンパク・高脂肪・複合炭水化物」。単糖類の日常給与は絶対禁忌。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
発作で搬送された低血糖の患者。
「とにかく早く血糖値を上げなきゃ！」と50%ブドウ糖をそのまま静注していませんか？

実は、高濃度のブドウ糖のボーラス投与や、正常値まで一気に血糖を上げるアプローチは、リバウンド低血糖（インスリン過剰分泌）や静脈炎のリスクを伴います。
治療の目標は「血糖値の正常化」ではなく「臨床徴候の消失」です。発作が治まったら注入をストップし、速やかにCRI管理に移行することが重要になります。

今回の投稿では、低血糖発作の緊急プロトコルから、現場ですぐ使えるCRIの計算例、インスリノーマの内科管理・食事指導まで、臨床現場で役立つ実践的な知識をまとめました。

💡 スライドのハイライト
・50%ブドウ糖の正しい希釈と投与法
・ボーラス後のCRI輸液の作り方
・インスリノーマの長期管理と禁忌の食事
・飼い主さんへの適切なアドバイス

詳細なエビデンスや参考文献については、プロフィール欄のNoteリンクからご覧いただけます。
いざという時にすぐ確認できるよう、ぜひ【保存】してお役立てください！

#獣医 #動物救急 #低血糖 #インスリノーマ #獣医内分泌 #動物病院"
