スライド番号,役割,テキスト
1枚目,表紙,"🐱 猫の口内炎（FCGS）
── 全臼歯抜歯とステロイド以外の選択肢
「ステロイド漬けの日々」から脱却するために。"
2枚目,結論,"【結論】
■ 全臼歯抜歯（FME）が第一選択 → 60-80%が治癒または著明改善
■ 長期ステロイドは非推奨（糖尿病・免疫不全リスク）
■ 難治例（20-40%）の内科療法
 ・シクロスポリン: 50-70%著効
 ・インターフェロンオメガ: 副作用ほぼなし
 ・幹細胞療法（MSC）: 約70%劇的寛解"
3枚目,治療選択肢比較,"【治療法の比較】

| 治療法 | 奏効率 |
|---|---|
| 全臼歯抜歯（FME） | 60-80%（治癒/改善） ★第一選択 |
| シクロスポリンA | 50-70% |
| 幹細胞療法（MSC） | ~70% |
| インターフェロンオメガ | 変動あり |
| 長期ステロイド | 一時的 ⚠️ |

⚠️ 長期ステロイド → DM・免疫不全リスク → 非推奨"
4枚目,昔 vs 今,"【昔の常識 vs 今のエビデンス】

❌ 口内炎はステロイド注射で管理するもの
✅ ステロイドは一時しのぎ。全臼歯抜歯が第一選択

❌ 「歯を全部抜くなんてかわいそう」
✅ 抜歯後の猫はドライフードも食べられる
  痛みから解放される恩恵がはるかに上回る

❌ 抜いてもダメなら治療法がない
✅ シクロスポリン・幹細胞療法など新たな選択肢"
5枚目,全臼歯抜歯,"【全臼歯抜歯（FME）─ 術後管理】

■ 抜歯範囲: 全臼歯（前臼歯+臼歯）
 ・犬歯・切歯は温存可能（Near-FME）
 ・病変が及んでいれば全顎抜歯

■ 術後X線で残根ゼロを必ず確認！
 （残根 = 再発の最大原因）

■ 術後投薬
 ・クリンダマイシン 11 mg/kg PO q12h（7-14日）
 ・ブプレノルフィン 0.02 mg/kg 経粘膜 q8h
 ・ガバペンチン 5-10 mg/kg PO q8-12h"
6枚目,シクロスポリン,"【難治例の第一選択 ─ シクロスポリンA】

■ 用量: 2.5-3.0 mg/kg PO q12h（液剤）
■ 奏効率: 約50-70%
■ 適応: 抜歯後も疼痛が残る難治性FCGS

■ ポイント
 ・1日1回では効果が落ちやすい → q12h推奨
 ・初期嘔吐 → 少量から漸増で対応
 ・血中濃度モニタリング推奨
 ・FIV陽性例は感染リスクに注意"
7枚目,新しい治療法,"【インターフェロン & 幹細胞療法】

■ 猫インターフェロンオメガ
 ・10万 IU/day PO（口腔粘膜に直接塗布）
 ・副作用がほぼなく長期管理向き
 ・FCV関与疑い例に特に検討

■ 間葉系幹細胞療法（MSC）
 ・脂肪由来MSCsの静脈内投与
 ・約70%で劇的な寛解（UC Davis研究）
 ・実施施設は限定的
 ・今後のエビデンス蓄積に期待"
8枚目,飼い主説明,"【飼い主への説明のコツ】

👤「歯を全部抜いて大丈夫？」
🗣️「歯がなくてもドライフードを歯茎で食べられるようになる猫ちゃんがとても多いです。今の""痛くて食べられない""状態よりも、""痛みなく食べられる""状態の方がずっと幸せですよ」

👤「ステロイドの注射で良くなるからそれで…」
🗣️「ステロイドは一時的に楽にしますが、繰り返すと糖尿病や免疫力低下を引き起こします。根本治療を先送りにするほど体への負担が大きくなります」"
9枚目,まとめ,"【本記事の要点】

① 全臼歯抜歯（FME）が第一選択で60-80%が治癒または著明改善
② 長期ステロイドは手術先送りのための乱用は厳禁
③ 術後X線で残根ゼロの確認が必須（残根=再発原因）
④ 難治例にはシクロスポリンA q12hが第一選択内科療法
⑤ 幹細胞療法は約70%で寛解 ─ 新たな選択肢として期待"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「よだれが止まらない」「食べたそうにするのに食べられない」── 猫の慢性歯肉口内炎（FCGS）🐱

ステロイド注射で一時的に楽にしても、繰り返すほど糖尿病リスクが上がるだけ。根本的な解決にはなりません。

現在のエビデンスが示す第一選択は全臼歯抜歯（FME）── 60-80%の猫が治癒または著明に改善し、薬なしで快適に過ごせるようになります🦷

「歯を全部抜いてかわいそう」と思われるかもしれませんが、多くの猫は数ヶ月後にドライフードも食べられるようになります。痛みから解放される恩恵は計り知れません✨

それでも改善しない20-40%の難治例には、シクロスポリンA（50-70%著効）や間葉系幹細胞療法（約70%寛解）という新しい選択肢も。

スライドで治療フローと飼い主説明のコツを確認してください👉
診察中にすぐ見返せるよう【保存】をお願いします🔖
エビデンスと論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #猫の口内炎 #FCGS #歯科 #動物病院"
