スライド番号,役割,テキスト
1枚目,表紙,"😴 麻酔中の低血圧・徐脈
MAP 45mmHg ── その時、何をしますか？
臨床経験2年目以上の獣医師へ"
2枚目,結論,"**🎯 術中低血圧・徐脈の対処フロー**

**📉 低血圧**: MAP < 60mmHg
1.  まず **麻酔深度確認、吸入麻酔薬減量**
2.  次に **晶質液ボーラス** (犬 10-20mL/kg, 猫 5-10mL/kg)
3.  改善なければ **昇圧薬** (ドーパミン, ドブタミン)

**💓 徐脈**: 犬 < 60bpm, 猫 < 100bpm
1.  まず **原因検索** (過深麻酔、迷走神経反射、高K⁺血症)
2.  必要に応じ **アトロピン** 0.01-0.02mg/kg IV"
3枚目,昔の常識 vs 今のエビデンス,"**⚡️ 昔の常識 vs 今のエビデンス**

**❌ 旧来**
*   低血圧にはとりあえず輸液量を増やす
*   徐脈にはすぐアトロピン
*   術中の低血圧は短時間なら問題ない

**✅ 最新**
*   **まず麻酔深度を確認**。吸入麻酔薬過量が最多原因。MACの10-15%減量で回復することも多い。
*   アトロピン投与の前に**原因検索**が必要。過深麻酔や高K⁺血症ならアトロピンだけでは解決しない。
*   **MAP < 60mmHgが15分以上持続**すると、術後AKIや臓器障害のリスクを有意に上昇させる。"
4枚目,低血圧の定義とモニタリングの限界,"**📉 低血圧 ─ 定義とモニタリング**

**定義:**
*   MAP < 60 mmHg
*   SAP < 90 mmHg
*   DAP < 40 mmHg

**⚠️ オシロメトリック法（間接法）の限界:**
*   猫や小型犬では測定値の信頼性が低下する。特に低血圧時は測定不能になることも。
*   高リスク手術では**直接動脈圧モニタリング**を推奨。"
5枚目,低血圧対処フロー Step 1-2,"**📉 低血圧 ─ Step-by-Step 対処フロー**

**Step 1. 麻酔深度の確認**
*   眼球位置・顎緊張度・呼吸パターンを確認。
*   MAC値の**10〜15%減量**を試みる。
*   → これが最も多い原因！

**Step 2. 晶質液ボーラス**
*   犬: **10〜20 mL/kg** を10〜15分でIV
*   猫: **5〜10 mL/kg** を10〜15分でIV"
6枚目,昇圧薬・強心薬の選択,"**📉 低血圧 ─ 昇圧薬・強心薬の選択**

**ドーパミン**
*   5〜10 μg/kg/min CRI
*   β1（心拍出量↑）＋ α1（末梢血管収縮）
*   → 一般的な術中低血圧の第一選択

**ドブタミン**
*   1〜5 μg/kg/min CRI
*   β1主体（心収縮力↑）
*   → **心原性低血圧**（DCM等）に特に有効。

**💡 臨床Tips:**
*   猫ではドブタミンが比較的安全。ドーパミン高用量 (>10μg/kg/min) は頻脈・不整脈リスク↑。
*   CRIはシリンジポンプでの投与が理想。"
7枚目,徐脈の定義と主な原因,"**💓 徐脈 ─ 定義と主な原因**

**定義:**
*   犬（小型犬）: HR < 60〜70 bpm
*   犬（大型犬）: HR < 50〜60 bpm
*   猫: HR < 100〜120 bpm

**主な原因と鑑別:**
*   **過深麻酔**: 心筋抑制 → 吸入麻酔薬の減量
*   **迷走神経反射**: 眼球操作、腹部臓器牽引 → アトロピン、牽引中断
*   **高K⁺血症**: 心伝導障害 → 10% グルコン酸カルシウム 0.5〜1.5 mL/kg IV slow
*   **α2作動薬**: 心血管作用 → 必要時アティパメゾール
*   **低体温**: 心筋自動能低下 → 復温"
8枚目,徐脈の抗コリン薬と低血圧＋徐脈の同時対処,"**💓 徐脈 ─ 抗コリン薬と同時対処**

**抗コリン薬の選択:**
*   **アトロピン**: 0.01〜0.02 mg/kg IV (速効性、15〜30分持続、BBB通過性あり)
*   **グリコピロレート**: 0.01 mg/kg IV (穏やか、30〜60分持続、BBB非通過性)
*   **⚠️ 注意**: アトロピン盲目的投与は危険。高K⁺血症など原因を考えてから投与！

**低血圧＋徐脈の同時対処:**
1.  **麻酔深度を確認し、減量**（最も多い原因）
2.  徐脈が血圧低下の原因か判断
3.  **アトロピン**で心拍数回復を試みる
4.  心拍数回復後も低血圧なら**輸液ボーラス→昇圧薬**"
9枚目,まとめ,"**💡 本記事の要点3点**

1.  術中低血圧・徐脈の第一歩は**麻酔深度の確認と吸入麻酔薬の減量**。
2.  **MAP < 60 mmHgが15分以上持続**すると、術後AKIや臓器障害のリスクが有意に上昇する。
3.  徐脈に対する**抗コリン薬投与前に、必ず原因検索**を行う。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
麻酔中の低血圧、MAP 45mmHg。その時、あなたはまず何をしますか？

経験豊富な獣医師でも悩む術中トラブルの一つが、低血圧と徐脈です。
「とりあえず輸液」や「とりあえずアトロピン」── それが本当に最善の選択肢でしょうか？

最新のエビデンスでは、まず確認すべきは「麻酔深度」であることが示されています。吸入麻酔薬の減量だけで、血圧が回復するケースは少なくありません。
また、MAP < 60mmHgの状態が15分以上続くと、術後AKIや臓器障害のリスクが有意に上昇することも明らかになっています。

この投稿では、術中低血圧と徐脈に対する体系的なアプローチと、エビデンスに基づく薬剤選択・用量をまとめました。
明日からの麻酔管理に役立つ情報が満載です。

✔️ 低血圧の定義と対処フロー
✔️ 徐脈の原因検索と抗コリン薬の使い分け
✔️ 低血圧＋徐脈の同時対処法

忙しい臨床現場で、もしもの時に迷わず対応できるよう、ぜひ保存してご活用ください。
プロフのNote記事では、さらに詳細な解説と論文リンクを掲載しています。

#獣医 #動物救急 #麻酔管理 #術中トラブル #獣医麻酔 #臨床獣医 #動物病院"
