スライド番号,役割,テキスト
1枚目,表紙,"とりあえずフルオロキノロン…出していませんか？
臓器別 抗菌薬選択の基本原則"
2枚目,結論,"結論：AMR（薬剤耐性菌）を防ぐ第一選択薬
各臓器の基本方針
・皮膚：セファレキシン または アモキシシリン・クラブラン酸
・尿路：アモキシシリン
・呼吸器：ドキシサイクリン
・消化器：原則不要（急性下痢）"
3枚目,臓器別アプローチ ①皮膚感染症,"膿皮症のアプローチ
細胞診で球菌を確認後、以下を第一選択に。
・セファレキシン：15-30 mg/kg PO BID
・アモキシシリン・クラブラン酸：12.5-25 mg/kg PO BID

※再発例や難治例では、必ず細菌培養・薬剤感受性試験を実施すること。"
4枚目,臓器別アプローチ ②尿路感染症,"細菌性単純性膀胱炎のアプローチ
第一選択薬
・アモキシシリン：11-15 mg/kg PO q8h または 15-20 mg/kg PO q12h (BID)
（鎮痛薬のみで経過観察も選択肢に）

※治療期間は3〜5日間で十分とされる（ISCAIDガイドライン）。
※フルオロキノロン系は第一選択から外す。"
5枚目,臓器別アプローチ ③呼吸器感染症,"犬の感染性呼吸器疾患（CIRD）
・軽症例：ウイルス性が多いため、原則抗菌薬は不要。
・膿性鼻汁、発熱、無気力が長引く場合：
　ドキシサイクリン：5 mg/kg PO BID または 10 mg/kg PO SID
（猫の上部呼吸器感染症でも第一選択）"
6枚目,臓器別アプローチ ④消化器感染症,"犬の急性下痢
・原則：抗菌薬は不要！
・メトロニダゾールのルーチン処方は、腸内細菌叢のディスバイオシスを引き起こす原因に。
・出血性下痢（AHDS）でも、敗血症の兆候がなければ乳酸リンゲル液などの輸液療法（支持療法）のみで改善するケースが多数。"
7枚目,注意すべき「エスカレーション」,"第一選択薬が効かない場合の対応
・無闇に広域スペクトラム（エンロフロキサシンやマルボフロキサシン等）へ変更しない。
・まずはコンプライアンス（投与量・頻度・飼い主の飲ませ方）を確認。
・必ず「細菌培養・薬剤感受性試験」を実施してエビデンスに基づく選択を。"
8枚目,投与経路の選択と重症例,"重症度に応じた使い分け
・重症/敗血症疑い（培養結果待ち）：
　アンピシリン 20-30 mg/kg IV q8h
　＋ エンロフロキサシン 5-10 mg/kg IV SID
・軽症/中等症：POで吸収良好な薬剤を選択。
・長期持続型注射薬（セフォベシン等）のSC投与は、投薬困難な猫など確実な適応に限る。"
9枚目,まとめ,"本記事の要点
1. 急性下痢や軽症の呼吸器疾患には、原則として抗菌薬を処方しない。
2. 尿路や皮膚の第一選択薬はアモキシシリンやセファレキシンを徹底し、フルオロキノロンの乱用を避ける。
3. 難治・再発例では安易に広域薬へ変更せず、必ず細菌培養・感受性試験を行う。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===

日常診療で「とりあえず広域抗菌薬」を選択していませんか？

薬剤耐性菌（AMR）の増加は、獣医療においても深刻な課題となっています。犬猫の臓器別ガイドライン（ISCAIDなど）に基づき、各疾患における第一選択薬と、抗菌薬を「使わない」判断基準を整理しました。

とくに急性下痢に対するメトロニダゾールのルーチン処方や、単純性膀胱炎に対するフルオロキノロンの第一選択は、現在では推奨されていません。

日々の診療のアップデートにぜひご活用ください。
スライドの用量や推奨薬は、診察室ですぐに見返せるように「保存」しておくのがおすすめです💡

詳細なエビデンスやガイドラインの出典リンクについては、プロフィールのNote記事からご確認ください！

#獣医 #動物救急 #臨床獣医師 #動物病院 #獣医学 #抗菌薬 #薬剤耐性菌 #臨床推論"
