スライド番号,役割,テキスト
1枚目,表紙,"犬のDCM
「症状が出てから治療」していませんか？
〜ドーベルマン、ウォルフハウンド、コッカーの犬種別アプローチ〜"
2枚目,結論,"犬のDCM治療は「犬種別」へ
昔の常識：症状が出てから治療開始 / どの犬種も同じ治療
最新エビデンス：
・ドーベルマンは【無症状段階】から介入
・犬種ごとの特異的病態に合わせた個別化治療が必須
・グレインフリー食関連のタウリン欠乏性DCMに注意（FDA警告）"
3枚目,診断指標とStage Cの標準治療,"■ DCMの基本エコー所見
・左室拡張末期径（LVIDd）/収縮末期径（LVIDs）の病的拡大
・FS < 20-25%

■ 心不全（Stage C）の4剤併用
・フロセミド（急性: 2-4 mg/kg IV / 維持: 1-2 mg/kg PO q12h）
・ピモベンダン（0.25-0.3 mg/kg PO q12h）
・ACE阻害薬（エナラプリル等 0.5 mg/kg PO q12-24h）
・スピロノラクトン（2 mg/kg PO q12-24h）"
4枚目,ドーベルマン①：突然死を防ぐスクリーニング,"■ 特徴的病態
無症状期（Occult DCM）から心室性不整脈（VPCs/VT）が多発し、突然死リスクが極めて高い。

■ 推奨スクリーニング
「年1回の24hホルター心電図 ＋ 心エコー」

■ Occult DCMの診断基準（目安）
ホルターでVPCs > 50発/24h、または複雑なVPCs（Couplets/Triplets）を検出 ＋ エコーで病的拡大"
5枚目,ドーベルマン②：PROTECT Study,"■ 無症状期からの介入エビデンス
Occult DCMのドーベルマンに対し、無症状段階からピモベンダン（0.25-0.3 mg/kg PO q12h）を開始した結果。

・プラセボ群（中央値）：441日
・ピモベンダン群（中央値）：718日
▶︎ 心不全発症・突然死までの期間を有意に遅延！
症状がなくても、エコー・ホルター所見で介入を。"
6枚目,ドーベルマン③：抗不整脈薬の選択,"VPCs/VTが顕著な場合のコントロール

■ ソタロール
1-3 mg/kg PO q12h
（VPCs多発、VTに対する第一選択肢）

■ メキシレチン
5-8 mg/kg PO q8h
（ソタロール単独で制御不十分な場合に併用を検討）"
7枚目,アイリッシュ・ウォルフハウンド,"■ 特徴的病態
初期から「心房細動（Afib）」が高頻度で発生する。

■ 治療戦略（レートコントロール）
心拍数のコントロールが生命線となる。
・ジルチアゼム（0.5-2.0 mg/kg PO q8h）
・ジゴキシン（0.005-0.01 mg/kg PO q12h）

💡 臨床Tips
ジゴキシンのトラフ値は「0.8-1.5 ng/mL」を目標に。腎機能低下時の毒性リスクに注意。"
8枚目,コッカースパニエル / ゴールデン,"■ 特徴的病態
グレインフリー食などに関連する「タウリン欠乏性DCM」
（FDAからも関連の警告あり）

■ 治療戦略
標準治療（Stage C）に加え、血中タウリン濃度の測定と補充を開始。
・タウリン：50-100 mg/kg/day PO
・食事の変更を指導

💡 臨床Tips
改善には4〜6ヶ月かかることがあるため、結果を待たずに補充開始を。"
9枚目,まとめ,"犬種別DCMアプローチの要点

1. 【ドーベルマン】
年1回ホルター必須。Occult期からのピモベンダン投与で突然死・心不全を防ぐ。
2. 【ウォルフハウンド】
初期からAfib発症が多いため、ジルチアゼム＋ジゴキシンでレートコントロール。
3. 【コッカー/ゴールデン等】
グレインフリー食歴を確認。タウリン欠乏を疑い、早期からタウリン補充を。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
犬のDCM（拡張型心筋症）は、全犬種で一律に「Stage Cになってから標準治療を始める」疾患ではありません。

ドーベルマンの「突然死」、ウォルフハウンドの「心房細動」、コッカースパニエルの「タウリン欠乏」など、犬種ごとに背景にある病態が全く異なるため、スクリーニングから治療介入のタイミングまで個別化が求められます。

特にドーベルマンにおいては、PROTECT Studyで証明されたように、Occult DCM（無症状期）からのピモベンダン投与が予後を大きく改善します。
年1回のホルター心電図によるVPCsの早期発見がいかに重要か、明日からの診療でお役立てください。

詳細な論文背景や飼い主様への説明ガイドは、プロフィールリンクのNoteにて解説しています。
すぐ見返せるよう、ぜひ【保存】をお願いします🔖

#獣医 #動物救急 #循環器 #心筋症 #心エコー #臨床獣医学"
