スライド番号,役割,テキスト
1枚目,表紙,"CPR最新ガイドライン RECOVER 2024
高用量エピネフリン、まだ使っていませんか？
12年ぶりの大幅アップデート"
2枚目,結論,"RECOVER 2024 最重要アップデート3点
① 高用量エピネフリンは「廃止」
② 圧迫の深さは「1/3〜1/2」（樽胸種/背臥位は1/4）
③ 口対鼻換気は「非推奨」"
3枚目,昔の常識 vs 2024年の新エビデンス①,"エピネフリンの投与量変更
❌ 昔の常識
長引く心停止には「高用量（0.1 mg/kg）」を使用する
✅ 2024年最新エビデンス
高用量は「完全廃止」。微小循環を阻害するため。
👉 標準用量（0.01 mg/kg）の継続推奨のみに変更！救急カートから高用量を削除しましょう。"
4枚目,昔の常識 vs 2024年の新エビデンス②,"胸骨圧迫と換気手技の変更
■ 胸骨圧迫の深さ
基本は「胸郭の1/3〜1/2」（側臥位）。
⚠️ ブルドッグ等の樽胸種（背臥位）に限り、合併症回避のため「1/4」に変更！
■ 非挿管時の換気
❌ 昔：口対鼻換気
✅ 今：非推奨。バッグバルブマスク（タイトフィットマスク）による換気を優先。"
5枚目,覚えるべきCPRの「数字」,"蘇生の質を決める数値
・テンポ：100〜120 回/分
・サイクル：2分間（中断なし。後にローテーション＋リズム確認）
・換気回数：10 回/分（※過換気は有害！）
・1回換気量：10 mL/kg（1回の吸気時間は1秒）
・EtCO2 目標：> 15〜20 mmHg
・EtCO2 急増：> 40 mmHg（自己心拍再開: ROSCの強い兆候）"
6枚目,薬物投与プロトコル,"最新のCPR投薬ルール
■ エピネフリン（標準用量）
・0.01 mg/kg IV
・1サイクルおき（4分ごと）に投与。
■ アトロピン
・0.04 mg/kg IV
・徐脈性PEA/アシストールに推奨。早期に「単回投与」。
■ 除細動（2回目）
・初回の「2倍」のエネルギー。第1回で不発時にエスカレーション。"
7枚目,臨床アクション表,"明日から現場で徹底すべきこと
■ 胸骨圧迫の統一
猫・小型犬は「片手掌法」や「片手母指・示指法」が有用。
完全な胸壁の戻り（リコイル）を必ず確認！
■ 認知負荷の軽減
・体重ごとの「mL」表記投薬量チャートを壁に貼る
・アルゴリズムチャートを可視化（指差し確認）
・2分間のサイクル管理に「タイマー」を必ず使用する"
8枚目,飼い主への説明と生存率,"エビデンスに基づくインフォームドコンセント
Q. 「心臓マッサージをしたら助かる可能性は？」
A. 退院生存率は以下の通りです。
・病院内での心停止（全体）：6〜7%
・麻酔関連の心停止：40〜50%
👉 万が一の時にCPR（心肺蘇生）かDNR（蘇生不要）か、事前に入院・手術前に意思確認をしておくことが重要です。"
9枚目,まとめ,"RECOVER 2024 要点3箇条
1. エピネフリン高用量（0.1 mg/kg）は廃止。標準用量（0.01 mg/kg）を4分ごとに投与する。
2. 圧迫の深さは基本1/3〜1/2。樽胸種・背臥位は「1/4」。完全なリコイルを意識する。
3. アトロピンは早期に単回投与。認知負荷を下げるためタイマーと壁貼りチャートを徹底活用する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察や救急現場ですぐ見返せるよう【保存】を推奨します。
右下のマークをタップして保存👆

=== キャプション（投稿文） ===
RECOVER 2024ガイドライン、12年ぶりの大幅アップデート！🩺
臨床現場の先生方、救急カートの中身やCPRプロトコルは最新にアップデートされていますか？

今回は、日常臨床の救急対応で必須となるCPRの最新エビデンスをまとめました。
特にエピネフリンの「高用量廃止」や、ブルドッグなど樽胸種に対する胸骨圧迫の深さ変更（1/4へ）は、直近のプラクティスに直結する重要な変更点です。

また、緊急時のスタッフの「認知負荷」を下げるため、タイマーの活用やmL表記の投薬量チャートの壁貼りなど、チーム蘇生を成功させる工夫も推奨されています。

スライドで主要なプロトコルと数値をチェックし、院内のチームで共有してください！
詳細なデータや参照論文はプロフィールのNoteからご確認いただけます📚

#獣医 #動物救急 #RECOVER2024 #心肺蘇生 #動物看護師 #小動物臨床 #獣医療"
