スライド番号,役割,テキスト
1枚目,表紙,"「抜管したら安心」と思っていませんか？
麻酔死の約50%は術後3時間以内に起きている

【ACVAA 2025 麻酔モニタリングガイドライン】
16年ぶりの大改訂の要点"
2枚目,結論,"最大のメッセージ：
「覚醒期の監視を手抜きするな」

・麻酔関連死の約50%は覚醒後（術後3時間以内）に集中
・「抜管＝監視終了」は最大の誤解
・施設規模に応じた「3段階推奨」が新設され、一般病院でも実践可能に"
3枚目,解説・データ,"なぜ「覚醒期」が危険なのか？
データが示す術後の死亡リスク

・犬の麻酔死の47%、猫の61%、ウサギの64%が術後に発生
・世界規模の解析では、犬81%、猫74.5%が「覚醒後」に死亡

【主な原因】
覚醒期はスタッフが「手が空いて」別業務に移りやすく、低体温（覚醒遅延）・低酸素・不整脈の発見が遅れるため。"
4枚目,解説・データ,"覚醒期モニタリングの実践フロー

抜管後も、安定した覚醒状態になるまで監視を継続する。

・【専任監視】抜管後、最低1時間は専任スタッフが監視
・【SpO2】安定するまで継続測定
・【体温管理】36.5℃以下なら積極的保温を実施。正常体温でも保温継続を検討"
5枚目,解説・データ,"2009年版 → 2025年版の主な変更点

・覚醒期の監視：推奨なし → 強く推奨
・鎮静（セデーション）：指針なし → 専用の推奨を新設
・推奨レベル：画一的 → 3段階で施設に合わせた柔軟な対応へ
・チェックリスト：推奨なし → 活用・チーム連携を強調"
6枚目,解説・データ,"施設規模に応じた「3段階モニタリング」

① 最低限（すべての一般病院）
心拍数・呼吸数、SpO2・体温、麻酔深度評価、覚醒期の継続監視

② 代替（設備のある一般病院）
上記 ＋ 心電図、EtCO2（カプノグラフィ）、間接血圧

③ 高度（大学病院・専門病院）
上記 ＋ 直接動脈圧、神経筋モニタリング、吸入麻酔薬濃度"
7枚目,解説・データ,"航空業界に学ぶ「チェックリスト」の導入

2025年版では安全文化の構築を強調。
・術前：患者ID、絶食、既往歴、前投薬計画
・導入時：気管チューブサイズ、モニタ動作、緊急薬剤
・術中：5分ごとの記録、エスカレーション基準
・覚醒：抜管基準、体温、鎮痛評価

💡 最低限「Time Out（手術開始前の5秒確認）」を導入するだけでもヒューマンエラーは有意に減少する。"
8枚目,解説・データ,"ASA分類別の死亡リスク目安

・ASA I（健康）：犬 0.05% / 猫 0.11%
・ASA II（軽度全身疾患）：0.1〜0.2%
・ASA III（重度全身疾患）：犬 1.33% / 猫 1.40%
・ASA IV（生命を脅かす疾患）：1〜5%
・ASA V（手術なしで24h生存不可）：5〜20%+

⚠️ 犬の「短時間の手術」も、モニタリングのセットアップが不十分になりやすく死亡リスク因子となるため注意。"
9枚目,まとめ,"本記事の要点

1. 麻酔関連死の約半数は術後3時間以内に集中。覚醒期のモニタリングが最重要。
2. 抜管後もSpO2測定と体温管理を継続し、最低1時間は専任スタッフが監視すること。
3. 施設規模に応じた3段階推奨とチェックリストを活用し、チーム全体で麻酔安全基準を高める。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
米国獣医麻酔鎮痛学会（ACVAA）の麻酔モニタリングガイドラインが16年ぶりに大改訂されました。
今回の最大の焦点は「覚醒期の徹底したモニタリング」です。

臨床現場では「無事に抜管できたら一安心」と、つい他の業務に目を向けてしまいがちですが、データによると犬猫の麻酔関連死の半数以上が術後（特に3時間以内）に発生しています。覚醒期の低体温や低酸素を見逃さないためにも、最低1時間は専任スタッフによる監視とSpO2・体温の継続測定が必要です。

また、今回のガイドラインでは一般病院でも実践できるよう、施設の設備に応じた「3段階の推奨レベル」が提示されています。すべての施設に高度なモニタリングを求めるのではなく、今ある機材で最大限の安全を確保し、チェックリストを用いてヒューマンエラーを防ぐという現実的なアプローチが推奨されています。

毎日の手術の安全性をアップデートするため、ぜひ院内での勉強会やチーム連携の見直しにご活用ください。

詳細な論文データやチェックリストの具体的な項目については、プロフィールのNoteリンクからご確認いただけます。日々の臨床ですぐに振り返れるよう、この投稿の「保存」をおすすめします！

#獣医 #動物救急 #動物病院 #獣医療 #麻酔管理 #獣医麻酔 #ガイドライン #臨床獣医"
