スライド番号,役割,テキスト
1枚目,表紙,"猫のFLUTD
プラゾシンをルーチン処方していませんか？
閉塞vs非閉塞：救急から長期管理までの最新アプローチ"
2枚目,結論,"閉塞 vs 非閉塞：管理の根本的違い

■ 閉塞性FLUTD（Emergency）
・致死的な緊急疾患（主に雄）
・迅速な尿道カテーテル留置 ＋ 静脈内輸液
・高カリウム血症の補正が最優先

■ 非閉塞性FLUTD（FICが主）
・原因不明・無菌性
・疼痛管理 ＋ 環境エンリッチメント（MEMO）
・抗菌薬は原則不要"
3枚目,解説・データ,"非閉塞性FLUTD：特発性膀胱炎（FIC）の管理

FICは疼痛を伴う疾患であり、急性期には鎮痛が不可欠です。

・推奨される鎮痛薬
ブプレノルフィンやガバペンチン等
（NSAIDsのFICに対する有効性は示されていません）

・抗菌薬の適応
原則不要。尿は通常無菌であり、尿培養で細菌感染が確認されない限り抗菌薬は投与しません。"
4枚目,解説・データ,"FIC長期管理の鍵「MEMO」

MEMO（環境エンリッチメント）は再発予防において最も重要な要素です。

・トイレ管理：猫の頭数 ＋1個。静かで安全な場所に設置
・食事と水分：完全ウェットフードへの切り替え、給水箇所の増設
・生活環境：遊び、上下運動、休息場所の提供、ルーティンの維持
・フェロモン：合成フェロモンの使用も推奨"
5枚目,解説・データ,"閉塞性FLUTD：致死的疾患の緊急安定化

未治療では2〜3日以内に腎不全に至るため直ちに対応が必要です。

・閉塞解除：鎮静/麻酔下で尿道カテーテルを留置。困難な場合は減圧性膀胱穿刺を考慮（膀胱壁の脆弱化に注意）
・代謝異常の補正：高カリウム血症、代謝性アシドーシス、高窒素血症に対する積極的な静脈内輸液
※致死的不整脈を防ぐため、高カリウム血症の補正を最優先に行う"
6枚目,解説・データ,"閉塞解除後の管理とモニタリング

・尿道カテーテル留置
1〜3日間の留置により持続的な尿路開通を確保し、膀胱の回復を促す。

・厳密なモニタリング
「閉塞後利尿」に要注意。
水和状態、尿量、血液検査（電解質、腎パネル）を注意深く追跡し、脱水や電解質異常を防ぐ適切な輸液量を維持する。"
7枚目,解説・データ,"閉塞解除後の薬物療法アップデート

・鎮痛：ブプレノルフィン等で十分な疼痛管理（NSAIDsは腎機能低下時に慎重投与）
・尿道弛緩：アセプロマジンやガバペンチン等で尿道痙攣を緩和

⚠️ プラゾシンに関する注意
尿道括約筋弛緩薬として頻用されたプラゾシンですが、近年の複数の研究で再閉塞予防効果が否定されています。低血圧リスクもあるため、現在のガイドラインではルーチン使用は非推奨です。"
8枚目,解説・データ,"閉塞性FLUTDの長期管理

・原因特定：尿検査、X線・エコー、結石分析を通じて根本原因を特定
・食事管理：結石の種類に応じた処方食（ストルバイト溶解食など）。FIC関連ではウェットフードを推奨
・MEMO：非閉塞性と同様に環境エンリッチメントが必須
・外科的介入：繰り返す閉塞への最終手段として会陰尿道造瘻術。※狭窄や尿路感染症リスクに注意"
9枚目,まとめ,"本日の要点

① 非閉塞性FLUTD（主にFIC）は無菌性であり、抗菌薬は不要。疼痛管理と環境整備（MEMO）が治療の柱。
② 閉塞性FLUTDは致死的疾患。迅速な尿路確保と高カリウム血症の補正を最優先に行う。
③ プラゾシンのルーチン処方は現在非推奨。最新のエビデンスに基づき、適切な鎮痛・尿道弛緩薬を選択する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
【FLUTD管理のアップデート：プラゾシン、まだ出していませんか？】

猫のFLUTD（下部尿路疾患）は臨床現場で頻繁に遭遇しますが、「閉塞性」と「非閉塞性」でアプローチが全く異なります。

とくに閉塞性FLUTD（ブロックキャット）の尿道弛緩薬として広く使われてきた「プラゾシン」は、近年のエビデンスにより再閉塞予防効果が否定されており、低血圧リスクの観点からもルーチン使用が非推奨となっている点に注意が必要です。

また、非閉塞性の大多数を占める特発性膀胱炎（FIC）は原則「無菌性」のため、漫然とした抗菌薬投与は避け、適切な鎮痛（ブプレノルフィンやガバペンチン等）とMEMO（環境エンリッチメント）を徹底することが再発予防の鍵となります。

飼い主様への適切な説明のポイントも含め、各疾患の最新管理フローをスライドにまとめました。日々の診療のアップデートにご活用ください。

詳細な文献や解説はプロフィールのNoteリンクから確認できます。
後からすぐに見返せるように、ぜひ投稿を【保存】しておいてください！

#獣医 #動物救急 #小動物臨床 #獣医学 #動物病院 #猫の医療 #臨床獣医"
