スライド番号,役割,テキスト
1枚目,表紙,"犬のパテラ（膝蓋骨脱臼）
「スキップ歩行」を様子見していませんか？
外科介入のベストタイミングと合併症リスク"
2枚目,結論,"結論：Grade別の外科介入判断
・Grade I・II（軽度）：保存療法
・Grade II（頻回跛行）：軟骨損傷やCCL断裂予防のため早期手術推奨
・Grade III・IV：速やかな手術必須

🚨 パテラ症例の15〜25%で前十字靭帯（CCL）断裂を併発！術前の膝関節不安定性の評価はマスト。"
3枚目,解説・データ1,"疫学と見逃せない併発疾患
・有病率：犬全体の約7%（トイプー、ポメ、チワワ等に多発）
・脱臼方向：内方脱臼（MPL）が75〜90%
・両側性：約50%

⚠️ CCL断裂の併発：15〜25%
持続的な膝関節の不安定性が、CCLへの生体力学的ストレスを増大させます。パテラだけでなく、必ずドロワーサインや脛骨圧迫テストの実施を。"
4枚目,解説・データ2,"Putnam/Singleton分類と治療方針
【Grade I】
用手で脱臼可能、離すと即座に整復。ほぼ無症状 ➔ 保存療法
【Grade II】
屈伸で脱臼、自然または用手整復されるまで脱臼位。間欠的跛行（スキップ） ➔ 頻回なら手術推奨
【Grade III】
常時脱臼、用手で一時整復可能。持続的跛行 ➔ 速やかに手術
【Grade IV】
常時脱臼、用手的整復不可。滑車溝の平坦化 ➔ 手術必須"
5枚目,解説・データ3,"画像診断：X線とCTの使い分け
・X線検査：
正面・側面・スカイラインビューで骨関節炎（OA）の評価
・CTスキャン：
Grade III/IVの重度症例に推奨！
➡ 大腿骨前捻角（FAA）や遠位大腿骨外反角（aLDFA）の精密計測
➡ 矯正骨切りの術前プランニングに不可欠"
6枚目,解説・データ4,"外科的術式の基本（通常は複数を組み合わせる）
【骨組織の再建】
・滑車溝造深術：ブロック状/楔状。軟骨温存手技を推奨
・脛骨粗面転位術（TTT）：大腿四頭筋〜膝蓋骨〜脛骨粗面を直線化
・大腿骨遠位矯正骨切り術（DFO）：重度な3次元的骨変形に対し、3Dプリンター製の患者適合型ガイド（PSI）活用が最新トレンド
【軟部組織の再建】
・内側支帯リリース / 外側関節包縫縮 / 抗回転縫合"
7枚目,解説・データ5,"外科治療の成功率と合併症リスク
・成功率
Grade I〜III：90%以上
Grade IV：70〜80%（重度骨変形・筋拘縮により完全回復困難な場合あり）
・全体の合併症率：10〜18%
- 再脱臼：8〜11%（多くは低グレードに留まる）
- インプラント関連：約5%（K-wire移動、感染等）
- 脛骨粗面の裂離骨折：1〜2%
🚨 体重が大きいほど、術前Gradeが高いほど合併症リスクは有意に上昇する。"
8枚目,解説・データ6,"周術期管理と飼い主への説明
■ 薬物療法
・NSAIDs：メロキシカム 0.1 mg/kg/day、ロベナコキシブ 1〜2 mg/kg/day
・抗NGFモノクローナル抗体（ベディンベトマブ等）：OAの疼痛管理に有用

🗣️ 飼い主への説明のコツ
「時々のスキップ歩行（Grade II）も、放置すると軟骨摩耗や前十字靭帯の損傷を招きます。頻繁なら早期手術が長い目で見て良い結果に繋がります」"
9枚目,まとめ,"本記事のまとめ
1. パテラの15〜25%でCCL断裂を併発する。持続的な関節不安定性がある場合は術前に必ず評価を。
2. Grade IIで跛行が頻回な場合、軟骨損傷とCCL断裂予防の観点から早期の外科介入が推奨される。
3. 外科の全体合併症率は10〜18%。Grade IVや体重が重い症例ではリスクが上昇するため、術前の正確な画像診断とインフォームド・コンセントが重要。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクは
プロフのNoteにて。
診察ですぐ見返せるよう
【保存】を推奨します。


=== キャプション（投稿文） ===
小型犬の診察で日常的に遭遇する膝蓋骨脱臼（パテラ）。
「たまにスキップするだけなので様子を見ましょう」と伝えていませんか？

実は、膝関節の持続的な不安定性は前十字靭帯（CCL）への生体力学的ストレスを増大させ、パテラ症例の15〜25%でCCL断裂を併発することが分かっています。
頻回に間欠的跛行を示すGrade IIの症例では、軟骨の保護やCCL断裂予防の観点から、早期の外科的介入を検討する必要があります。

今回の投稿では、パテラのグレーディング（Putnam/Singleton分類）に応じた治療方針の判断基準、外科手術の成功率と合併症率、重度症例でのCT計測（FAA・aLDFA）の重要性についてまとめました。飼い主様へのインフォームド・コンセントにもぜひご活用ください。

スライドの内容が参考になったら、後で見返せるように【保存】をお願いします！
詳細な文献やエビデンスはプロフィールのNoteリンクからご覧いただけます。

#獣医 #動物救急 #整形外科 #膝蓋骨脱臼 #パテラ #獣医学 #動物病院 #小動物臨床"
