スライド番号,役割,テキスト
1枚目,表紙,"術中輸液、とりあえず
「10 mL/kg/hr」で流していませんか？
最新AAHAガイドライン（2024）が示す過剰輸液の害"
2枚目,結論,"【結論】10 mL/kg/hrの時代は終わった
2024 AAHAガイドライン推奨（初期速度）
・犬：5 mL/kg/hr
・猫：3-5 mL/kg/hr

従来の10 mL/kg/hrは過剰輸液（Fluid Overload）のリスク大。
特に猫の短時間手術（避妊など）は3 mL/kg/hrで十分であり、術後の肺水腫を予防できる。"
3枚目,輸液剤の選択と術前評価,"【輸液剤の選択】生理食塩水は第一選択ではない
× 旧来：生理食塩水も可
◯ 最新：平衡晶質液（乳酸リンゲル液・酢酸リンゲル液）

「輸液は薬剤」であるという認識を。
猫、MMVD（犬）、CKD/AKIなどの高リスク群では、容量負荷による肺水腫リスクが高いためさらに低速から開始する。"
4枚目,術中低血圧への対応①,"【術中低血圧】「とりあえず全開」はもうやめよう
介入トリガー：MAP < 60 mmHg または 収縮期血圧 < 80 mmHg

Step 1：麻酔深度の確認
・吸入麻酔薬を25-50%減量（最も多い原因は「過深麻酔」による血管拡張）
・同時にオピオイドCRIを増量し鎮痛を維持"
5枚目,術中低血圧への対応②,"Step 2：輸液ボーラス（Fluid Responsivenessの評価）
・犬：5-10 mL/kg IV (短時間投与)
・猫：1-3 mL/kg IV (ボーラスも控えめに)

投与後5-10分で血圧の反応を評価。
改善しないのに漫然と全開にするのはNG。不要な大量輸液は血管透過性を亢進させ、組織浮腫の悪循環を招く。"
6枚目,術中低血圧への対応③,"Step 3：昇圧薬への移行
ボーラスに反応しない場合は、循環血液量不足ではない可能性が高い。速やかに昇圧薬を選択する。

・エフェドリン：0.05-0.2 mg/kg IV（即効性）
・ドパミンCRI：2-10 μg/kg/min
・ドブタミンCRI：2-10 μg/kg/min
・ノルエピネフリンCRI：0.1-1 μg/kg/min"
7枚目,過剰輸液の早期発見,"【過剰輸液のサイン】Chemosisを見逃すな
・結膜浮腫（Chemosis）：眼球結膜の腫脹。術中に最も早く気づけるサイン。麻酔中は定期的に眼を確認。
・漿液性鼻汁：肺水腫の初期徴候。
・体重増加：術前後で+10%超は過剰輸液を強く示唆。
・希釈性凝固障害：術創からの持続的出血。"
8枚目,術後の輸液管理,"【術後管理】「とりあえず維持量」を卒業する
・待機手術で早期に飲水・摂食が可能なら、術後のルーチンIVは必須ではない。
・術後継続が必要な場合は「脱水量＋維持量＋進行中の喪失」を個別計算する。
・明確な目標と中止基準を設定する。
・尿量（目標1-2 mL/kg/hr）と体重（6-12時間ごと）をモニタリングし、飲水できれば速やかに中止。"
9枚目,まとめ,"【本記事の要点】
① 術中の初期速度は「犬5 mL/kg/hr、猫3-5 mL/kg/hr」。従来の10 mL/kg/hrは多すぎる。
② 低血圧時の「とりあえず全開」は禁忌。麻酔深度確認 → ボーラス → 昇圧薬 の段階的アプローチを。
③ 過剰輸液の早期サインとして、術中は「結膜浮腫（Chemosis）」を定期的に確認する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「とりあえず10mL/kg/hrで流しておいて」
臨床現場でよく聞くこの指示、実は2024年のAAHAガイドラインではすでに「過剰輸液のリスクが高い」と警鐘が鳴らされています。

特に循環血液量が少ない猫や、MMVD、CKDなどの基礎疾患を持つ患者にとって、不必要な大量輸液は致命的な肺水腫を招く原因になり得ます。
また、術中低血圧に対して「輸液を全開にする」アプローチも推奨されていません。

今回は、最新のガイドラインに基づく周術期の適切な輸液速度、低血圧への段階的アプローチ、そして過剰輸液の初期サイン（Chemosisなど）についてスライドにまとめました。

日々の麻酔管理・周術期管理のアップデートにぜひご活用ください。
スライド右下のマークから【保存】しておくと、院内での共有や手術前のご確認に便利です🔖

詳細なエビデンスや飼い主様への説明ガイドは、プロフィールのリンク（Note）からご覧いただけます！

#獣医 #動物救急 #麻酔管理 #周術期管理 #輸液治療 #獣医学 #動物病院 #臨床獣医学"
