スライド番号,役割,テキスト
1枚目,表紙,"猫の行動学
── 不適切排泄・攻撃性の医学的原因
「問題行動」の30〜50%に
医学的疾患が隠れている"
2枚目,結論,"【結論】
■ 「問題行動」の30〜50%に医学的疾患が存在
■ 行動修正の前に身体的スクリーニングが必須
■ 不適切排泄の最多原因はトイレ環境の不適切さ
■ OA・FLUTD・甲状腺機能亢進症も重要な原因
■ 重度の不安には
 フルオキセチン（SSRI）やガバペンチンにエビデンスあり"
3枚目,医学的原因の表,"【行動変化を引き起こす医学的疾患】

■ トイレ以外での排尿
 → FLUTD/FIC, UTI（高齢猫）, 糖尿病, CKD, 甲状腺機能亢進症

■ トイレ以外での排便
 → 変形性関節症（OA）, 便秘, IBD, 巨大結腸症

■ 突然の攻撃性
 → 疼痛（OA, 口内炎）, 甲状腺機能亢進症, 神経疾患

■ 過度のグルーミング
 → 疼痛, 皮膚疾患, アレルギー, FIC"
4枚目,トイレ環境,"【不適切排泄の最多原因 ─ トイレ環境】

■ 数: 猫の数＋1（鉄則）
■ 場所: 静かで安全にアクセスできる場所
■ 猫砂: 無香料で細かい砂質（香りは忌避因子！）
■ 形状: フード付きよりオープン型を好む猫が多い
■ 清掃: 毎日1回以上スクーピング＋週1回全砂交換

⚠️ スプレー行動（垂直面へのマーキング）とは別の問題"
5枚目,攻撃性の分類,"【攻撃性 ─ 5つのタイプ】

■ 恐怖性: 追い詰められた時 → 逃走経路を確保
■ 転嫁性: 外猫に興奮→近くの人/猫を攻撃 → 刺激遮断
■ 遊び攻撃: 若齢猫、手足がターゲット → おもちゃで遊ぶ
■ 疼痛性: 特定部位で攻撃 → 原因の特定と治療
■ 愛撫誘発性: 撫でて突然噛む → ボディランゲージ読解"
6枚目,AAFPの5つの柱,"【AAFPの5つの柱 ─ 環境エンリッチメント】

① 安全で快適な場所の提供（専用の隠れ家・寝場所）
② 複数で十分な資源（フード・水・トイレ・寝場所は頭数＋1）
③ 遊びと捕食行動の機会（1日最低15分のインタラクティブな遊び）
④ ヒトとのポジティブで一貫した関わり（猫のペースに合わせる）
⑤ 嗅覚的環境の尊重（急な芳香剤の変更を避ける、フェリウェイ活用）"
7枚目,薬物療法,"【薬物療法 ─ 環境改善と併用する補助手段】

■ フルオキセチン（SSRI）
 ・0.5-1.0 mg/kg PO q24h
 ・スプレー行動・汎化不安にエビデンス最多
 ・効果発現まで4-6週間

■ ガバペンチン
 ・5-10 mg/kg PO q8-12h
 ・来院時の不安軽減に有効
 ・慢性疼痛管理にも注目

■ トラゾドン
 ・急性ストレス（来院・引っ越し）に

⚠️ 薬物のみでの行動問題解決は不可能
 → 環境改善・行動修正と必ず併用"
8枚目,飼い主説明,"【飼い主への説明ガイド】

Q.「粗相をするので叱っているのですが…」
A.「猫は叱られている理由を理解できず、恐怖心が増して悪化します。まずトイレ環境を見直し、体の痛みや病気がないか検査させてください」

Q.「精神安定剤は副作用が心配です」
A.「環境改善だけでは治まらない深刻な不安に対して使用するもので、適切な量であれば安全性が確認されています。まず環境改善から始めて、必要に応じて薬を追加検討します」"
9枚目,まとめ,"【本記事の要点】

① 問題行動の30-50%に医学的疾患が存在 → 身体的スクリーニング必須
② 不適切排泄の最多原因はトイレ環境。猫砂は無香料の細かい砂質を
③ 攻撃性は5タイプに分類。疼痛性は医学的治療が必要
④ 重度の不安にはフルオキセチン、短期ストレスにはガバペンチン"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「うちの猫がトイレ以外で粗相をして困る」── こう訴える飼い主さん、本当に多いですよね🐱

でもその「問題行動」、実は30〜50%のケースで背後に医学的疾患が隠れています。FLUTD/FICの若齢猫、OAでトイレを跨げない高齢猫、甲状腺機能亢進症による多飲多尿── 行動修正を始める前に、まず身体的スクリーニングが必須です🔍

そして最も多い原因は意外にもシンプル。トイレ環境の不適切さです。無香料の細かい砂質、猫数＋1のトイレ数、毎日のスクーピング── これだけで劇的に改善するケースも少なくありません🏠

攻撃性の分類（恐怖性、転嫁性、遊び攻撃、疼痛性、愛撫誘発性）から、AAFPの5つの柱、薬物療法の選択基準まで、スライドで整理しました。ぜひ【保存】してください🔖
詳細なエビデンスと6本の論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #猫の行動学 #不適切排泄 #AAFP #動物病院"
