スライド番号,役割,テキスト
1枚目,表紙,"とりあえず「60mL/kg/日」で維持輸液、していませんか？
過剰輸液のリスクと2024 AAHA最新ガイドライン"
2枚目,結論,"【結論】維持輸液の常識は「Less is More」へ
従来の「1日の維持量＝60mL/kg/日」をルーチン化すると、小型犬や猫では過剰輸液のリスクが高まります。

2024 AAHAガイドラインの推奨出発点
🐶 犬：約 2〜3 mL/kg/h
🐱 猫：約 2 mL/kg/h

「入れたら入れた分だけ良い」のではなく、
少なめに始めてこまめに再評価するのが現在の標準です。"
3枚目,輸液の3つの目的を明確に分ける,"脱水補正と維持輸液は別々に計算し、合算して投与速度を決定します。

①蘇生輸液（ショックの改善）
・犬 15〜20 mL/kg / 15〜20分 ボーラス
・猫 10〜15 mL/kg / 15〜20分 ボーラス

②脱水補正（既存の脱水の是正）
・体重(kg) × 脱水率(%) × 10 = 補正量(mL)
・6〜24時間かけて補正

③維持輸液（正常な水分バランス維持）
・犬 2〜3 mL/kg/h
・猫 約2 mL/kg/h"
4枚目,維持輸液速度 クイックリファレンス,"出発点となる投与速度の目安（※心疾患や腎疾患がある場合はさらに低速から）

・3kg（小型犬・猫）： 6〜9 mL/h（猫は6 mL/h）
・5kg（小型犬・猫）： 10〜15 mL/h（猫は10 mL/h）
・10kg（中型犬）： 20〜30 mL/h
・20kg（中〜大型犬）： 40〜60 mL/h
・30kg（大型犬）： 60〜90 mL/h

⚠️ 3kgの猫に「60mL/kg/日」を設定すると180mL/日（7.5mL/h）となり、明らかに過剰です。"
5枚目,なぜ猫は過剰輸液に弱いのか？,"猫は犬に比べて容量負荷（Volume overload）に極めて脆弱です。

・循環血液量が少ない
猫：約55〜60 mL/kg （犬は約80〜90 mL/kg）
・潜在的な心疾患リスク
猫の約15〜20%に未診断のHCM（肥大型心筋症）が潜在。輸液で一気に肺水腫に陥るリスクあり。
・代謝率の違い
犬より体表面積あたりの代謝率が低く、同じmL/kg/hでも相対的に過剰になりやすい。

※猫の輸液は必ず輸液ポンプを使用すること。"
6枚目,過剰輸液の徴候 ─ 見逃してはいけないサイン,"体液過剰は死亡率を上昇させます。早期発見が鍵です。

⭐⭐⭐ 最も早期の指標
・呼吸数の増加（安静時 > 40回/分）
・湿性ラ音（胸部聴診）
・漿液性鼻汁（重度肺水腫のサイン）

⭐⭐ 客観的指標と遅発徴候
・体重増加（入院時から10%以上の増加）
・結膜浮腫（ケモーシス）
・四肢の浮腫（遅れて出現）

💡 輸液中の患者は2〜4時間ごとに呼吸数を測定する習慣を。"
7枚目,過剰輸液の合併症とレスキュー対応,"過剰輸液は全身の浮腫を引き起こします。
・肺水腫（呼吸困難・酸素化低下）
・消化管浮腫（嘔吐・下痢・イレウス）
・創傷治癒遅延（組織浮腫による血流低下）

🚨 過剰輸液に気づいた時の対応
① 即座に輸液速度を半減 または 中止
② フロセミド 1〜2 mg/kg IV を検討（重度の場合）
③ 呼吸状態の厳重なモニタリング"
8枚目,再評価と調整 ─ いつ速度を変えるか,"「輸液を止め忘れる」ことが過剰輸液の最大の原因です。
基本は【4〜6時間ごと】に再評価を行います。

・脱水所見が継続、乏尿
　→ 速度を 25〜50% 増加
・嘔吐/下痢による持続的喪失
　→ 維持量 ＋ 推定喪失量 を加算
・脱水所見改善、飲水可能
　→ 速度を 減速 または 中止検討
・呼吸数増加、体重増加>5%
　→ 即座に 減速 または 中止"
9枚目,まとめ,"本記事の要点

① 維持輸液量は「犬 2〜3 mL/kg/h、猫 約2 mL/kg/h」を出発点とし、個別に調整する。
② 「60mL/kg/日」のルーチン設定は、小型犬や猫において過剰輸液を引き起こすリスクが高い。
③ 過剰輸液の最早期サインは「呼吸数の増加」。4〜6時間ごとの再評価と、不要になった時点での即時中止を徹底する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
「入院したら、とりあえず点滴で安心」
そのルーチン設定が、かえって患者を苦しめているかもしれません。

今回は、2024年のAAHAガイドラインに基づく「維持輸液の最新の考え方」と「過剰輸液のリスク」についてまとめました。

かつて広く使われていた「1日の維持量＝60mL/kg/日」という概算は、主に中〜大型犬向けの数値であり、小型犬や猫にそのまま当てはめると過剰輸液の大きな原因となります。特に猫は循環血液量が少なく、未診断の心疾患が隠れている割合も高いため、輸液の負荷に対して極めて脆弱です。

現代の維持輸液は「less is more」。
犬は2〜3mL/kg/h、猫は約2mL/kg/hから控えめに開始し、4〜6時間ごとに呼吸数や体重をモニタリングしながら微調整していくアプローチが推奨されています。

輸液の止め忘れや漫然とした投与を防ぎ、より安全な入院管理を行うための参考として、ぜひスライドを保存して日々の診療にお役立てください。
詳細な解説やガイドラインの参照元については、プロフィールのNoteリンクから確認できます🩺

#獣医 #動物救急 #小動物臨床 #動物病院 #輸液 #臨床獣医 #エビデンスに基づく獣医療"
