スライド番号,役割,テキスト
1枚目,表紙,"出血している犬のITP
初日からのビンクリスチン、もう試しましたか？
〜ACVIM 2024に基づく診断と治療戦略〜"
2枚目,結論,"犬のITP 治療アルゴリズム
・PLT ＜ 20,000/μL（塗抹で確認）でITPを強く疑う
・臨床的な出血あり：
　プレドニゾロン ＋ ビンクリスチン（初日投与）
・臨床的な出血なし：
　プレドニゾロン単独
・目標達成（PLT ≥ 100,000）で慎重な減薬開始"
3枚目,解説・データ,"昔の常識 vs 今のエビデンス
❌ 診断にはまず骨髄検査
✅ 骨髄検査は必須ではない（治療反応不良時等に検討）

❌ ビンクリスチンは最終手段
✅ 出血があれば「初日から推奨」（血小板回復を加速）

❌ 初期のPLT数が低いと予後不良
✅ 初期の数値は予後予測因子にならない。治療反応で判断。"
4枚目,解説・データ,"ITP診断の要点（血小板数の解釈）
・＜20,000/μL：ITPを強く支持（即治療＋原因検索）
・20,000〜50,000/μL：ITPの可能性あり（他原因も要検討）
・50,000〜100,000/μL：原発性単独としてはやや高い
（DIC、感染、腫瘍、薬剤などの二次性を積極除外）

⚠️ 重要：自動血球計算器の数値は必ず「血液塗抹」で確認。凝集による偽低値を除外すること。"
5枚目,解説・データ,"治療プロトコル：第一選択薬
◆ プレドニゾロン
・用量：2mg/kg/日 PO（分1〜2）
・効果：通常3〜7日でPLT上昇
・消化器症状があればオメプラゾール 1mg/kg PO BID 併用を

◆ ビンクリスチン（臨床的出血がある場合）
・用量：0.02mg/kg IV 単回（slow push or 短時間CRI）
・効果：投与48〜72時間後からPLT上昇。入院日数を有意に短縮。"
6枚目,解説・データ,"ビンクリスチン投与時の絶対注意
⚠️ ABCB1（MDR1）変異犬種には「禁忌」
コリー、シェルティ、ボーダーコリー、オーストラリアンシェパード等は事前に品種・遺伝子確認を。

⚠️ 投与ルート
血管外漏出は重篤な組織壊死を引き起こすため、確実に静脈内（IV）に投与すること。"
7枚目,解説・データ,"第2免疫抑制薬の追加タイミング
以下の場合は、ミコフェノール酸モフェチル（MMF）等の追加を検討します。
・プレドニゾロンに5〜7日で反応しない
・ステロイドの副作用が重篤
・減薬中に再発した
・💡体重25kg以上の大型犬
（早期のMMF追加でステロイド減量を加速する戦略が推奨）
※MMF：10〜20mg/kg PO BID"
8枚目,解説・データ,"ステロイド減薬の原則
🎯 ゴール：PLT ≥ 100,000/μL が2〜4週間安定してから開始。
・ペース：2〜4週ごとに「25%ずつ漸減」。
・完全離脱まで通常3〜6ヶ月を要する（急な減量は再発リスク大）。
・減薬ごとに1〜2週後にCBC再評価。
・再発率：約20〜30%（再発時は初回プロトコルに戻す）。"
9枚目,まとめ,"本記事の要点
1️⃣ ITP診断はPLT＜2万と塗抹確認。初期の骨髄検査は必須ではない。
2️⃣ 有意な出血がある場合、初日からプレドニゾロン＋ビンクリスチンIVを併用（ABCB1変異に注意）。
3️⃣ 減薬はPLT 10万以上が安定してから、2〜4週ごとに25%ずつ慎重に行う。"
10枚目,読者へのアクション・誘導,"詳細な二次性ITPの鑑別リストや論文リンクは、プロフのNoteにて公開中です。
診察室でアルゴリズムや用量をすぐ見返せるよう、この投稿の【保存】を推奨します。

=== キャプション（投稿文） ===
「犬のITP、出血している症例にビンクリスチンはいつ使っていますか？」

ACVIM 2024のコンセンサスステートメントにより、犬の免疫介在性血小板減少症（ITP）の診断と治療戦略がアップデートされています。

かつては「ビンクリスチンはステロイドに反応しない場合の最終手段」とされることもありましたが、最新のエビデンスでは【臨床的な出血がある場合は初日からの併用】が推奨されています。これにより、血小板の回復を加速し、入院日数を有意に短縮することが可能です。

また、診断においても「初手からの骨髄検査」は必須ではなく、まずは塗抹検査での偽性血小板減少の除外が最優先とされています。

本投稿では、明日からの臨床ですぐに使えるよう、診断のカットオフ、プレドニゾロンとビンクリスチンの具体的な投与プロトコル、第2免疫抑制薬（ミコフェノール酸モフェチル等）の導入基準、そして慎重な減薬ステップをまとめました。

⚠️ABCB1変異犬種へのビンクリスチン禁忌など、絶対に見落とせない注意点も記載しています。

詳細な二次性ITPの鑑別ワークアップや各薬剤の副作用、飼い主様への説明ガイド、参照論文のリンクはプロフィールのNoteからご確認ください。
いざという時にすぐ見返せるよう、右下のボタンから【保存】をおすすめします🔖

#獣医 #動物救急 #獣医学 #小動物臨床 #獣医療 #血液内科 #犬のITP #動物病院"
