スライド番号,役割,テキスト
1枚目,表紙,"猫の頻尿・血尿、本当に抗菌薬で解決していますか？
【猫の特発性膀胱炎（FIC）】
ストレス管理を含む最新治療の原則"
2枚目,結論,"FIC診断・治療の4大原則
1.  FICは細菌感染ではない → 抗菌薬は無効。
2.  MEMO（多面的環境改善）が治療の根幹。
3.  完全ウェットフードで尿比重低下 → 再発抑制。
4.  急性期疼痛管理はブプレノルフィン/ガバペンチン。"
3枚目,FICとは？,"FICとは？─ 複合病態を理解する
-   猫の下部尿路疾患（FLUTD）の最大原因
    -   若齢〜中齢猫の60〜75%を占める
-   単一原因は特定されず、以下の相互作用が関与:
    -   ストレス応答系の異常（HPA軸過活動）
    -   膀胱粘膜のグリコサミノグリカン（GAG）層の欠損
    -   神経性炎症
-   診断は「除外診断」が基本"
4枚目,診断のポイント,"除外診断を徹底する
以下を確実に除外
1.  **細菌性膀胱炎**: 膀胱穿刺による定量培養で除外。
    -   10歳未満の猫では稀。
2.  **尿石症**: X線・超音波検査で結石を除外。
3.  **尿道閉塞**: 雄猫で特に注意。触診と超音波で膀胱の緊満を評価。
4.  **腫瘍**: 高齢猫で考慮。超音波で膀胱壁の腫瘤性病変を評価。
-   **尿検査所見**: 血尿・蛋白尿が認められるが、尿培養は陰性（無菌性）がFICの特徴。"
5枚目,MEMO: 環境エンリッチメント,"治療の核心：MEMO（Multimodal Environmental Modification）
─ 最もエビデンスが強い介入
1.  **トイレ環境の最適化**
    -   数: 猫の数＋1個
    -   場所: 静かで安全、容易にアクセス可能
    -   猫砂: 無香料で細かい砂質を好む
    -   清掃頻度: 毎日のスクーピング、週1回の全交換
2.  **生活空間のエンリッチメント**
    -   垂直スペース（キャットタワー、棚）、隠れ家（段ボール箱）の確保
    -   遊びの時間（1日15分以上）の確保
    -   多頭飼育: 各猫にそれぞれの資源（フード皿、水皿、トイレ、寝場所）を確保
3.  **フェロモン療法**
    -   フェリウェイなどの合成フェイシャルフェロモン（F3）拡散型プラグインが有効とされる。"
6枚目,食事管理,"再発予防の鍵：水分摂取の増加
─ 環境改善と並んで最重要
-   **完全ウェットフードへの変更**（水分含有量70%以上）
    -   尿比重が低下し、膀胱粘膜への刺激性物質の濃度が下がる
    -   再発率の有意な低下が報告
-   ドライフードのみの場合
    -   流水式の水飲み器の導入
    -   フードへの加水で摂取量を増加
-   療法食（下部尿路疾患用）の使用は補助的手段。食事変更だけでMEMOの代替にはならない。"
7枚目,薬物療法：急性期,"急性期疼痛管理の選択肢
─ 補助的な位置づけ
-   **ブプレノルフィン**
    -   0.01-0.02 mg/kg 口腔粘膜投与 q6-8h
-   **ガバペンチン**
    -   5-10 mg/kg PO q12h
-   **NSAIDs**: 有効性は示されていない。
-   **抗菌薬**: 無菌性のFICに対する抗菌薬投与は無効であり、推奨されない。"
8枚目,薬物療法：慢性・その他,"慢性期・補助的薬物療法
-   **アミトリプチリン**（三環系抗うつ薬）
    -   慢性再発例で検討されるが、第一選択ではない。
    -   抗コリン作用による副作用リスク、MEMOが不十分な症例では効果なしに留意。
-   **グリコサミノグリカン（GAG）製剤**
    -   経口GAG補充（N-acetyl glucosamine等）の有効性は、現時点でプラセボを上回るエビデンスが乏しい。
-   **抗菌薬**: 無菌性のFICには絶対に使用しない。"
9枚目,まとめ,"FIC治療の要点3つ
1.  抗菌薬は不要！FICは細菌感染ではなく、ストレス管理とMEMO（環境改善）が根本治療。
2.  水分摂取量アップ（完全ウェットフード推奨）で尿比重を下げ、再発率を抑制する。
3.  急性期の疼痛管理にはブプレノルフィンまたはガバペンチンを選択。NSAIDsや抗菌薬は非推奨。"
10枚目,読者へのアクション・誘導,"【保存推奨】診察ですぐ見返せる！
詳細なエビデンスと論文リンクはプロフのNoteにて公開中！
あなたの臨床に、最新の知見を。

=== キャプション（投稿文） ===
【猫の特発性膀胱炎（FIC）】
「膀胱炎だから抗菌薬」その診断、本当に合っていますか？

猫の頻尿や血尿、不適切排泄の多くは、実は細菌感染ではなく「特発性膀胱炎（FIC）」が原因です。若齢〜中齢猫の実に60〜75%がFICに分類されるというデータもあります。

今回の投稿では、FICの最新治療とストレス管理の重要性について、臨床経験2〜3年目以上の獣医師の先生方向けに詳しく解説します。

FICの治療の根幹は、多面的環境改善（MEMO）と水分摂取量の増加。抗菌薬は無効であるだけでなく、不要な耐性菌のリスクを高める可能性もあります。

✔️ FICは除外診断が基本
✔️ MEMOが治療の核心
✔️ 完全ウェットフードが再発予防に有効
✔️ 急性期疼痛管理はブプレノルフィン・ガバペンチン

日々の診察で「またFICかな…」と感じる症例があれば、ぜひこの投稿を参考に、治療アプローチを見直してみてください。

詳細なエビデンスや参照論文は、プロフィールのリンク（Note）からご確認いただけます。
診察ですぐに役立つ情報なので、ぜひ【保存】してご活用ください！

#獣医 #動物救急 #猫の病気 #猫の膀胱炎 #FIC #下部尿路疾患 #MEMO #環境エンリッチメント #最新治療"
