スライド番号,役割,テキスト
1枚目,表紙,"🚨 その輸血、本当に最適解？
─ 一般病院で安全に実施するためのベストプラクティス"
2枚目,結論,"輸血のベストプラクティス要点
1.  **輸血トリガー**: PCVだけでなく臨床徴候（頻脈、虚脱、乳酸値）を総合判断。
    *   急性出血: PCV < 20%
    *   慢性貧血: PCV < 12〜15% + 臨床徴候
2.  **投与量概算**:
    *   全血: 2 mL/kg でPCV 約1%↑
    *   充填赤血球 (pRBC): 1 mL/kg でPCV 約1%↑
3.  **投与速度**: 初回15〜30分は 0.25〜0.5 mL/kg/hr でゆっくり開始。
4.  **猫の輸血**: 初回でも血液型判定＋クロスマッチが必須！"
3枚目,解説,"❌旧来 vs ✅最新 ─ 輸血判断とクロスマッチの常識
| ❌旧来の常識 | ✅最新のエビデンス |
|---|---|
| PCV 20%で即輸血 | PCVと**臨床徴候（頻脈・虚脱・乳酸値）**で総合判断。慢性貧血はPCV 12%でも安定することも。 |
| 犬の初回輸血はクロスマッチ不要 | DEA 1.1陰性血が使えない場合や輸血歴不明時は、**初回でもメジャークロスマッチを推奨。** |
| 猫も初回は型判定なしでOK | 猫は**自然抗体**を持つため、初回でも致死的反応リスクあり。**型判定＋クロスマッチ必須。** |"
4枚目,解説,"輸血トリガーの見極め方 ─ PCV以外の重要指標
*   **PCV（急性出血）**: < 20%
*   **PCV（慢性貧血）**: < 12〜15% かつ臨床徴候あり
*   **血中乳酸値**: > 2.5 mmol/L（組織低酸素の客観的指標）
*   **HR（心拍数）**: 安静時の予測値を著しく超える頻脈
*   **臨床徴候**: 虚脱、起立不能、粘膜蒼白、CRT延長

💡 **臨床Tips**:
急性出血の初期はPCV正常値を示すことも。
体液補正（晶質液投与）後のPCV急低下は想定内。"
5枚目,解説,"輸血量の計算 ─ 全血とpRBCの使い分け
*   **全血の場合**:
    `投与量(mL) = 90(犬) or 66(猫) × 体重(kg) × [(目標PCV − レシピエントPCV) ÷ ドナーPCV]`
*   **簡易概算**:
    *   **全血 (WB)**: 2 mL/kg で PCV 約1%↑
    *   **充填赤血球 (pRBC)**: 1 mL/kg で PCV 約1%↑

例: 10 kgの犬、PCV 12% → 目標20%とすると、全血なら 10 kg × 8 × 2 = 160 mL"
6枚目,解説,"輸血速度プロトコル ─ 副反応早期発見と緊急時の対応
*   **最初の15〜30分**: 0.25〜0.5 mL/kg/hr
    *   目的: 副反応（発熱・蕁麻疹・溶血）の早期検出
*   **安定確認後**: 2〜5 mL/kg/hr
    *   目的: 通常の維持投与
*   **緊急時（活動性出血）**: 最大 10〜20 mL/kg/hr
    *   ⚠️ **循環血液量過多に厳重注意**。特に猫・心疾患既往例は慎重に。
*   **原則**: すべての輸血は**4時間以内**に完了させる。"
7枚目,解説,"輸血中のモニタリング項目 ─ どこを見るべきか
*   **体温**: 15分ごと → 安定後30分ごと
    *   **1℃以上の上昇**で一旦停止・評価
*   **HR, RR**: 同上
    *   頻脈・頻呼吸は副反応の初期徴候
*   **尿の色**: 投与開始30分後にチェック
    *   血色素尿 → 溶血反応
*   **粘膜色・CRT**: 投与前 → 投与中 → 投与後
    *   改善の経過を客観的に記録
*   **PCV/TP**: 輸血前 → 投与後1時間 → 翌日
    *   輸血効果の定量的評価"
8枚目,解説,"🚨猫の輸血は別物！致死的反応を避けるために
*   **血液型**: A型（最多）、B型、AB型。純血種（ブリティッシュショートヘア、デボンレックス等）はB型が20〜50%も。
*   **致死的反応**: B型猫は強力な抗A抗体を自然に保有。**A型血を少量（1mL未満でも！）輸血すると致死的な急性溶血反応**。
*   **必須手順**: **血液型判定＋メジャー/マイナークロスマッチの両方**を必ず実施。「初回だから大丈夫」は猫には当てはまらない。
*   **投与速度**: 犬の半分以下を目安。循環血液量過多に注意（特に心疾患合併例）。"
9枚目,まとめ,"まとめ ─ 輸血のベストプラクティス
1.  **輸血判断**: PCVだけでなく、**臨床徴候と乳酸値**を総合して判断する。急性出血初期のPCV正常値に注意。
2.  **猫の輸血**: 初回であっても**血液型判定とクロスマッチは必須**。B型猫へのA型血輸血は致死的。
3.  **モニタリング**: 投与開始15〜30分は特に慎重に**体温・HR・RR**をモニタリングし、副反応を早期発見・対処する。"
10枚目,読者へのアクション・誘導,"「この知識、明日の診察で役立ちます」

輸血プロトコルの詳細、エビデンスと論文リンクはプロフのNoteにて公開中。

診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
【🚨緊急搬送！PCV 15%の犬、あなたならどうする？】
輸血は救急・重症患者管理において欠かせない治療法ですが、その判断基準やプロトコルは常に進化しています。特に「PCV 20%を切ったら即輸血」という旧来の常識は、今や見直されるべきフェーズに入っています。

この投稿では、臨床経験2〜3年目以上の獣医師の皆さんが、日々の診療で輸血を安全かつ効果的に実施できるよう、最新のエビデンスに基づいたベストプラクティスをまとめました。

スライドで解説するポイントは以下の通りです。
✅ 輸血開始のトリガーはPCVだけでなく「臨床徴候（頻脈、虚脱、乳酸値上昇）」も総合的に判断する。急性出血初期のPCV正常値には要注意。
✅ 犬の初回輸血でも、DEA 1.1陰性血が使えない場合や輸血歴不明時はメジャークロスマッチを推奨。
✅ 猫の輸血は犬とは全く異なります。初回であっても血液型判定とクロスマッチは「必須」。B型猫へのA型血輸血は致死的な急性溶血反応を引き起こします。
✅ 投与速度プロトコルと副反応モニタリングの重要性。特に最初の15〜30分は慎重に。

輸血は命を救う治療である一方、リスクも伴います。適切な判断とプロトコルで、より多くの命を救いましょう。

詳細なエビデンスや参照論文は、プロフィールのリンクからNoteでご確認いただけます。
診察ですぐ見返せるよう、ぜひ【保存】してご活用ください。

#獣医 #動物救急 #輸血 #犬の輸血 #猫の輸血 #輸血療法 #血液型判定 #クロスマッチ"
