スライド番号,役割,テキスト
1枚目,表紙,"犬の慢性腸症（CE）
── 2025年最新「診断カスケード」の実践
「とりあえず抗菌薬」はもう終わり。
段階的アプローチで約8割がコントロール可能。"
2枚目,結論,"【結論】
■ CE犬の50〜65%は食事反応性腸症（FRE）
 → 加水分解食 or 新奇タンパク食が第一選択
■ 抗菌薬のルーティン使用はACVIM 2025で非推奨
 → Dysbiosisを悪化させる
■ 内視鏡生検は食事に反応しない症例のみ
■ PLEなしCEの長期コントロール率 = 80%以上"
3枚目,昔の常識 vs 今,"⚡ 昔の常識 vs 今のエビデンス

| ❌ 旧来の常識 | ✅ 最新のエビデンス |
|---|---|
| 下痢にはメトロニダゾールを処方 | 抗菌薬のルーティン使用は**非推奨**（ACVIM 2025） |
| 食事が効かなければすぐステロイド | ステロイド前に**別の種類の食事**を試す |
| FRE→ARE→SREの順に分類 | AREは衰退。**MrMRE**（微生物叢関連変調）の概念へ |"
4枚目,診断基準と重要な数値,"【診断基準と重要な数値】

| 項目 | 基準・数値 |
|------|-----------|
| CE定義 | **3週間以上**の消化器症状（除外診断） |
| FREの割合 | CE犬の**約50〜65%** |
| 食事試験期間 | **2〜4週間**（皮膚症状あれば最大12週） |
| PLE重症度指標 | 血清Alb **< 2.0 g/dL** |
| PLEなしCEのコントロール率 | **80%以上** |"
5枚目,診断カスケード Step 1-2,"【最新CEアプローチ・カスケード①】

■ **Step 1: 食事試験**
 ・加水分解食 or 新奇タンパク食へ完全切り替え
 ・おやつ・歯磨きガム含め一切中止
 ・**2〜4週間で評価**
 ・改善 → 継続 / 不変 → Step 2へ

■ **Step 2: 2回目の食事試験**
 ・別パターンの治療食を試す
 ・プロバイオティクス併用も推奨
 ・改善 → 継続 / 不変 → Step 3へ

💡 「1回の食事試験で諦めない」がポイント"
6枚目,診断カスケード Step 3-4,"【最新CEアプローチ・カスケード②】

■ **Step 3: 内視鏡・生検**
 ・免疫抑制薬開始前に必ず実施
 ・リンパ腫等の除外が目的
 ・IBD（IRE）の確定診断
 ・リンパ管拡張 → 低脂肪食徹底

■ **Step 4: 免疫抑制療法**
 ・プレドニゾロン **1〜2 mg/kg/day**で開始
 ・2〜4週ごとにCIBDAI・アルブミン監視
 ・最低用量へ漸減

■ **Step 4+: ステロイド抵抗性**
 ・シクロスポリン **5 mg/kg SID**
 ・or クロラムブシル併用"
7枚目,抗菌薬の衰退とMrMRE,"【🛑 「とりあえず抗菌薬」はもう終わり】

■ ACVIM 2025の見解
 ・抗菌薬のルーティン使用は **非推奨**
 ・安易な投与 → 耐性菌 + Dysbiosis悪化

■ 新しい潮流: MrMRE（微生物叢関連変調）
 ・プロバイオティクス
 ・プレバイオティクス / シンバイオティクス
 ・**FMT（糞便微生物移植）**

■ やむを得ず使用する場合
 ・タイロシン 10〜20 mg/kg BID
 ・メトロニダゾール 10〜15 mg/kg BID
 ⚠️ 長期投与は非推奨"
8枚目,飼い主への説明ガイド,"【飼い主への説明ガイド】

Q.「いつもの下痢止め（抗生剤）をください」
A.「最新のガイドラインでは、そのお薬を使い続けると腸の中の『良い菌』まで殺してしまい、将来的に治りにくい頑固な腸炎をつくることがわかっています。まず食事を変えることが最も安全で、治る確率も約60〜80%と一番高い治療法です」

Q.「食事療法はどのくらいで効きますか？」
A.「多くの場合2〜4週間で効果判定ができます。この間はフード以外のもの──おやつ、人の食べ物、歯磨きガムも含めて──一切あげないことが重要です」

Q.「アルブミンが低いと言われました」
A.「腸が炎症で傷ついていると大事なタンパク質が漏れ出てしまいます。お腹に水が溜まったり血栓のリスクが上がるため、通常よりも積極的な治療が必要です」"
9枚目,まとめ,"【本記事の要点】

① CE犬の50〜65%はFRE。食事試験が第一選択
② 「とりあえずメトロニダゾール」はACVIM 2025で非推奨
③ 食事に反応しない場合のみ内視鏡生検へ進む
④ PLEなしCEの長期コントロール率は80%以上"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
慢性の下痢で来院する犬。「とりあえずメトロニダゾールを出しておこう」── そんな対応、まだしていませんか？🩺

2025年のACVIM Consensus Statementは、抗菌薬のルーティン使用を明確に非推奨としました。理由は、腸内細菌叢のDysbiosisを悪化させ、長期的に治りにくい腸炎を作ってしまうから。

実はCE犬の50〜65%は「食事反応性腸症（FRE）」── 加水分解食や新奇タンパク食への切り替えだけで改善するのです。

今回の投稿では、最新の「診断カスケード」を段階的に整理しました。

✅ まず食事試験（2〜4週間）→ 2回目の食事試験
✅ 反応しなければ内視鏡生検（リンパ腫除外）
✅ 免疫抑制療法はステップ4

PLEを伴わないCEなら80%以上が長期コントロール可能。正しい順番で、正しいアプローチを。

この知識が明日の診察で役立つことを願っています。ぜひ【保存】してください🔖
詳細なエビデンスと参照論文は、プロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #慢性腸症 #CE #消化器 #動物病院"
