スライド番号,役割,テキスト
1枚目,表紙,"**猫の尿管結石・閉塞**
**その治療方針、本当に合ってる？**
98%がシュウ酸カルシウム結石
溶解不能な結石へのアプローチ"
2枚目,結論,"**【重要結論】ここを抑えよう！**
1.  **猫の尿管結石98%はシュウ酸カルシウム**
    → 内科的溶解は不可能。外科的介入が基本。
2.  **超音波で腎盂幅 >3mm (猫), >5mm (犬) は閉塞を強く疑う**
3.  **閉塞解除前の大量輸液は禁忌**
    → 水腎症悪化と腎機能不可逆的破壊を招く。
4.  **ゴールドスタンダード治療**
    → 皮下尿管バイパスシステム（SUBデバイス）または尿管ステント留置。"
3枚目,結石の特性と内科的溶解の限界,"**尿管結石の特性と治療の前提**
*   **猫の尿管結石はほぼCaOx結石**
    *   約98%がシュウ酸カルシウム（CaOx）結石。
    *   ストルバイト結石は極めて稀。
    *   **CaOx結石は食事療法や薬物療法で溶解不可能**。
*   **犬の尿管結石**
    *   猫ほど頻度は高くないが、CaOx結石が主流。
    *   尿管径が猫より大きいため、自然排出される割合が猫よりやや高い。"
4枚目,診断のポイント：臨床症状,"**見逃し注意！臨床症状の罠**
*   **急性症状**
    *   食欲低下、嘔吐、腹部痛、元気消失。
*   **片側閉塞**
    *   対側腎臓が代償するため、**血液検査上の腎数値上昇が乏しく見逃されやすい**。
    *   慢性的な腎機能低下が進行している可能性も。
*   **両側閉塞**
    *   急速な高窒素血症、乏尿〜無尿、高カリウム血症。
    *   **致死的な不整脈のリスク**があり、緊急対応が必要。"
5枚目,画像診断の重要所見,"**腎盂幅が診断の鍵！画像診断**
| 検査 | 所見 | ポイント |
|------|------|----------|
| **腹部X線** | 高輝度の尿管内結石像 | CaOx結石は描出されやすいが、1mm以下の小結石は見逃される可能性。 |
| **腹部超音波** | 腎盂拡張（水腎症）、尿管拡張 | **猫で腎盂幅 >3mm、犬で >5mm は閉塞を強く示唆。**閉塞部位の特定にも有用。 |
| **CT** | 結石の正確な位置・サイズ・数の評価 | **手術計画の立案に最も有用。**造影CTで閉塞の程度も評価可能。 |"
6枚目,血液検査の重要所見と高K血症の対応,"**高カリウム血症は即座に対応！血液検査**
*   **腎機能評価の基本**
    *   Cre、BUN、SDMA
*   **高カリウム血症**
    *   両側閉塞の場合、**致死的な不整脈のリスク**がある。
    *   **即座の対応（グルコン酸カルシウム静注など）が必要**。
*   **その他**
    *   尿比重、UPCは腎機能の詳細評価に。"
7枚目,内科管理の限界と禁忌,"**「禁忌」を理解する内科的管理**
*   **CaOx結石は溶解不可能**
    *   食事療法や薬物療法で結石を溶かすことはできない。
*   **平滑筋弛緩薬（プラゾシン等）は非推奨**
    *   猫の尿管にはα1受容体がほとんどなく排石効果は期待できない。低血圧リスクがあるため推奨されない。
*   **【重要】閉塞解除前の大量輸液は禁忌！**
    *   利尿を促すつもりで大量輸液を行うと、閉塞側の腎盂内圧がさらに上昇し、**腎実質への圧迫壊死を招く**。
    *   輸液は維持量〜軽度の脱水補正量にとどめる。"
8枚目,外科的治療のゴールドスタンダード,"**外科的治療：ゴールドスタンダードとリスク**
*   **皮下尿管バイパスシステム（SUBデバイス）**
    *   腎臓と膀胱を人工チューブでバイパス。
    *   **猫の尿管閉塞に対する最も推奨される術式の一つ**。
    *   利点: 尿管損傷リスク低い、再閉塞時のフラッシング可能。
    *   合併症: カテーテル閉塞、尿路感染。定期フラッシング（3〜6ヶ月ごと）推奨。
*   **尿管ステント留置**
    *   閉塞部位にステントを留置し内腔を確保。
    *   利点: SUBより安価な場合あり。
    *   合併症: ステント移動、再閉塞、排尿時の不快感（猫で頻尿・血尿報告あり）。
*   **尿管切開・吻合術**
    *   従来の外科的切開による結石除去。
    *   猫の尿管径が極めて小さい（1〜2mm）ため、**術中の尿管損傷・狭窄リスクが高い**。
    *   マイクロサージャリーの技術が必要。"
9枚目,まとめ,"**【まとめ】臨床現場で活かす3つのポイント**
1.  **猫の尿管結石はほぼCaOxで溶解不可。**外科的介入が治療の基本。
2.  **閉塞解除前の大量輸液は腎機能悪化を招く禁忌。**輸液管理は慎重に。
3.  **SUBデバイス/尿管ステントがゴールドスタンダード。**高カリウム血症がある場合は、術前安定化（血液透析など）を検討。"
10枚目,読者へのアクション・誘導,"**この投稿、後で見返せるよう【保存】推奨！**
より詳細なエビデンスや参照論文リンクは
プロフィールのNoteにて公開中。
臨床の疑問を解決し、明日からの診療に活かしましょう。

=== キャプション（投稿文） ===
【猫の尿管結石・尿管閉塞】
「内科で溶かせる」「とりあえず輸液」は危険！臨床で陥りがちな落とし穴と最新の治療戦略

猫の尿管結石は、近年遭遇する機会が増えている重要な疾患です。特に臨床経験2〜3年目以上の先生方であれば、診断や治療で頭を悩ませることも少なくないのではないでしょうか。

今回の投稿では、尿管結石・閉塞の診断から治療における重要なポイントをまとめました。

💡 **知っておきたい臨床の注意点**
1.  **猫の尿管結石の98%はシュウ酸カルシウム結石**です。これは食事や薬で溶解することはできません。膀胱結石のストルバイトとは根本的に治療方針が異なります。
2.  **片側閉塞の場合、血液検査上の腎数値は正常範囲内にとどまる**ことがあり、見逃されやすい傾向にあります。超音波検査での腎盂幅拡張（猫で3mm以上）が診断の重要な手がかりとなります。
3.  **閉塞が解除されていない状態での大量輸液は「禁忌」**です。腎盂内圧を上昇させ、腎実質の不可逆的な損傷を招くため、輸液管理は慎重に行う必要があります。
4.  高カリウム血症を伴う両側閉塞は緊急事態です。致死的な不整脈のリスクがあるため、グルコン酸カルシウム静注など即座の対応と、必要に応じた血液透析による術前安定化が不可欠です。

現在、ゴールドスタンダードとして推奨されるのは、皮下尿管バイパスシステム（SUBデバイス）留置や尿管ステント留置です。これらの術式は、従来の尿管切開・吻合術に比べて合併症リスクが低いとされています。

この投稿が、日々の臨床における尿管結石・閉塞症例へのアプローチの一助となれば幸いです。

ぜひ【保存】して、後で見返せるようにしておきましょう！

#獣医 #動物救急 #腎泌尿器科 #猫医療 #外科 #SUBデバイス #尿管結石 #臨床獣医"
