スライド番号,役割,テキスト
1枚目,表紙,"「手作り食・生食＝安全」はもう古い？
データが示す栄養欠乏リスクと臨床現場での対応"
2枚目,結論,"・手作り食レシピの95%はNRC/AAFCO基準未達
・生食は人獣共通感染症＆AMR（薬剤耐性）の温床に
・AVMA・WSAVAも犬猫への生肉給与に「反対」

飼い主の信念に配慮しつつ、科学的エビデンスに基づいた説明を行うことが臨床現場の責務です。"
3枚目,栄養欠乏リスク ─ 「手作り＝安全」の誤解,"【手作り食のリアルな栄養状態】
ネットや書籍のレシピ200種類を解析した研究（Stockman et al., 2013）
・95%（190/200）がNRC/AAFCO基準を少なくとも1つ未達
・83.5%で複数の必須栄養素（カルシウム、亜鉛、ビタミンD等）が欠乏

▶ 専門知識なしでのバランス設計は「事実上不可能」です。"
4枚目,生食（RMBD）の病原体汚染とOne Health,"【市販生肉ベース食の病原体汚染率】
・サルモネラ属菌：7〜21%
・リステリア菌：15〜16%
・カンピロバクター属菌：最大40%

★ESBL産生大腸菌の保菌リスクは「商業用加熱食の5.0倍以上」
無症状で菌を排泄し、同居家族（小児や高齢者等）への感染リスクに直結します。"
5枚目,食事関連疾患①,"【栄養性二次性上皮小体機能亢進症（NSHP）】
・病態：手作り食のCa不足・P過剰による骨密度低下（成長期に好発）
・診断：X線（骨透過性亢進、皮質菲薄化、折りたたみ骨折）、血中iPTH上昇
・治療と予後：早期のCa:P比是正（1.2〜1.4:1）で数ヶ月で回復。
⚠️ ただし重度例では、骨盤狭窄（巨大結腸症）や脊椎変形などの長期合併症が20〜30%残存します。"
6枚目,食事関連疾患②,"【食事関連拡張型心筋症（Diet-associated DCM）】
・病態：BEGダイエット（穀物不使用等）や豆・イモ類主体食による心拡大・収縮能低下
・診断：心エコー（LVIDd/s拡大、FS低下）、全血タウリン濃度（正常 >200 nmol/mL）
・治療：食事変更＋タウリン PO（50〜100 mg/kg/day）
（心不全時はピモベンダン 0.25〜0.3 mg/kg PO BID やフロセミド併用）
・予後：3〜6ヶ月で有意改善。生存期間中央値が2年に達し休薬可能な例も。"
7枚目,食事関連疾患③,"【食餌性甲状腺機能亢進症】
・病態：牛・豚の頸部生肉（甲状腺組織を含む）給与による外因性ホルモン過剰
・徴候：多飲多尿、体重減少、頻脈、パンティング
・診断：総T4 > 4.0 μg/dL、遊離T4上昇、TSH低下、甲状腺腫瘤なし
・治療：原因となる生肉の給与中止のみ（抗甲状腺薬は不要）
・予後：給与中止後、2〜4週間以内に正常化（予後良好）"
8枚目,臨床アプローチ・推奨アルゴリズム,"現場でどう対応するか？
① 総合栄養食への切り替え
AAFCO試験クリア、またはWSAVA推奨基準を満たす製品を提案。
② 手作り継続を強く希望する場合
DACVN等専門医のレシピ設計（BalanceIT®等）を必須とし、3〜6ヶ月毎の定期検査。
③ 細菌性胃腸炎・敗血症時
AMR防止のため盲目的な広域抗菌薬投与は厳格に避ける。重症例のみ培養・感受性試験に基づく治療を。"
9枚目,まとめ,"1. 手作り食レシピの95%は栄養欠乏。安全な運用には専門医による設計が必須。
2. 生食はサルモネラ等の排泄とESBL保菌リスク（5倍超）を伴う公衆衛生上の懸念事項。
3. NSHP、食事関連DCM、食餌性甲亢進症などの特有疾患を見逃さず、食事歴の徹底聴取を。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
「ペットに良いものを食べさせたい」
飼い主さんのそんな愛情から選ばれる手作り食や生食（RMBD）。しかし、臨床現場ではその善意が思いがけない栄養欠乏や疾患を引き起こすケースに直面することがあります。

最新のエビデンスによれば、巷に出回る手作り食レシピの実に95%が栄養基準（NRC/AAFCO）を満たしておらず、生食に至ってはサルモネラなどの病原体汚染や、ESBL産生菌の保菌リスク（5倍以上）というOne Health上の重大な懸念が報告されています。

今回は、手作り食・生食に起因する代表的な疾患（NSHP、食事関連DCM、食餌性甲状腺機能亢進症）の特徴と、臨床現場ですぐに使える推奨アプローチをまとめました。

飼い主さんの「手作りの方が体にいいのでは？」「生肉は自然だから安全では？」といった疑問に対し、信念を否定せず科学的事実をどう伝えるか。
私たち獣医師の適切なコミュニケーションと知識のアップデートが求められています。

詳細なエビデンスや飼い主への具体的な説明トーク術は、プロフィールのリンク（Note）で解説しています。ぜひ日々の診療にお役立てください。

#獣医 #動物救急 #獣医療 #臨床獣医 #動物病院 #小動物臨床 #獣医栄養学"
