スライド番号,役割,テキスト
1枚目,表紙,"「とりあえず腎臓食」で済ませていませんか？
複数疾患を抱える症例の【栄養トリアージ】と疾患別療法食ガイド"
2枚目,結論,"療法食選択の原則
・「なんとなく良さそう」ではなく【確定診断】に基づき処方する
・複数疾患の併発時は【栄養トリアージ】が必須
　（最も生命を脅かす疾患を優先）
・単一の「万能フード」は存在しない"
3枚目,疾患別エビデンス① CKD,"慢性腎臓病（CKD）の栄養設計
※IRISステージ2以上で生存期間延長のエビデンスが最強

・リン制限：進行遅延の【最重要因子】
・タンパク質：適度な制限（窒素性老廃物軽減 vs 筋肉量維持）
・ナトリウム：軽度制限（血圧管理・腎負担軽減）
・Omega-3脂肪酸：増量（炎症・酸化ストレス軽減）
※食欲不振にはミルタザピンやカプロモレリンを検討"
4枚目,疾患別エビデンス② 心疾患・CKD併発,"心疾患の食事管理と併発時の注意点

【心疾患単独】
・ナトリウム制限を中心にステージに応じ段階的に調整
・過度な制限はRAA系の過剰活性化を招くため避ける

【CKD ＋ 心疾患 の併発】
ナトリウム制限の方向性は両疾患で合致するが、極端な制限は「腎血流低下」のリスクとなるため要注意。"
5枚目,疾患別エビデンス③ 消化器疾患,"膵炎・IBD・急性下痢の栄養管理

・犬の膵炎：低脂肪食が推奨
・猫の膵炎：低脂肪の強いエビデンスなし。むしろ十分なカロリー摂取と「肝リピドーシス予防」を優先
・IBD：新奇タンパク（ターキー、カンガルー等）または加水分解タンパクへの切り替え
・急性下痢：高消化性・低残渣食を短期間使用し腸の負担を軽減"
6枚目,複数疾患の併発 ─ 栄養トリアージとは？,"相反する栄養目標にどう対応するか？

1. 包括的栄養評価（BCS、MCS、水和状態など）
2. 各疾患の栄養目標をリスト化
3. 互換性の評価
　⚠️ 例：CKDの「高エネルギー密度」 vs 膵炎の「低脂肪」は相反しうる
4. 最も生命を脅かす疾患を優先
　※IRISステージ2以上のCKDは腎臓食優先のエビデンスが強い
5. 複雑な症例は獣医栄養学専門医への相談を検討"
7枚目,療法食のよくある失敗パターン,"NGな処方と指導リスク

❌ 確定診断前の処方
　→ 不適切な制限で状態が悪化するリスク
❌ 複数フードの混合
　→ 精密な栄養バランスが崩壊する
❌ 市販おやつの追加
　→ リン・タンパク制限などの意味が消失する
❌ 急な切り替え
　→ 嘔吐・下痢など消化器症状の悪化を招く"
8枚目,飼い主への説明のコツ,"コンプライアンスを高める指導法

Q.「おやつを足してもいいですか？」
A. 市販のおやつはNG。せっかくの栄養制限が台無しになります。同メーカーから出ている「対応おやつ」を提案しましょう。

Q.「切り替え方法は？」
A. いきなりの変更は消化器症状の原因に。7〜10日かけて段階的に移行するよう指導。（例：最初の2日は元のフード75%＋新フード25%）"
9枚目,まとめ,"本記事の要点

1. 療法食は確定診断後に選択。CKDは生存期間延長のエビデンスが強く、リン制限が最重要。
2. 複数疾患では「栄養トリアージ」を用い、最も生命を脅かす疾患（IRISステージ2以上のCKDなど）を優先する。
3. 飼い主には「専用おやつの提案」や「7〜10日かけた移行」を具体的に指導し、治療効果の低下を防ぐ。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
【療法食の選び方 ─ 疾患別フードガイドと栄養トリアージ】

臨床現場で毎日のように処方する「療法食」。
とりあえず腎臓食、とりあえず低脂肪食…と「なんとなく」で選んでいませんか？

療法食は維持食と異なり、特定の栄養素を厳密に調整した「処方食」です。特に慢性腎臓病（CKD）においては、適切な食事管理が生存期間の延長に直結するという強力なエビデンスがあります。

しかし、実際の臨床現場では「CKD＋心疾患」「CKD＋膵炎」のように複数疾患を抱えるシニア世代の症例が少なくありません。
相反する栄養目標に直面したとき、どのように優先順位をつけるべきか？
今回は、臨床経験を積んだ獣医師が知っておくべき「疾患別の選択基準」と、複数疾患における「栄養トリアージ」の考え方をまとめました。

また、飼い主様の「市販のおやつをあげたい」「フードを混ぜてあげたい」という要望にどう対応するかも、コンプライアンス維持のために重要です。

スライドをスワイプして、明日からの栄養指導・処方判断にぜひお役立てください👉

詳細なエビデンスや各疾患別の細かなガイドライン、参照論文はプロフィールのNoteリンクから確認できます。
診察中の確認用として、右下の【保存】ボタンを押しておくことをお勧めします🔖

#獣医 #動物救急 #小動物臨床 #獣医学 #療法食 #栄養トリアージ #獣医栄養学"
