スライド番号,役割,テキスト
1枚目,表紙,"「この子は麻酔が怖い」
で思考停止していませんか？

ハイリスク患者の麻酔 実践アプローチ
〜ASA分類と疾患別プロトコル〜"
2枚目,結論,"ハイリスク患者（ASA III以上）の麻酔 3本柱

① 術前評価の徹底
血液検査・心エコー・血圧測定でリスクを客観視。
② 疾患に応じた薬剤選択
心血管抑制の少ないプロトコルを構築。
③ 術中モニタリング・早期介入
低血圧（MAP < 60mmHg）回避とバソプレッサーの準備。"
3枚目,解説・データ,"疾患別・麻酔戦略の基本方針

【心疾患】
アセプロマジン回避 or 極低用量。オピオイド中心。
【腎疾患（CKD）】
術前輸液必須。NSAIDs禁忌。MAP > 65mmHg維持。
【短頭種（BOAS）】
プロポフォール導入で早期挿管。抜管は完全覚醒まで待機。
【高齢動物（>10歳）】
全薬剤25-50%減量。積極的保温。"
4枚目,解説・データ,"心疾患（MMVD・DCM）の麻酔

■ MMVD（僧帽弁閉鎖不全症）
後負荷減少が有利。過度の低血圧はNG。アセプロマジン極低用量は血管拡張に有用なケースも。
■ DCM（拡張型心筋症）
陰性変力作用薬（プロポフォール高用量、α2作動薬）は回避。導入はエトミデート推奨。

💡 プロトコル例（MMVD犬の歯科処置）
・前投薬: メサドン IM ＋ ミダゾラム IM
・導入: プロポフォール IV（効果量まで緩徐に）
・維持: セボフルラン ＋ フェンタニル CRI"
5枚目,解説・データ,"心疾患（HCM）とα2作動薬の考え方

■ HCM（肥大型心筋症・猫）
頻脈と脱水を回避。ケタミン単独は頻脈誘発で禁忌。導入はアルファキサロンが比較的安全。

■ α2作動薬は「全心疾患で禁忌」ではない
・MMVD/DCMでは原則回避（徐脈＋後負荷増大）。
・しかし、HCMで左室流出路閉塞（LVOTO）がある場合、心拍数を下げて拡張期を確保する目的で、低用量使用が推奨されるケースがある。"
6枚目,解説・データ,"腎疾患（CKD）の麻酔とAKI予防

最重要ミッション：腎灌流圧の維持（MAP > 65mmHg）
・術前輸液: 乳酸リンゲル液 2-3 mL/kg/h（術前1-2時間〜）
・NSAIDs禁忌: 腎血流低下によりAKIを誘発。
・鎮痛: オピオイド（ブプレノルフィン IV）が安全。代替でケタミン CRI。

⚠️ よくある落とし穴
「BUN/Cre軽度上昇」でもAKI誘発リスクあり。低アルブミン（薬物効果増強）や高カリウム（不整脈）の術前補正も必須。"
7枚目,解説・データ,"短頭種（BOAS）の麻酔

非短頭種の約2倍の麻酔関連死亡率。
最大のリスクは「覚醒時の上気道閉塞」。

・前酸素化: 最低3分間のフローバイ酸素。
・導入: プロポフォールで迅速導入 → 速やかに挿管。複数サイズのチューブ準備。
・抜管: 完全覚醒・嚥下反射確認まで絶対に抜かない。
・予防: 抜管直前にデキサメサゾン 0.1 mg/kg IV で喉頭浮腫予防を検討。"
8枚目,解説・データ,"高齢動物の麻酔と保温戦略

■ 加齢による薬理変化への対応
・心拍出量低下で薬物の臓器到達が遅い。「まだ効かない」と焦って追加しない。
・原則：全薬剤を25-50%減量し、効果を見ながら追加（titrate to effect）。

■ 低体温（35℃以下）は覚醒遅延・凝固障害の元凶
・強制温風式マットが最も効果的。
・術中の輸液加温（37-38℃）や、四肢のアルミホイル巻きも併用を。"
9枚目,まとめ,"本日の要点

① ASA III以上のハイリスク症例は「術前評価・薬剤選択・血圧管理」の3本柱で安全性を高める。
② 疾患ごとに禁忌薬を把握し、心血管抑制の少ないプロトコル（オピオイド中心、CRI活用）を組む。
③ 術中の低血圧（MAP < 60mmHg）は最も一般的かつ危険。輸液調整や昇圧剤（ドパミン等）をすぐ使える準備を。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===

ホームドクターが日常的に直面する「ハイリスク患者の麻酔」。
フレンチブルドッグなどの短頭種、高齢猫のCKD、心雑音のある小型犬の歯科処置など、「この子は麻酔が危険」という判断だけで止まっていませんか？

ASA分類に基づき、適切なプロトコル選択とモニタリング強化を行うことで、多くのハイリスク症例も安全に管理することができます。

今回は、臨床現場ですぐに活かせる「疾患別の麻酔プロトコルと注意点」をまとめました。

📌 本日のハイライト
・心疾患（MMVD, DCM, HCM）の薬剤選択とα2作動薬の考え方
・CKD猫の術後AKIを防ぐ血圧管理
・短頭種の抜管タイミングと気道確保
・高齢動物の用量調整と保温戦略

麻酔中の低血圧対応（MAP < 60mmHg）や、加齢による薬物動態の変化など、見落としがちなポイントも解説しています。
スライドを【保存】して、次回の麻酔計画の参考にしてください！

詳細なエビデンスと論文リンクはプロフィールのNoteから🔗

#獣医 #動物救急 #獣医学 #動物病院 #臨床獣医 #麻酔管理 #動物看護師"
