スライド番号,役割,テキスト
1枚目,表紙,"脱水の評価と補正
── 実践的な計算方法
輸液量の「感覚」を「計算」に変える
猫は犬の半分の循環血液量 ── 過負荷に注意"
2枚目,結論,"【結論】
■ 脱水率は身体検査から推定（5%〜12%スケール）
■ 輸液量 = 不足量 + 維持量 + 進行中の喪失量
■ 不足量(mL) = 体重(kg) × 脱水率(%) × 10
■ 不足量は12〜24時間かけて補正
■ 猫は体液過負荷に極めて陥りやすい
 → 循環血液量が犬の約半分"
3枚目,脱水率の評価,"【脱水率の臨床的推定】

■ <5%: 臨床的に検出困難
■ 5%: skin tentの軽度遅延、粘膜のわずかな乾燥
■ 6-8%: skin tent 2-3秒遅延、CRT 2-3秒、眼球の軽度陥凹
■ 8-10%: skin tent 3-5秒以上、明らかな眼球陥凹、頻脈
■ 10-12%: ショック状態。微弱な脈、冷たい四肢、蒼白な粘膜

⚠️ 高齢猫/痩せた動物: 偽陽性（生理的なskin tent遅延）
⚠️ 肥満動物: 偽陰性（脂肪で分からない）"
4枚目,血液検査での補完,"【血液検査による補完】

■ PCV/TP
 ・両方上昇 → 血液濃縮（脱水を示唆）
 ・PCVのみ上昇 → 赤血球増多（脱水以外の原因）

■ BUN/Cre
 ・BUN/Cre比が高い → 腎前性高窒素血症

■ 尿比重
 ・腎機能正常なら脱水時に上昇
 ・犬 >1.045 / 猫 >1.040

■ 電解質
 ・等張性/低張性/高張性脱水の鑑別に"
5枚目,輸液量計算,"【輸液量の計算 ─ 3つの構成要素】

① 不足量（Deficit）
 = 体重(kg) × 脱水率(%) × 10

② 維持量（Maintenance）
 犬: 50-60 mL/kg/day
 猫: 40-50 mL/kg/day

③ 進行中の喪失量（Ongoing Losses）
 嘔吐、下痢、ドレーン排液、多尿の推定量"
6枚目,計算例,"【計算例: 10kgの犬、8%脱水、下痢あり】

不足量: 10(kg) × 8(%) × 10 = 800 mL
維持量: 10 × 55 = 550 mL
進行喪失量: 推定 200 mL

━━━━━━━━━━━━
24時間の総輸液量: 1,550 mL
投与速度: 1550 ÷ 24 ≒ 65 mL/hr
━━━━━━━━━━━━"
7枚目,補正スピードと注意,"【補正のスピードと注意点】

■ 不足量: 12-24時間かけて補正
 ⚠️ 急速すぎる → 肺水腫のリスク

■ ショック併発時
 ・脱水補正の前にショックボーラスが最優先
 ・犬: 20 mL/kg/15-20min
 ・猫: 5-10 mL/kg/10-15min（慎重に）

■ モニタリング指標
 ・体重: 1日2回
 ・尿量: 最低 1-2 mL/kg/hr
 ・PCV/TP: 連続測定
 ・呼吸数: 過負荷の最初のサイン"
8枚目,猫の特殊配慮,"【猫の輸液 ─ 特殊な配慮が必要】

■ 循環血液量
 猫: 50-55 mL/kg ← 犬の約半分
 犬: 80-90 mL/kg

■ ルール
 ・維持輸液速度: 2-3 mL/kg/hr を超えない
 ・輸液ポンプの使用を強く推奨
 ・頻呼吸が出現 → 直ちに減速

💡 犬と同じ感覚で輸液すると
 簡単に過負荷 → 肺水腫に陥る！"
9枚目,まとめ,"【本記事の要点】

① 脱水率は身体検査から推定（skin tent, CRT, 眼球陥凹で5-12%スケール）
② 不足量(mL)＝体重(kg)×脱水率(%)×1000 + 維持量 + 喪失量
③ 不足量は12-24時間で補正。ショック併発時はボーラスが先
④ 猫は循環血液量が犬の半分 → 過負荷に細心の注意"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。

=== キャプション（投稿文） ===
「この子、脱水してそうだから点滴を入れよう」── その輸液量、きちんと計算していますか？💧

脱水の評価と輸液量の計算は獣医療の最も基本的なスキルですが、意外と「感覚」で行っている方も多いのではないでしょうか。

不足量(mL) = 体重(kg) × 脱水率(%) × 1000。これに維持量（犬50-60, 猫40-50 mL/kg/day）と進行中の喪失量を加算し、12-24時間かけて補正する── シンプルですが正確な計算が命を守ります📐

特に注意すべきは猫の輸液。循環血液量が犬の約半分（50-55 vs 80-90 mL/kg）しかないため、犬と同じ感覚で投与すると簡単に肺水腫に。維持輸液速度は2-3 mL/kg/hrを超えないこと。輸液ポンプの使用が強く推奨されます⚠️

計算例と脱水率の評価チャートをスライドにまとめました。ぜひ【保存】してください🔖
詳細なエビデンスと6本の論文リンクはプロフのNoteで公開中です🔗

#獣医 #獣医師 #獣医療 #臨床獣医学 #輸液 #脱水 #動物病院"
