スライド番号,役割,テキスト
1枚目,表紙,"食欲不振の猫、単なる胃腸炎で終わらせていませんか？
猫特有の疾患複合体
「三臓器炎（Triaditis）」の診断と治療戦略"
2枚目,結論,"結論：三臓器炎とは？
胆管炎・膵炎・IBD（炎症性腸疾患）の併発疾患。
臨床症状は「食欲不振・嘔吐・黄疸・体重減少」など非特異的で、単一疾患との鑑別が困難。

【治療の4本柱】同時進行でアプローチ
① 抗菌薬（好中球性胆管炎に対して）
② 免疫抑制（IBD、リンパ球性胆管炎に対して）
③ 膵炎の支持療法（輸液、制吐、鎮痛）
④ 栄養管理（経管栄養、コバラミン補充）"
3枚目,理由・背景,"なぜ「猫」で三臓器炎が起こるのか？
【解剖学的背景】
・犬：総胆管と膵管は「別々」に十二指腸へ開口
・猫：総胆管と膵管が合流し「共通管」として十二指腸へ開口

→ 腸管内細菌が逆行性に上行しやすく、一つの臓器の炎症が隣接臓器（胆管・膵臓）へ波及しやすい。
（IBDによる腸管バリア破綻が引き金になるケースも多い）"
4枚目,診断①初期検査,"診断アプローチ①：疑うべき初期検査所見
【生化学検査】以下の同時陽性で強く疑う
・肝酵素（ALT/ALP）↑
・ビリルビン↑
・fPLI高値（> 5.4 μg/L）

【腹部エコー】複数臓器の異常を確認
・胆嚢：壁肥厚、総胆管拡張
・膵臓：低エコー化、腫大
・腸管：壁の層構造変化、肥厚"
5枚目,診断②IBD指標と生検,"診断アプローチ②：IBDの指標と確定診断
【コバラミン（VB12）】
・低値（< 300 ng/L）の場合、IBDによる回腸吸収障害を示唆。
・予後不良因子となるため、積極的な補充療法の適応。

【組織生検（金標準）】
・肝臓・腸管・膵臓の炎症パターン確認。
・特にIBDと「消化器型リンパ腫」の鑑別には必須。
※侵襲性が高いため、現実的には臨床症状と検査値から臨床的判断で治療を開始することも多い。"
6枚目,治療①胆管炎,"治療戦略①：胆管炎のタイプ別管理
【好中球性（急性・細菌性）】
・腸管細菌の逆行性感染が原因。
・アモキシシリン-クラブラン酸 12.5-25 mg/kg PO BID（4〜6週）
・嫌気性菌・IBDも考慮し、メトロニダゾール 10-15 mg/kg PO BID 併用。

【リンパ球性（慢性・免疫介在性疑い）】
・細菌感染がなければ抗菌薬は不要。
・プレドニゾロン 1-2 mg/kg/day PO（漸減）
・ウルソデオキシコール酸 10-15 mg/kg PO SID"
7枚目,治療②IBD・膵炎,"治療戦略②：IBDと膵炎の管理
【IBD（免疫抑制）】
・プレドニゾロン 1-2 mg/kg/day PO SIDまたは分割BIDで開始（2週間）。その後4〜8週かけて漸減。
・抵抗性ならクロラムブシル 2 mg/cat PO EOD 追加。
※リンパ腫未除外でのステロイド開始リスクは飼い主に要説明。

【膵炎（支持療法）】
・脱水補正の輸液
・マロピタント 1 mg/kg SC/IV SID（制吐）
・ブプレノルフィン 0.01-0.02 mg/kg OTM/IV q6-8h（鎮痛）
※猫の膵炎にはステロイドが有効な場合がある（犬との違い）。"
8枚目,治療③栄養管理,"治療戦略③：栄養管理と脂肪肝予防
「食欲不振が3日以上続く」は猫にとって致命的（脂肪肝発症リスク）。

【早期の経管栄養】
・経鼻食道チューブまたは食道チューブを躊躇なく検討。
・高消化性・低脂肪の処方食を使用。

【コバラミン（VB12）補充】
・250 μg/cat SC q7d（6週間） → その後 q14d（6週間）"
9枚目,まとめ,"まとめ：猫の三臓器炎 診療の要点
① 生化学（肝酵素・ビリルビン・fPLI）とエコーで複数臓器の異常所見が揃えば三臓器炎を疑う。
② 解剖学的特徴から胆管・膵臓・腸管の炎症は連動する。胆管炎のタイプ（好中球性/リンパ球性）を見極め、抗菌薬と免疫抑制剤を適切に組み合わせる。
③ 早期の栄養介入が鍵。制吐・鎮痛に加え、食欲不振が続く場合は積極的な経管栄養とコバラミン補充を行う。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
「食欲がない」「吐いている」
そんな非特異的な症状の裏に、猫特有の疾患複合体が隠れているかもしれません。

今回は、臨床現場で遭遇しやすい「猫の三臓器炎（Triaditis）」のアプローチについてまとめました。
胆管炎・膵炎・IBDが連鎖して起こるこの病態は、猫の解剖学的特徴（総胆管と膵管が合流して十二指腸に開口する構造）に深く関わっています。

確定診断には生検が金標準ですが、侵襲性の高さから臨床所見ベースで治療介入を判断しなければならない場面も多いはずです。
好中球性かリンパ球性かの見極め、ステロイド導入のタイミング、そして命を左右する早期の経管栄養・コバラミン補充について、すぐに使える指標をスライドにまとめています。

日々の診療のアップデートに、ぜひ保存してご活用ください！詳細なエビデンスや関連論文はプロフィールのNoteリンクから確認できます🩺

#獣医 #動物救急 #臨床獣医学 #消化器疾患 #エコー検査 #猫の医療 #内科学"
