スライド番号,役割,テキスト
1枚目,表紙,"「オス猫の尿道閉塞」
血液検査の結果を待ってから動いていませんか？
高カリウム血症における
【致死的不整脈の回避と段階的アプローチ】"
2枚目,結論,"【結論】高K血症治療の「3段階アプローチ」
① 心筋保護（最優先）
② 細胞内へのK移動（一時的な時間稼ぎ）
③ 体外へのK排出（根本治療）

※まずは本物の高K血症の三大原因
（尿道閉塞、無尿性AKI、アジソン病）を常に最優先で鑑別する。"
3枚目,診断の要,"【超緊急の指標】数値より「ECG所見」
高K血症に対する心筋の感受性は個体差が大きいです。
K値（mEq/L）よりも「心電図（ECG）異常の有無」が緊急介入の指標となります。

💡 臨床のコツ
「おしっこが出ないオス猫」が来たら、体温測定より先にECGリードを装着。採血結果が出る前にP波消失やQRS拡大があれば、即座にカルチコールを準備します。"
4枚目,ECGの段階的変化,"【ECG所見の変化】
■ 軽度〜中等度（5.5 - 7.0 mEq/L）
・テント状に高く尖ったT波
・QT時間の短縮

■ 重度（7.0 - 8.5 mEq/L）
・P波の平坦化〜消失
・PR間隔の延長、QRS波の拡大、徐脈

■ 非常に重度（> 8.5 mEq/L）
・P波がないまま幅広いQRS波（サインカーブ状）
・心室細動（VF）、心静止"
5枚目,偽性の除外,"【注意】偽性高カリウム血症の除外
「Kが高いのにECG正常・患者の状態も良好」な場合はまず偽性を疑う。

▼ 主な偽性の原因
・日本犬種（秋田犬・柴犬等）の溶血
・採血時のEDTA汚染
・細い針での強い陰圧による溶血、採血後の放置
※疑わしい場合はヘパリン採血で再評価を。"
6枚目,治療Step1,"【Step 1】心筋保護（最優先）
ECG異常（P波消失・QRS拡大等）がある場合の最優先事項。

・薬剤：10%グルコン酸カルシウム（カルチコール等）
・用量：0.5 - 1.5 mL/kg IV 
・投与法：ECGモニター下で2〜5分かけて静注

⚠️ 注意点
心筋を安定させるだけで「K値自体は下がらない」。数分で著効するが30〜60分しか持続しない。投与中にHR低下やVPC増加があれば速すぎのサイン。直ちに減速を。"
7枚目,治療Step2,"【Step 2】細胞内へのK移動
心電図が安定したら、血中Kを一時的に細胞内へ退避させる。

▼ インスリン・ブドウ糖療法
・犬：レギュラーインスリン 0.25〜0.5 U/kg IV
・猫：0.1〜0.2 U/kg IV（※0.5は致死的な低血糖リスクがあり減量必須）
・＋ ブドウ糖 1.5〜2 g/U
※その後数時間は2.5〜5%ブドウ糖添加液を持続点滴。1〜2時間ごとの血糖値測定が必須。

▼ 重炭酸ナトリウム療法
重度のアシドーシス（pH < 7.1）時に適応。1 mEq/kg IV程度から開始。"
8枚目,治療Step3,"【Step 3】体外へのK排出（根本治療）
Step 1・2はあくまで時間稼ぎ。最終的に体外に出さなければ再上昇する。

① 輸液による利尿：
生理食塩水などのKフリー輸液を大量投与しK排泄を促す。（乳酸リンゲル液はKを含むが希釈効果あり。基本は生理食塩水ベースで開始）

② 物理的閉塞の解除：
尿道カテーテル留置、膀胱穿刺による減圧。

③ 透析：
無尿性AKI等で反応しない場合は血液・腹膜透析が必要。"
9枚目,まとめ,"【まとめ】高K血症アプローチの要点

1. 採血結果を待たず「ECG所見」で動く
救急の尿道閉塞では、P波消失やQRS拡大を見た時点で介入を決定する。

2. 心電図異常にはまず「カルチコール」
K値は下がらないが、心筋の興奮性を安定化させ致死性不整脈を防ぐ（ECGモニター必須）。

3. 「根本治療」を同時並行で
ECG評価→カルチコール→生理食塩水ベースの輸液→閉塞解除→インスリン投与を並行して進める。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
救急外来でよく遭遇する「オス猫の尿道閉塞」や「無尿性AKI」。
高カリウム血症は、7.0 mEq/Lを超えると急激に心室細動や心停止のリスクが高まる非常に危険な電解質異常です。

臨床現場での鉄則は【血液検査の結果を待たずに心電図（ECG）で評価する】こと。
採血結果が出る前にP波の消失やQRS波の拡大が見られた場合、その時点で致死性不整脈を防ぐための最優先介入（カルチコールのIV）が必要になります。

本投稿では、高K血症における「3段階アプローチ（①心筋保護・②細胞内への移動・③体外への排出）」と、現場ですぐに活かせる具体的な薬剤用量や投与の注意点をまとめました。

猫のインスリン投与量の注意点や、偽性高カリウム血症の落とし穴など、緊急時に焦らず対応できるよう、ぜひ保存して日々の診療にご活用ください。

スライドの詳細はスワイプしてチェック👉

#獣医 #動物救急 #小動物臨床 #獣医学 #動物病院 #小動物医療 #救急対応"
