スライド番号,役割,テキスト
1枚目,表紙,"猫の尿道閉塞
「まずカテーテル」と思っていませんか？
救急対応の最新フローと高K血症の管理"
2枚目,結論,"到着後の救急対応フロー
最大の脅威は「高K血症による致死性不整脈」

① 心電図・血液ガス(K)の確認
② K > 7-8 mEq/L なら「先に」高K緊急治療
③ 鎮静下でカテーテル挿入・閉塞解除
④ 術後利尿と電解質管理"
3枚目,解説・データ,"昔の常識 vs 最新エビデンス

❌ 閉塞原因はほぼ結石
✅ 特発性(粘液プラグ)が最多(50-60%)。結石は少数派。

❌ まずカテーテルを入れる
✅ 先に高K対策。カテーテル操作の前に心臓を安定化させる。

❌ カテーテルは長く留置する
✅ 感染リスク増加。24〜48時間での抜去が推奨。

❌ 閉塞後は必ず抗菌薬
✅ 感染が証明されない限り、ルーチン投与は不要。"
4枚目,解説・データ,"高K血症の評価と心電図
K値(mEq/L)と心電図変化

・5.5〜6.5：テント状T波
・6.5〜7.5：P波平低化/消失、PR延長
・7.5〜8.5：QRS幅拡大（🚨緊急対応）
・>8.5：サインカーブ → 心停止（致死的）

※血液ガスがなくても、心電図の異常（T波増高・P波消失）で高Kを推定し治療を開始する。"
5枚目,解説・データ,"高K対策の緊急プロトコル

Step 1: 心筋安定化
・10%グルコン酸カルシウム 50〜100 mg/kg IV (心電図モニター下で2〜5分かけて静注)
※Kを下げる作用はない。他の輸液と混合禁止。高K血症では心停止回避の即効性が求められるため5分以上かけないこと。

Step 2: Kの細胞内シフト
・レギュラーインスリン 0.1〜0.25 U/kg IV
・＋ ブドウ糖 1.5〜2 g/単位インスリン IV
※最低6時間は低血糖モニタリングを実施。

Step 3: 輸液による希釈
・乳酸リンゲル液などの等張晶質液でKを希釈。"
6枚目,解説・データ,"安全な鎮静と閉塞解除のコツ

【鎮静プロトコル】
・安定時: メデトミジン(5〜20 μg/kg) + ブトルファノール(0.2〜0.4 mg/kg) IV/IM
・高K/重症時: ブトルファノール単独 or アルファキサロン(1〜2 mg/kg) IV
※高Kによる徐脈がある場合、メデトミジンは避ける。

【手技のポイント】
・解除用には硬いカテーテル（トムキャット等）、留置用には柔らかいカテーテル（赤ゴム等）を使用。
・無理に押し込まず、生理食塩水で逆行性フラッシュ。"
7枚目,解説・データ,"カテーテル難渋例への対応
生理食塩水の逆行性フラッシュでも通過しない場合

▼ 膀胱穿刺による内圧低下
・22G針を使用し、超音波ガイド下で穿刺排尿。
・一時的に膀胱内圧を下げることで、閉塞部位への逆圧が減少し通過しやすくなる。

▼ それでも通過しない場合
・全身麻酔下での再挑戦、または会陰尿道造瘻術(PU)を検討。"
8枚目,解説・データ,"閉塞解除後の管理（術後利尿と電解質）

▼ 閉塞後利尿 (Post-obstructive diuresis)
・解除後に著明な多尿（4〜10 mL/kg/h以上）が発生。
・水分喪失に見合った輸液補充（ins and outs管理）が必要。通常24〜72時間で落ち着く。

▼ 注意すべき電解質異常
・高Kから一転、急速な低下による「低K血症」リスク。
・K < 3.5 mEq/L では輸液にKClを添加。
・再給餌に伴う低リン血症にも注意。"
9枚目,まとめ,"本記事の要点

① 尿道閉塞の死因トップは高カリウム血症。「カテーテルの前にKを下げる」が鉄則。
② 原因の最多は特発性（粘液プラグ）。感染が証明されない限り抗菌薬のルーチン処方は不要。
③ 術後は著明な利尿と「低K・低P」に注意し、カテーテル留置は24〜48時間で抜去する。"
10枚目,読者へのアクション・誘導,"詳細なエビデンスと論文リンクはプロフのNoteにて。
診察ですぐ見返せるよう【保存】を推奨します。


=== キャプション（投稿文） ===
猫の尿道閉塞（UO）は、若齢の去勢雄で遭遇することの多い救急疾患です。
「尿が出ない＝すぐカテーテル！」と焦ってしまいがちですが、到着時に最も警戒すべきは『高カリウム血症による致死性不整脈』です。

最新のエビデンスに基づき、以下のポイントをまとめました。
✅ 高K血症の評価と緊急治療プロトコル
✅ 昔の常識（ルーチン抗菌薬・長期留置）のアップデート
✅ 鎮静と閉塞解除のコツ、難渋時の穿刺アプローチ
✅ 閉塞後利尿（Post-obstructive diuresis）の管理

明日からの臨床現場ですぐに活かせるよう、スライドに推奨用量や重要数値を凝縮しています。
いざという時に見返せるように「保存」してお役立てください🐾

詳細なエビデンスや、再閉塞予防のための飼い主様への説明ガイドは、プロフィールリンクのNoteからご覧いただけます！

#獣医 #動物救急 #猫の尿道閉塞 #エビデンスに基づく獣医療 #小動物臨床 #獣医学 #救急対応マニュアル"
