スライド番号,役割,テキスト
1枚目,表紙,"【溺水・煙吸入】
そのSpO2、本当に正常ですか？
見落としがちな肺損傷の落とし穴と管理"
2枚目,結論,"🎯 溺水・煙吸入 肺損傷管理の最重要ポイント
1.  **初期は高流量酸素**（煙吸入は直ちに100%O2）
2.  SpO2はCO-Hbを誤認し**偽高値**を示す。正確な評価には**CO-oximetry**または**血液ガス分析**が必須。
3.  **予防的抗菌薬・ステロイドは推奨されない**（死亡率上昇のエビデンスあり）"
3枚目,溺水：病態と初期対応,"🌊 溺水（Near-Drowning）
【病態生理】
・肺胞への水分侵入による**サーファクタントの洗い出し**
・肺胞虚脱、ARDS（急性呼吸窮迫症候群）様病態へ進行
・淡水・海水の臨床的差は少ない

【初期対応】
・**ABC**（Airway, Breathing, Circulation）確保
・嘔吐物吸引除去
・**高流量酸素投与**
・**低体温**に対し積極的な加温
・低酸素血症に対し**PEEP**（呼気終末陽圧）適用"
4枚目,溺水：モニタリングと遅発性,"🌊 溺水：モニタリングと遅発性肺損傷
【モニタリング】
・SpO2連続モニタリング（**95%以上を目標**）
・動脈血液ガス分析（PaO2, PaCO2）
・胸部X線：初期正常でも**24〜48時間後に肺水腫**が遅発的に出現することも

【退院後の注意】
・溺水後**48〜72時間**は遅発性肺損傷の可能性あり
・初期に軽症でも安易な退院は避ける
・退院時、自宅での呼吸数モニタリング指導"
5枚目,煙吸入：病態の3要素,"🔥 煙吸入（Smoke Inhalation Injury）
【病態の3要素】
1.  **熱傷**：上気道（鼻腔〜喉頭）の直接的な熱損傷
    （下気道への熱害は空気の冷却効果によりまれ）
2.  **化学的損傷**：燃焼生成物（アクロレイン、塩化水素など）による気道・肺胞の化学的損傷
3.  **一酸化炭素（CO）中毒**：ヘモグロビンとの結合による酸素運搬能の低下"
6枚目,煙吸入：CO中毒の危険性,"⚠️ CO中毒の危険性：パルスオキシメーターの落とし穴
【CO-Hb（一酸化炭素ヘモグロビン）の評価】
・CO-Hb半減期（室内気21%O2）：**約250分**
・CO-Hb半減期（100%O2）：**約40〜50分**
→ **直ちに100%酸素投与が必須**

【パルスオキシメーターの落とし穴】
・SpO2はCO-Hbを正常な酸化ヘモグロビンと**誤認**し、**偽高値**を表示する
・「SpO2が正常だから大丈夫」は**危険な判断**
・**CO-oximetry**または**血液ガス分析**による実測が不可欠"
7枚目,煙吸入：治療のポイント,"🔥 煙吸入：治療のポイント
【酸素療法】
・**100%酸素を直ちに投与開始**
・CO-Hb半減期を短縮させることが最大の治療目標
・重症例ではFiO2 1.0で人工換気

【気管支痙攣への対応】
・**気管支拡張薬**：サルブタモール吸入が有効
・ネブライゼーションは気道の加湿・分泌物排出促進にも

【上気道浮腫への対応】
・喉頭・気管の浮腫進行による気道閉塞リスク
・**早期の気管挿管**または**気管切開**を検討
・浮腫は**12〜36時間でピーク**に達するため、経時評価が必須"
8枚目,共通する「やってはいけない」こと（禁忌）,"🚫 共通する「やってはいけない」こと（禁忌）
| 禁忌事項 | 理由 |
| :------- | :--- |
| **予防的抗菌薬の投与** | 死亡率の改善なし。耐性菌選択リスクを増加させる。 |
| **グルココルチコイド（ステロイド）の投与** | 死亡率を上昇させ、重症白血球増加症リスクを高める。エビデンスレベルが高く推奨されない。 |
※ 抗菌薬は、実際に細菌感染が証明された場合のみ開始。"
9枚目,まとめ,"💡 まとめ：溺水・煙吸入 肺損傷の要点
1.  **初期対応は高流量酸素！** 特に煙吸入は**100%酸素**を直ちに。
2.  **SpO2の偽高値**に注意。CO中毒の評価には**血液ガス分析**が必須。
3.  **予防的抗菌薬・ステロイドは禁忌！** 死亡率を悪化させるリスクがある。"
10枚目,読者へのアクション・誘導,"【保存して、いざという時に見返そう！】
この投稿があなたの臨床に役立てば幸いです。

詳細なエビデンスと参照論文は
プロフのNoteにて公開中！
→ @[あなたのアカウント名]

=== キャプション（投稿文） ===
【溺水・煙吸入】そのSpO2、本当に正常ですか？見落としがちな肺損傷の落とし穴と管理

臨床現場で遭遇する可能性のある溺水や煙吸入による肺損傷。
初期対応の重要性は理解していても、見落としがちなポイントや「やってはいけない」ことが存在します。特に、パルスオキシメーターの数値に騙されてはいけません。

今回の投稿では、溺水と煙吸入それぞれの病態生理から、初期対応、モニタリング、そして最も重要な「CO中毒の評価におけるSpO2の落とし穴」について解説します。

経験のある獣医師の先生方なら、特に「予防的抗菌薬やステロイドのルーチン投与が推奨されない」というエビデンスに驚かれるかもしれません。これらは死亡率を上昇させる可能性が示唆されています。

いざという時に、冷静かつ適切な判断ができるよう、ぜひこの投稿を保存して、日々の診療にお役立てください。

💡 この投稿のハイライト
・溺水・煙吸入、初期対応の最優先は「高流量酸素」
・煙吸入では「100%酸素」を直ちに！
・パルスオキシメーターはCO中毒で「偽高値」を示す危険性
・「予防的抗菌薬」と「ステロイド」は死亡率を上昇させるため禁忌！

詳細なエビデンスと参照論文は、プロフィールのNote記事でさらに詳しく解説しています。ぜひご覧ください。

#獣医 #動物救急 #呼吸器疾患 #肺損傷 #CO中毒 #救急医療 #獣医臨床 #犬の病気 #猫の病気"
